start_year,initial_cash,monthly_funding,acquisition,initial_accounts,withdrawal,cadence,amount,headroom,reserve,ongoing,terminal,total,accounts,alive,deaths,peak_live,spend,receipts,contributions,ending_owner_cash,cash_limited_decisions,minimum_owner_cash,copies,signals_loaded,signals_executed,signal_participation,zero_live_signals,pending_replacements,allocation_sha256,objective,tested_count,tied_best_settings,headroom_min,headroom_max,within_one_percent_count
2020,1000,200,monthly_current_slot_replacements,1,minimum,calendar_month,0,0,25100.0,356000.0,153740.8,509740.8,185,20,165,20,37000.0,546740.8,16600.0,526340.8,135,0.0,156315,12658,9295,0.734318217727919,7,0,2f210dce75ca240a4192c9083983bbc35d89cac859216920ac0749f56cd96356,ongoing,45,6,0,15000,6
2020,1000,200,monthly_current_slot_replacements,1,minimum,calendar_month,0,0,25100.0,356000.0,153740.8,509740.8,185,20,165,20,37000.0,546740.8,16600.0,526340.8,135,0.0,156315,12658,9295,0.734318217727919,7,0,2f210dce75ca240a4192c9083983bbc35d89cac859216920ac0749f56cd96356,total,45,6,0,15000,6
2020,1000,200,monthly_current_slot_replacements,1,minimum,daily,0,0,25100.0,467700.0,0,467700.0,329,20,309,20,65800.0,533500.0,16600.0,484300.0,43,0.0,159452,12658,9286,0.7336072049296888,19,0,a490e4b65134cfde98bb7683d305fb0332534fd12a1e2a8b77e7102abc76c66f,ongoing,45,6,0,15000,10
2020,1000,200,monthly_current_slot_replacements,1,minimum,daily,0,0,25100.0,467700.0,0,467700.0,329,20,309,20,65800.0,533500.0,16600.0,484300.0,43,0.0,159452,12658,9286,0.7336072049296888,19,0,a490e4b65134cfde98bb7683d305fb0332534fd12a1e2a8b77e7102abc76c66f,total,45,6,0,15000,10
2020,1000,200,monthly_current_slot_replacements,1,minimum,weekly,0,0,25100.0,462900.0,0,462900.0,248,20,228,20,49600.0,512500.0,16600.0,479500.0,43,0.0,159513,12658,9290,0.7339232106177911,13,0,d111a377a4ea3fcdd68dd5f1001817992ec41317edf8e183a179fed3d5b1babc,ongoing,45,6,0,15000,10
2020,1000,200,monthly_current_slot_replacements,1,minimum,weekly,0,0,25100.0,462900.0,0,462900.0,248,20,228,20,49600.0,512500.0,16600.0,479500.0,43,0.0,159513,12658,9290,0.7339232106177911,13,0,d111a377a4ea3fcdd68dd5f1001817992ec41317edf8e183a179fed3d5b1babc,total,45,6,0,15000,10
2020,1000,200,monthly_one,1,maximum,calendar_month,0,3600,28700.0,234927.3,1500.0,236427.3,74,3,71,20,14800.0,251227.3,16600.0,253027.3,0,800.0,79583,12658,9218,0.7282351082319481,122,0,3aa9a29709abedc5a6bc72b872f1f5a62e5b03da4ef2a034425772d676404824,ongoing,60,1,0,15000,2
2020,1000,200,monthly_one,1,maximum,calendar_month,0,5900,31000.0,210504.95,104737.92,315242.87,74,19,55,20,14800.0,330042.87,16600.0,331842.87,0,800.0,87192,12658,9253,0.731000158002844,80,0,dc888c1bb845361141d753dd5127549ea19f6951c444b4c85b94d08220bd784b,total,60,3,0,15000,7
2020,1000,200,monthly_one,1,maximum,daily,0,4400,29500.0,229009.6,3000.0,232009.6,74,3,71,20,14800.0,246809.6,16600.0,248609.6,0,800.0,79852,12658,9208,0.7274450940116922,133,0,29604a5950f251501c00eaa575c9d2683ff2ff6314b9036aceb1ed8ac03ac6d4,ongoing,60,1,0,15000,1
2020,1000,200,monthly_one,1,maximum,daily,0,6300,31400.0,211770.7,104191.72,315962.42,74,19,55,20,14800.0,330762.42,16600.0,332562.42,0,800.0,87192,12658,9253,0.731000158002844,80,0,3714abeae69b108fd4fd2fc14ae5c931f8271157163e0a0fb350d8c2b3cacd93,total,60,1,0,15000,15
2020,1000,200,monthly_one,1,maximum,weekly,0,4000,29100.0,236917.35,3000.0,239917.35,74,3,71,20,14800.0,254717.35,16600.0,256517.35,0,800.0,79810,12658,9207,0.7273660925896667,134,0,501a1fe9cd6d132b8cb0dd6bc04883b573df4ea6411a076d68b4f406e2ab916c,ongoing,60,1,0,15000,6
2020,1000,200,monthly_one,1,maximum,weekly,0,6300,31400.0,232373.1,83589.32,315962.42,74,19,55,20,14800.0,330762.42,16600.0,332562.42,0,800.0,87192,12658,9253,0.731000158002844,80,0,300e055e61073a0137cffdfab7dcf88de562089647efc1b7ad779da1620e991c,total,60,1,0,15000,15
2020,1000,200,monthly_one,1,minimum,calendar_month,0,3500,28600.0,172700.0,144042.87,316742.87,74,19,55,20,14800.0,331542.87,16600.0,333342.87,0,800.0,87183,12658,9253,0.731000158002844,80,0,e9d75a19f9955f883dc5fddb4a5af3fdf30d427a6677f6d144e103fd91e3aed5,ongoing,50,1,0,15000,5
2020,1000,200,monthly_one,1,minimum,calendar_month,0,3500,28600.0,172700.0,144042.87,316742.87,74,19,55,20,14800.0,331542.87,16600.0,333342.87,0,800.0,87183,12658,9253,0.731000158002844,80,0,e9d75a19f9955f883dc5fddb4a5af3fdf30d427a6677f6d144e103fd91e3aed5,total,50,3,0,15000,30
2020,1000,200,monthly_one,1,minimum,daily,0,4400,29500.0,228200.0,1500.0,229700.0,74,3,71,20,14800.0,244500.0,16600.0,246300.0,0,800.0,79906,12658,9215,0.7279981039658714,126,0,ed39da3f3cf99b3c543465e6e826f0a65d25557898aa3e7f6a778cd2da1006e4,ongoing,50,1,0,15000,2
2020,1000,200,monthly_one,1,minimum,daily,0,4400,29500.0,228200.0,1500.0,229700.0,74,3,71,20,14800.0,244500.0,16600.0,246300.0,0,800.0,79906,12658,9215,0.7279981039658714,126,0,ed39da3f3cf99b3c543465e6e826f0a65d25557898aa3e7f6a778cd2da1006e4,total,50,1,0,15000,2
2020,1000,200,monthly_one,1,minimum,weekly,0,4000,29100.0,222700.0,1500.0,224200.0,74,4,70,20,14800.0,239000.0,16600.0,240800.0,0,800.0,80448,12658,9253,0.731000158002844,80,0,0eddea654802ad88903e9a90852107da585171000874aab9eeecfd15507c06c0,ongoing,50,1,0,15000,5
2020,1000,200,monthly_one,1,minimum,weekly,0,4000,29100.0,222700.0,1500.0,224200.0,74,4,70,20,14800.0,239000.0,16600.0,240800.0,0,800.0,80448,12658,9253,0.731000158002844,80,0,0eddea654802ad88903e9a90852107da585171000874aab9eeecfd15507c06c0,total,50,1,0,15000,5
2020,1000,200,monthly_plus_replacements,1,maximum,calendar_month,0,0,25100.0,501075.7,30000.0,531075.7,305,20,285,20,61000.0,592075.7,16600.0,547675.7,44,0.0,159213,12658,9280,0.7331331963975352,24,0,c91dfc402fc2cbcaad14b3d86eb686ddb880aa9027adf4c20c73cfb670ef9a69,ongoing,45,1,0,15000,4
2020,1000,200,monthly_plus_replacements,1,maximum,calendar_month,0,0,25100.0,501075.7,30000.0,531075.7,305,20,285,20,61000.0,592075.7,16600.0,547675.7,44,0.0,159213,12658,9280,0.7331331963975352,24,0,c91dfc402fc2cbcaad14b3d86eb686ddb880aa9027adf4c20c73cfb670ef9a69,total,45,1,0,15000,4
2020,1000,200,monthly_plus_replacements,1,maximum,daily,0,0,25100.0,624674.85,0,624674.85,569,20,549,20,113800.0,738474.85,16600.0,641274.85,44,0.0,158893,12658,9259,0.7314741665349976,54,0,f86fb182b8a1ef4061e87cfd60b41ab26067f7760b5cff609962a453461d173d,ongoing,45,1,0,15000,7
2020,1000,200,monthly_plus_replacements,1,maximum,daily,0,0,25100.0,624674.85,0,624674.85,569,20,549,20,113800.0,738474.85,16600.0,641274.85,44,0.0,158893,12658,9259,0.7314741665349976,54,0,f86fb182b8a1ef4061e87cfd60b41ab26067f7760b5cff609962a453461d173d,total,45,1,0,15000,7
2020,1000,200,monthly_plus_replacements,1,maximum,weekly,0,0,25100.0,665420.55,0,665420.55,531,20,511,20,106200.0,771620.55,16600.0,682020.55,44,0.0,158970,12658,9263,0.7317901722231,48,0,f94f55a133a46555cc37d5e5d464fc41904c06c6538c48e6341e3921ebf3dd8c,ongoing,45,1,0,15000,7
2020,1000,200,monthly_plus_replacements,1,maximum,weekly,0,0,25100.0,665420.55,0,665420.55,531,20,511,20,106200.0,771620.55,16600.0,682020.55,44,0.0,158970,12658,9263,0.7317901722231,48,0,f94f55a133a46555cc37d5e5d464fc41904c06c6538c48e6341e3921ebf3dd8c,total,45,1,0,15000,7
2020,1000,200,monthly_plus_replacements,1,minimum,calendar_month,0,0,25100.0,356000.0,153740.8,509740.8,185,20,165,20,37000.0,546740.8,16600.0,526340.8,138,0.0,156315,12658,9295,0.734318217727919,7,0,2f210dce75ca240a4192c9083983bbc35d89cac859216920ac0749f56cd96356,ongoing,45,6,0,15000,6
