at,account_id,trade_key,entry_at,equity_before,floor_before,mae,mfe,gross_pnl,adverse_equity,equity_after,floor_after,alive_after,death_equity
2026-03-02T03:30:00,4,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5298.9,100.0,-17.0,229.5,184.0,5281.9,5481.85,100.0,True,
2026-03-02T03:30:00,5,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5501.5,100.0,-17.0,229.5,184.0,5484.5,5684.45,100.0,True,
2026-03-02T03:30:00,25,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5431.05,100.0,-17.0,229.5,184.0,5414.05,5614.0,100.0,True,
2026-03-02T03:30:00,26,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5431.05,100.0,-17.0,229.5,184.0,5414.05,5614.0,100.0,True,
2026-03-02T03:30:00,27,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5598.95,100.0,-17.0,229.5,184.0,5581.95,5781.9,100.0,True,
2026-03-02T03:30:00,28,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,29,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,30,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,31,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,32,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,33,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,34,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,35,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,36,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,37,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,38,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,39,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5419.75,100.0,-17.0,229.5,184.0,5402.75,5602.7,100.0,True,
2026-03-02T03:30:00,40,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5606.85,100.0,-17.0,229.5,184.0,5589.85,5789.8,100.0,True,
2026-03-02T03:30:00,41,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5468.6,100.0,-17.0,229.5,184.0,5451.6,5651.55,100.0,True,
2026-03-02T03:30:00,42,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5166.2,100.0,-17.0,229.5,184.0,5149.2,5349.15,100.0,True,
2026-03-02T11:30:00,4,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5481.85,100.0,-24.0,193.0,165.5,5457.85,5646.3,100.0,True,
2026-03-02T11:30:00,5,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5684.45,100.0,-24.0,193.0,165.5,5660.45,5848.9,100.0,True,
2026-03-02T11:30:00,25,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5614.0,100.0,-24.0,193.0,165.5,5590.0,5778.45,100.0,True,
2026-03-02T11:30:00,26,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5614.0,100.0,-24.0,193.0,165.5,5590.0,5778.45,100.0,True,
2026-03-02T11:30:00,27,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5781.9,100.0,-24.0,193.0,165.5,5757.9,5946.35,100.0,True,
