product,initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve,strict_post_payout_balance,fee,accounts,alive,ongoing,terminal,total,contributions,ending_owner_cash,objective,tested_count,tested_reserve_min,tested_reserve_max,tied_best_reserves,within_one_percent_reserves,boundary_best
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,ongoing,40,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 30600.0, 30700.0, 30800.0, 30900.0, 31000.0, 31100.0, 31200.0, 31300.0, 31400.0, 31500.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,total,40,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 30600.0, 30700.0, 30800.0, 30900.0, 31000.0, 31100.0, 31200.0, 31300.0, 31400.0, 31500.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,daily,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,ongoing,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 28100.0, 28600.0, 28700.0, 28800.0, 28900.0, 29000.0, 29100.0, 29200.0, 29300.0, 29400.0, 29500.0, 29600.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,daily,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,total,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 28100.0, 28600.0, 28700.0, 28800.0, 28900.0, 29000.0, 29100.0, 29200.0, 29300.0, 29400.0, 29500.0, 29600.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,weekly,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,ongoing,38,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 28100.0, 28600.0, 28700.0, 28800.0, 28900.0, 29000.0, 29100.0, 29200.0, 29300.0, 29400.0, 29500.0, 29600.0, 30000.0, 30100.0, 31100.0, 31200.0, 31300.0, 31400.0, 31500.0, 31600.0, 31700.0, 31800.0, 31900.0, 32000.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,weekly,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,total,38,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 28100.0, 28600.0, 28700.0, 28800.0, 28900.0, 29000.0, 29100.0, 29200.0, 29300.0, 29400.0, 29500.0, 29600.0, 30000.0, 30100.0, 31100.0, 31200.0, 31300.0, 31400.0, 31500.0, 31600.0, 31700.0, 31800.0, 31900.0, 32000.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,ongoing,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,total,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,daily,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,ongoing,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,daily,0,25100.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0,total,31,25100.0,40100.0,"[25100.0, 25200.0, 25300.0, 25400.0, 25500.0, 25600.0, 26100.0, 27100.0, 27600.0, 27700.0, 27800.0, 27900.0, 28000.0, 28100.0, 28200.0, 28300.0, 28400.0, 28500.0, 28600.0, 29100.0, 30000.0, 30100.0, 31100.0, 31600.0, 31900.0, 32100.0, 33100.0, 34100.0, 35100.0, 37600.0, 40100.0]",[],True
