accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,routing,case,arm,start_year,initial_cash_usd,monthly_contribution_usd,retained_balance_usd,initial_accounts,acquisition,max_live_accounts,capacity_R_at_horizon,signals_loaded,signals_executed,signal_participation,signals_without_target,requested_copies,missed_requested_copies,requested_copy_coverage,mean_copies_per_exported_signal,planned_contract_hours,owner_contributions_usd,ending_owner_cash_usd,cash_limited_decisions,capacity_limited_decisions,pending_replacements,growth_purchases,replacement_purchases,delta_total_vs_unlimited_usd,delta_total_vs_blocked_usd,copies_vs_unlimited_ratio
38,20,18,20,False,45912,7600.0,108400.0,0.0,108400.0,,2020_1000_200_retain_30000,adaptive_max_headroom,2020,1000,200,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45912,0,1.0,3.6271132880391845,70574.1814,16600.0,125000.0,0,63,0,15,18,-417450.0,-225700.0,0.261972554278052
48,20,28,20,False,41650,9600.0,67400.0,29952.17,97352.17,,2020_1000_200_retain_30000,adaptive_round_robin,2020,1000,200,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,41650,0,1.0,3.2904092273660925,64233.4814,16600.0,113952.17,310,50,0,15,28,-428497.83,-236747.83,0.23765370460186586
67,20,47,20,False,175352,13400.0,466200.0,101076.77,567276.77,,2020_1000_200_retain_31900,unlimited_reference,2020,1000,200,31900,5,monthly_plus_replacements,20,4,12658,12579,0.9937588876599779,79,175352,0,1.0,13.85305735503239,271527.0944,16600.0,583876.77,685,40,0,15,47,0.0,298676.77,1.0
67,20,47,20,False,97351,13400.0,268600.0,0.0,268600.0,,2020_1000_200_retain_31900,blocked_copy,2020,1000,200,31900,5,monthly_plus_replacements,20,4,12658,9253,0.731000158002844,80,133454,36103,0.729472327543573,7.690867435613841,162766.8889,16600.0,285200.0,1188,22,0,15,47,-298676.77,0.0,0.5551747342488252
28,20,8,20,False,45921,5600.0,94400.0,5306.52,99706.52,,2020_1000_200_retain_31900,adaptive_max_headroom,2020,1000,200,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45921,0,1.0,3.627824300837415,70583.6425,16600.0,116306.52,0,63,0,15,8,-467570.25,-168893.48,0.2618789634563621
57,20,37,20,False,41186,11400.0,51100.0,26379.05,77479.05,,2020_1000_200_retain_31900,adaptive_round_robin,2020,1000,200,31900,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,41186,0,1.0,3.253752567546216,63519.3481,16600.0,94079.05,359,49,0,15,37,-489797.72,-191120.95,0.23487613486016698
118,20,98,20,False,184015,23600.0,517700.0,30000.0,547700.0,,2020_5000_0_retain_30000,unlimited_reference,2020,5000,0,30000,5,monthly_plus_replacements,20,4,12658,12654,0.9996839943118976,4,184015,0,1.0,14.537446674040133,283962.495,5000.0,552700.0,625,43,0,15,98,0.0,175600.0,1.0
82,20,62,20,False,128706,16400.0,372100.0,0.0,372100.0,,2020_5000_0_retain_30000,blocked_copy,2020,5000,0,30000,5,monthly_plus_replacements,20,4,12658,9303,0.7349502291041239,4,176019,47313,0.731205153989058,10.167957023226418,213856.7131,5000.0,377100.0,876,32,0,15,62,-175600.0,0.0,0.6994321115126484
31,20,11,20,False,45799,6200.0,104300.0,0.0,104300.0,,2020_5000_0_retain_30000,adaptive_max_headroom,2020,5000,0,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,45799,0,1.0,3.618186127350292,70409.8425,5000.0,109300.0,25,63,0,15,11,-443400.0,-267800.0,0.24888731896856234
64,20,44,20,False,39630,12800.0,52200.0,32385.19,84585.19,,2020_5000_0_retain_30000,adaptive_round_robin,2020,5000,0,30000,5,monthly_plus_replacements,20,4,12658,12658,1.0,0,39630,0,1.0,3.1308263548743875,61293.0872,5000.0,89585.19,760,38,0,15,44,-463114.81,-287514.81,0.21536287802624787
