accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd
58,17,41,19,False,97993,11600.0,224400.0,77887.21,302287.21,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0
290,290,0,290,True,97993,58000.0,152500.0,4500.0,157000.0,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,0,46400.0,26500.0,-71900.0,-145287.21
290,126,164,146,True,97993,58000.0,-51500.0,87183.35,35683.35,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,0,46400.0,52000.0,-275900.0,-266603.86
58,17,41,19,False,97993,11600.0,232440.45,66605.65,299046.1,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0
290,290,0,290,True,97993,58000.0,174020.95,57202.04,231222.99,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,0,46400.0,26027.65,-58419.5,-67823.11
290,126,164,146,True,97993,58000.0,-50473.35,90183.35,39710.0,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,0,46400.0,50077.15,-282913.8,-259336.1
58,17,41,19,False,97993,11600.0,163900.0,138387.21,302287.21,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0
290,290,0,290,True,97993,58000.0,110500.0,144574.95,255074.95,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,0,46400.0,23500.0,-53400.0,-47212.26
290,126,164,146,True,97993,58000.0,-32500.0,97616.83,65116.83,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,0,46400.0,37000.0,-196400.0,-237170.38
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,0,4000.0,4000.0,-4000.0,-4000.0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,0,4000.0,4000.0,-4000.0,-4000.0
