policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,stage,trading_neutral,earnings_forgone_usd,book_ceiling_usd,ceiling_capture
fixed_1500_backlog,31900.0,6800.0,348320.38,99214.15,447534.53,22,235,20,122297.35,18759.77,462022.2,6004.8,472299.1,24764.57,local_refinement,True,0.0,472299.1,0.947566
fixed_1500_backlog,32000.0,6900.0,346380.38,100854.15,447234.53,22,235,20,124297.35,19059.77,462022.2,6004.8,472299.1,25064.57,local_refinement,True,0.0,472299.1,0.946931
fixed_1500_backlog,32100.0,7000.0,344440.38,102494.15,446934.53,22,235,20,126297.35,19359.77,462022.2,6004.8,472299.1,25364.57,coarse,True,0.0,472299.1,0.946296
fixed_1500_backlog,32600.0,7500.0,334740.38,105668.41,440408.79,22,225,20,136297.35,25885.51,462022.2,6004.8,472299.1,31890.31,coarse,True,0.0,472299.1,0.932479
fixed_1500_backlog,33100.0,8000.0,325034.28,113374.51,438408.79,22,218,20,146297.35,27885.51,462022.2,6004.8,472299.1,33890.31,coarse,True,0.0,472299.1,0.928244
fixed_1500_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,215,20,156297.35,29885.51,462022.2,6004.8,472299.1,35890.31,coarse,True,0.0,472299.1,0.924009
fixed_1500_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,207,20,166297.35,31885.51,462022.2,6004.8,472299.1,37890.31,coarse,True,0.0,472299.1,0.919775
fixed_1500_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,198,20,176297.35,33885.51,462022.2,6004.8,472299.1,39890.31,coarse,True,0.0,472299.1,0.91554
fixed_1500_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,195,20,186304.45,35892.61,462022.2,6004.8,472299.1,41897.41,coarse,True,0.0,472299.1,0.911291
fixed_250_backlog,,,108587.85,172857.55,281445.4,15,233,13,180373.05,5082.48,280615.65,2433.02,288960.9,7515.5,coarse,False,181406.55,472299.1,0.595905
fixed_250_backlog,25100.0,0.0,108587.85,172857.55,281445.4,15,233,13,180373.05,5082.48,280615.65,2433.02,288960.9,7515.5,coarse,False,181406.55,472299.1,0.595905
fixed_250_backlog,25600.0,500.0,108587.85,172857.55,281445.4,15,233,13,180373.05,5082.48,280615.65,2433.02,288960.9,7515.5,coarse,False,181406.55,472299.1,0.595905
fixed_250_backlog,26100.0,1000.0,108587.85,172857.55,281445.4,15,233,13,180373.05,5082.48,280615.65,2433.02,288960.9,7515.5,coarse,False,181406.55,472299.1,0.595905
fixed_250_backlog,26600.0,1500.0,116889.4,187284.24,304173.64,16,245,14,194899.75,5182.49,302523.45,2433.02,311789.15,7615.51,coarse,False,159498.75,472299.1,0.644028
fixed_250_backlog,27100.0,2000.0,122651.45,202132.73,324784.18,17,255,15,209848.25,5282.5,323124.15,2433.02,332499.7,7715.52,coarse,False,138898.05,472299.1,0.687666
fixed_250_backlog,27600.0,2500.0,152820.35,227086.92,379907.27,18,302,16,237455.7,5382.51,380605.35,4986.27,390276.05,10368.78,coarse,False,81416.85,472299.1,0.804379
fixed_250_backlog,28100.0,3000.0,168450.0,256362.1,424812.1,20,324,18,266930.9,5582.53,425540.0,4986.27,435380.9,10568.8,coarse,False,36482.2,472299.1,0.899456
fixed_250_backlog,28600.0,3500.0,168105.75,256362.1,424467.85,20,318,18,266930.9,5582.53,425137.5,4986.27,435036.65,10568.8,coarse,False,36884.7,472299.1,0.898727
fixed_250_backlog,29100.0,4000.0,169886.45,256362.1,426248.55,20,307,18,266930.9,5582.53,426782.25,4986.27,436817.35,10568.8,coarse,False,35239.95,472299.1,0.902497
fixed_250_backlog,29600.0,4500.0,170636.45,255112.1,425748.55,20,306,18,265680.9,5582.53,426285.75,4986.27,436317.35,10568.8,coarse,False,35736.45,472299.1,0.901438
fixed_250_backlog,29700.0,4600.0,170286.45,255362.1,425648.55,20,302,18,265930.9,5582.53,426245.6,4986.27,436217.35,10568.8,local_refinement,False,35776.6,472299.1,0.901227
