target,initial_accounts,lower_bound,copies,missed,deaths,total_net_usd
matched_reference,60,60,7520,0,0,-12000.0
full_target,100,100,244240,8920,80,590000.0
full_target,120,100,249860,3300,100,606000.0
full_target,140,100,252700,460,120,612000.0
full_target,160,100,252920,240,140,618000.0
full_target,180,100,253160,0,60,574000.0
