product,window,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,full,5900,31000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,202599.4,3000.0,205599.4,226789.4,14237.55,113,4,169,305,129,10065.0,14125.0,24190.0,20600.0,226199.4,0,37,0,23.5,0,102,20,8055.91,83,0,2026-06-25T23:30:00,20,109,93,16,0.0367,87.15,472.44,15987.96,108.05,47.67,10.14,15,15,13,37,11,153,171,2384.5694,24139.9627,10.1234,23551.43,33085.63,33325.17,3268.23,34814.71,3439.03,blocking,94749,9121,0.7205719702954653,d97a327ea9cb07b41ee022b212657906ba6f1a8a68fafde3d733da60dcc400de,"[""legacy_25k"", ""full"", 5900]"
legacy_25k,full,6000,31100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,186771.8,4500.0,191271.8,211798.8,20688.5,116,5,173,319,139,10527.0,14500.0,25027.0,20600.0,211871.8,0,37,0,23.5,0,104,19,7639.24,85,18,2026-06-25T23:30:00,18,111,96,15,0.036,88.01,501.15,16358.71,105.65,43.67,9.99,15,15,13,37,12,155,175,2384.5694,23769.2164,9.9679,23922.17,32700.22,32929.08,3280.54,34430.34,3454.11,blocking,93088,9135,0.7216779902038236,3fc27e357c744aefd6be81fa118a4c7dc55f27daa9028b20a0808144b7f8a97c,"[""legacy_25k"", ""full"", 6000]"
legacy_25k,full,6100,31200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,209938.0,119849.21,329787.21,232317.0,125731.35,103,20,154,288,127,9504.0,12875.0,22379.0,20600.0,350387.21,0,37,0,23.5,0,76,1,9834.88,57,0,2026-03-27T20:17:40,13,83,83,0,0.0482,121.35,501.31,14738.72,0,43.67,10.66,15,15,13,37,13,169,187,2384.5694,25389.2056,10.6473,22302.18,36769.61,36994.09,3453.42,38316.75,3598.73,blocking,99543,9132,0.7214409859377469,ed89d292d8641e004516a0f73f751a9bcbbd628787c0e5ebccdbd810ab64aa91,"[""legacy_25k"", ""full"", 6100]"
legacy_25k,full,6200,31300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,208227.6,126600.15,334827.75,230368.6,129019.0,104,20,151,277,119,9141.0,13000.0,22141.0,20600.0,355427.75,0,31,0,23.5,0,77,0,9943.93,58,0,2024-07-26T20:00:00,15,84,84,0,0.0476,117.79,501.31,14698.01,0,43.67,10.67,15,15,13,31,15,170,189,2384.5694,25429.9192,10.6644,22261.47,37276.24,37505.28,3495.4,38854.49,3643.39,blocking,99703,9132,0.7214409859377469,c3acccc3f3cd0b8b4149540d2584b9cb25a5839aa04c76dc8a2249ac40338068,"[""legacy_25k"", ""full"", 6200]"
legacy_25k,full,6300,31400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,193049.6,128600.15,321649.75,215388.6,131019.0,104,20,152,283,124,9339.0,13000.0,22339.0,20600.0,342249.75,0,36,0,23.5,0,77,0,9487.93,58,0,2024-07-26T20:00:00,15,84,84,0,0.0476,121.35,501.44,15241.01,0,43.67,10.45,15,15,13,36,11,173,190,2384.5694,24886.9192,10.4367,22804.47,36451.75,36681.05,3492.67,38025.27,3643.44,blocking,97551,9132,0.7214409859377469,6fdc74fcbe211ed7ed9ca085de01dc21dcccad095f51503e7c67f30916749db6,"[""legacy_25k"", ""full"", 6300]"
legacy_25k,full,6400,31500.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,191146.6,130600.15,321746.75,213388.6,133019.0,99,20,158,299,134,9867.0,12375.0,22242.0,20600.0,342346.75,0,42,0,23.5,0,72,0,9487.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,651.31,15591.9,0,43.67,10.3,16,16,13,42,16,169,190,2384.5694,24536.0211,10.2895,23155.37,36873.84,37090.7,3583.64,38308.1,3723.03,blocking,96103,9132,0.7214409859377469,727ff589c04b271bbff6e0e5b4392f03af1e82360b2948f01cbf6d51260f292f,"[""legacy_25k"", ""full"", 6400]"
legacy_25k,full,6500,31600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,188032.0,127449.21,315481.21,210767.0,135019.0,104,20,159,295,129,9735.0,13000.0,22735.0,20600.0,336081.21,0,37,0,23.5,0,77,0,9400.93,58,0,2025-04-04T03:47:40,11,84,84,0,0.0476,107.9,589.31,15348.23,0,43.67,10.4,15,15,13,37,17,171,190,2384.5694,24779.6944,10.3917,22911.69,37466.77,37681.97,3605.46,38954.7,3748.64,blocking,97116,9135,0.7216779902038236,e2fc0cba83650819acc539353e1ba89fa928a0dbc5158512c18cc534e6880fea,"[""legacy_25k"", ""full"", 6500]"
legacy_25k,full,6600,31700.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,187344.6,134600.15,321944.75,209388.6,137019.0,99,20,157,293,129,9669.0,12375.0,22044.0,20600.0,342544.75,0,43,0,23.5,0,72,0,9487.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,651.31,15639.9,0,43.67,10.28,16,16,13,43,14,183,204,2384.5694,24488.0211,10.2694,23203.37,37809.07,38019.96,3681.73,39233.83,3820.47,blocking,95884,9132,0.7214409859377469,ad724c4d56af9cbc8a40a9b55e36e3c29c838bb3f97d60aeb53981dc0c59161f,"[""legacy_25k"", ""full"", 6600]"
legacy_25k,full,6700,31800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,185072.95,136600.15,321673.1,207024.95,139019.0,98,20,158,294,129,9702.0,12250.0,21952.0,20600.0,342273.1,0,43,0,23.5,0,71,0,9481.93,52,0,2024-07-26T20:00:00,10,78,78,0,0.0513,114.4,672.23,15840.68,0,43.67,10.2,17,17,13,43,16,180,199,2384.5694,24287.2414,10.1852,23404.15,38214.97,38419.37,3752.02,39586.37,3886.67,blocking,95032,9132,0.7214409859377469,4401abf93626699a2fe95920cb1c0eacb3a0e4e29f37ed5f6f7ccf8cf267e7ce,"[""legacy_25k"", ""full"", 6700]"
legacy_25k,full,6710,31810.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,173096.25,136800.15,309896.4,195555.25,139219.0,101,20,160,298,131,9834.0,12625.0,22459.0,20600.0,330496.4,0,41,0,23.5,0,74,0,9065.93,55,0,2024-07-26T20:00:00,11,81,81,0,0.0494,111.9,655.31,16351.98,0,43.67,9.98,16,16,13,41,17,178,193,2384.5694,23775.95,9.9708,23915.44,37153.89,37351.11,3726.29,38535.94,3864.9,blocking,92960,9132,0.7214409859377469,8a4a0b78f596c4278422f1422fab1bedf9f6963d35729c85c8985f6c3a2c3c61,"[""legacy_25k"", ""full"", 6710]"
legacy_25k,full,6720,31820.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,172903.25,137000.15,309903.4,195355.25,139419.0,102,20,158,294,129,9702.0,12750.0,22452.0,20600.0,330503.4,0,39,0,23.5,0,75,0,9065.93,56,0,2024-07-26T20:00:00,11,82,82,0,0.0488,115.4,645.02,16301.2,0,43.67,10.0,15,15,13,39,16,179,194,2384.5694,23826.7296,9.992,23864.66,37201.21,37405.65,3723.08,38611.88,3864.26,blocking,93175,9132,0.7214409859377469,6a48ed4d6b3a78b43f95de7d41c1873560db88b15a7ec888d1e14d2e97af43de,"[""legacy_25k"", ""full"", 6720]"
legacy_25k,full,6730,31830.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,175072.15,137200.15,312272.3,197208.15,139619.0,100,20,156,292,129,9636.0,12500.0,22136.0,20600.0,332872.3,0,39,0,23.5,0,73,0,9151.93,54,0,2024-07-26T20:00:00,11,80,80,0,0.05,120.13,645.87,16312.13,0,43.67,10.0,15,15,13,39,16,184,199,2384.5694,23815.8007,9.9875,23875.59,37422.43,37623.99,3746.94,38808.51,3885.72,blocking,93116,9132,0.7214409859377469,dfbaebce05abbb9664d1ac4704cf0a64149a7dd8dd7332f8fef72eae35e3f01f,"[""legacy_25k"", ""full"", 6730]"
legacy_25k,full,6740,31840.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174872.15,137400.15,312272.3,197008.15,139819.0,100,20,156,292,129,9636.0,12500.0,22136.0,20600.0,332872.3,0,39,0,23.5,0,73,0,9151.93,54,0,2024-07-26T20:00:00,11,80,80,0,0.05,120.13,645.87,16312.13,0,43.67,10.0,15,15,13,39,16,184,199,2384.5694,23815.8007,9.9875,23875.59,37477.25,37678.81,3752.43,38863.34,3891.21,blocking,93116,9132,0.7214409859377469,42e967bfa2666e6a84cd788c6afb649c2f17e5b6a7a587421795995673ae6da7,"[""legacy_25k"", ""full"", 6740]"
legacy_25k,full,6750,31850.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174698.15,137600.15,312298.3,196808.15,140019.0,99,20,158,295,130,9735.0,12375.0,22110.0,20600.0,332898.3,0,40,0,23.5,0,72,0,9151.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,672.23,16456.9,0,43.67,9.94,15,15,13,40,18,184,203,2384.5694,23671.0211,9.9267,24020.37,37509.94,37710.67,3778.67,38850.24,3913.69,blocking,92512,9132,0.7214409859377469,c6312eafa63decf5318c0eddd7be9f5cf5eeaf656eb9af1829db2ef86a973bf8,"[""legacy_25k"", ""full"", 6750]"
legacy_25k,full,6760,31860.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,174498.15,137800.15,312298.3,196608.15,140219.0,99,20,158,295,130,9735.0,12375.0,22110.0,20600.0,332898.3,0,40,0,23.5,0,72,0,9151.93,53,0,2024-07-26T20:00:00,10,79,79,0,0.0506,118.9,672.23,16456.9,0,43.67,9.94,15,15,13,40,18,184,203,2384.5694,23671.0211,9.9267,24020.37,37553.8,37754.54,3783.09,38894.11,3918.11,blocking,92512,9132,0.7214409859377469,c6312eafa63decf5318c0eddd7be9f5cf5eeaf656eb9af1829db2ef86a973bf8,"[""legacy_25k"", ""full"", 6760]"
legacy_25k,full,6770,31870.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,171955.25,138000.15,309955.4,194355.25,140419.0,100,20,162,300,131,9900.0,12500.0,22400.0,20600.0,330555.4,0,40,0,23.5,0,73,0,9065.93,54,0,2024-07-26T20:00:00,11,80,80,0,0.05,110.9,672.31,16496.76,0,43.67,9.92,15,15,13,40,21,172,193,2384.5694,23631.1704,9.91,24060.22,37379.93,37576.31,3771.93,38716.19,3906.77,blocking,92356,9132,0.7214409859377469,a32c7183be5848b1e60721fffc084270c9e41b83b3f664db6aa0e74d9e4a6068,"[""legacy_25k"", ""full"", 6770]"
