product,window,deaths_after_startup_year_stable_zero_from,deaths_of_pas_at_least_one_year_old_stable_zero_from,deaths_2026_03_30_stable_zero_from,best_ongoing_headroom,best_ongoing
legacy_25k,full,,6200,6100,4000,319487.3
legacy_25k,start_2021,,6100,6100,4000,368788.35
legacy_25k,start_2022,,6100,6100,4000,358323.8
legacy_25k,start_2023,,6200,6100,4000,298136.95
legacy_25k,start_2024,,6200,6500,4000,151264.4
legacy_25k,two_years_2020,,0,0,0,3391.75
legacy_25k,two_years_2022,,0,0,2000,71476.15
legacy_25k,two_years_2024,,6200,6500,0,66187.9
legacy_50k,full,,,6100,1000,337153.1
legacy_50k,start_2021,,6100,6100,4000,412220.75
legacy_50k,start_2022,6100,6100,6100,4000,362718.3
legacy_50k,start_2023,6100,6100,6100,4000,303053.7
legacy_50k,start_2024,,6200,6500,4000,152178.6
legacy_50k,two_years_2020,,0,0,0,19345.15
legacy_50k,two_years_2022,2000,2000,0,2000,73120.95
legacy_50k,two_years_2024,,6200,6500,2000,82959.55
