case,phase,start_year,withdrawal,path_order,portfolio,weights,net_operating_cash,receipts,total_costs,copies,distinct_signals,signal_participation,homogeneous_control_matched,evaluation_months,rr_deaths,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive
operating__2020__minimum__mae_first__rr_1.25,operating,2020,minimum,mae_first,rr_1.25,"{""1.25"": 1}",370314.0,384000.0,13686.0,125786,8641,0.6827052224065734,,142,"{""1.25"": 52}",5,14,6,1.0,2020-03-12T00:00:00,0,6,6,6,1.0,2020-03-06T00:00:00,0,6,6,9,1.0,2020-03-02T00:00:00,4,9,9,2,0.4664,52,72,20
operating__2020__minimum__mae_first__rr_1.50,operating,2020,minimum,mae_first,rr_1.50,"{""1.50"": 1}",397579.0,410850.0,13271.0,117474,8282,0.6544448834452785,,137,"{""1.50"": 50}",7,12,7,1.0,2020-03-12T00:00:00,1,7,7,8,1.0,2020-03-06T00:00:00,2,8,8,8,1.0,2020-03-02T00:00:00,3,10,10,2,0.4664,50,70,20
operating__2020__minimum__mae_first__rr_2.00,operating,2020,minimum,mae_first,rr_2.00,"{""2.00"": 1}",379572.0,393100.0,13528.0,115393,7717,0.6098466887940572,,141,"{""2.00"": 51}",7,10,8,1.0,2020-03-12T00:00:00,0,8,8,8,1.0,2020-03-06T00:00:00,0,8,8,8,1.0,2020-03-02T00:00:00,0,8,8,2,0.3088,51,71,20
operating__2020__minimum__mae_first__rr_2.50,operating,2020,minimum,mae_first,rr_2.50,"{""2.50"": 1}",437322.0,452300.0,14978.0,103326,7265,0.5742175150173886,,166,"{""2.50"": 56}",7,11,7,1.0,2020-03-12T00:00:00,0,7,7,7,1.0,2020-03-06T00:00:00,1,7,7,8,1.0,2020-03-02T00:00:00,2,8,8,2,0.4664,56,76,20
operating__2020__minimum__mae_first__rr_3.00,operating,2020,minimum,mae_first,rr_3.00,"{""3.00"": 1}",365267.0,381200.0,15933.0,90430,6976,0.5514624505928853,,176,"{""3.00"": 61}",7,13,7,1.0,2020-03-11T00:00:00,4,7,7,7,1.0,2020-03-05T00:00:00,4,7,7,7,1.0,2020-03-02T00:00:00,5,7,7,2,0.3984,61,81,20
operating__2020__minimum__mae_first__rr_3.50,operating,2020,minimum,mae_first,rr_3.50,"{""3.50"": 1}",356135.0,372950.0,16815.0,89614,6701,0.5300166099818081,,180,"{""3.50"": 67}",6,16,6,1.0,2020-03-12T00:00:00,0,6,6,10,1.0,2020-03-06T00:00:00,6,10,10,10,1.0,2020-03-02T00:00:00,6,10,10,2,1.0595,67,87,20
operating__2020__minimum__mae_first__near,operating,2020,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",315873.0,329500.0,13627.0,129015,9682,0.7648313452879374,,144,"{""0.75"": 30, ""1.25"": 21}",5,13,7,1.0,2020-03-12T00:00:00,1,7,7,8,1.0,2020-03-06T00:00:00,3,8,8,9,1.0,2020-03-02T00:00:00,4,9,9,2,0.3088,51,71,20
operating__2020__minimum__mae_first__modest,operating,2020,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",307712.0,323150.0,15438.0,125435,10308,0.8142823287779446,,161,"{""0.50"": 42, ""1.50"": 19}",8,12,8,0.5,2021-12-03T00:00:00,1,8,8,8,0.545455,2021-11-29T00:00:00,2,8,8,12,0.6,2023-10-03T00:00:00,5,12,12,0,0.0,61,81,20
operating__2020__minimum__mae_first__four,operating,2020,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",330034.0,344300.0,14266.0,120376,10391,0.8208389288253417,,152,"{""0.50"": 20, ""1.00"": 14, ""1.50"": 13, ""2.00"": 7}",4,9,5,0.5,2021-06-15T00:00:00,0,5,5,5,0.6,2021-06-09T00:00:00,2,5,5,8,0.714286,2021-05-19T00:00:00,2,8,8,0,0.0,54,74,20
operating__2020__minimum__mae_first__wide,operating,2020,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",375816.0,389200.0,13384.0,119205,10372,0.8193380203807568,,148,"{""0.50"": 20, ""1.50"": 8, ""2.50"": 4, ""3.50"": 16}",3,10,3,0.5,2020-06-26T00:00:00,0,3,3,4,0.5,2020-06-22T00:00:00,0,4,4,7,0.5,2020-06-01T00:00:00,0,7,7,0,0.0,48,68,20
isolation__2021__minimum__mae_first__rr_0.50,isolation,2021,minimum,mae_first,rr_0.50,"{""0.50"": 1}",-4000.0,0.0,4000.0,5700,285,0.026494375755322114,True,0,"{""0.50"": 20}",20,1,20,1.0,2021-03-08T00:00:00,1,20,20,20,1.0,2021-03-02T00:00:00,1,20,20,20,1.0,2021-02-09T00:00:00,1,20,20,1,1953.2505,20,20,0
isolation__2021__minimum__mae_first__rr_0.75,isolation,2021,minimum,mae_first,rr_0.75,"{""0.75"": 1}",-4000.0,0.0,4000.0,4320,216,0.020079947940875708,True,0,"{""0.75"": 20}",20,1,20,1.0,2021-02-23T00:00:00,1,20,20,20,1.0,2021-02-17T00:00:00,1,20,20,20,1.0,2021-01-27T00:00:00,1,20,20,1,1966.2056,20,20,0
isolation__2021__minimum__mae_first__rr_1.00,isolation,2021,minimum,mae_first,rr_1.00,"{""1.00"": 1}",-4000.0,0.0,4000.0,4000,200,0.01859427296392711,True,0,"{""1.00"": 20}",20,1,20,1.0,2021-02-22T00:00:00,1,20,20,20,1.0,2021-02-16T00:00:00,1,20,20,20,1.0,2021-01-26T00:00:00,1,20,20,1,1967.2002,20,20,0
isolation__2021__minimum__mae_first__rr_1.25,isolation,2021,minimum,mae_first,rr_1.25,"{""1.25"": 1}",-4000.0,0.0,4000.0,3800,190,0.017666201766620176,True,0,"{""1.25"": 20}",20,1,20,1.0,2021-02-22T00:00:00,1,20,20,20,1.0,2021-02-16T00:00:00,1,20,20,20,1.0,2021-01-26T00:00:00,1,20,20,1,1966.9625,20,20,0
isolation__2021__minimum__mae_first__rr_1.50,isolation,2021,minimum,mae_first,rr_1.50,"{""1.50"": 1}",-4000.0,0.0,4000.0,3660,183,0.017018506463312565,True,0,"{""1.50"": 20}",20,1,20,1.0,2021-02-23T00:00:00,1,20,20,20,1.0,2021-02-17T00:00:00,1,20,20,20,1.0,2021-01-27T00:00:00,1,20,20,1,1965.9171,20,20,0
isolation__2021__minimum__mae_first__rr_2.00,isolation,2021,minimum,mae_first,rr_2.00,"{""2.00"": 1}",-4000.0,0.0,4000.0,10720,536,0.04985119047619048,True,0,"{""2.00"": 20}",20,1,20,1.0,2021-06-21T00:00:00,1,20,20,20,1.0,2021-06-15T00:00:00,1,20,20,20,1.0,2021-05-25T00:00:00,1,20,20,1,1848.5005,20,20,0
isolation__2021__minimum__mae_first__rr_2.50,isolation,2021,minimum,mae_first,rr_2.50,"{""2.50"": 1}",-4000.0,0.0,4000.0,17080,854,0.07944186046511628,True,0,"{""2.50"": 20}",20,1,20,1.0,2021-10-01T00:00:00,1,20,20,20,1.0,2021-09-27T00:00:00,1,20,20,20,1.0,2021-09-06T00:00:00,1,20,20,1,1746.2505,20,20,0
isolation__2021__minimum__mae_first__rr_3.00,isolation,2021,minimum,mae_first,rr_3.00,"{""3.00"": 1}",-4000.0,0.0,4000.0,2940,147,0.013675690761931342,True,0,"{""3.00"": 20}",20,1,20,1.0,2021-02-23T00:00:00,1,20,20,20,1.0,2021-02-17T00:00:00,1,20,20,20,1.0,2021-01-27T00:00:00,1,20,20,1,1965.9171,20,20,0
isolation__2021__minimum__mae_first__rr_3.50,isolation,2021,minimum,mae_first,rr_3.50,"{""3.50"": 1}",-4000.0,0.0,4000.0,3080,154,0.014336250232731334,True,0,"{""3.50"": 20}",20,1,20,1.0,2021-02-25T00:00:00,1,20,20,20,1.0,2021-02-19T00:00:00,1,20,20,20,1.0,2021-01-29T00:00:00,1,20,20,1,1963.9688,20,20,0
isolation__2021__minimum__mae_first__near,isolation,2021,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",-4000.0,0.0,4000.0,4060,217,0.020172910662824207,,0,"{""0.75"": 10, ""1.25"": 10}",10,2,10,1.0,2021-02-23T00:00:00,2,10,10,20,1.0,2021-02-17T00:00:00,2,20,20,20,1.0,2021-01-27T00:00:00,2,20,20,1,1966.2056,20,20,0
isolation__2021__minimum__mae_first__modest,isolation,2021,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",-4000.0,0.0,4000.0,4680,285,0.026494375755322114,,0,"{""0.50"": 10, ""1.50"": 10}",10,2,10,1.0,2021-03-08T00:00:00,2,10,10,10,1.0,2021-03-02T00:00:00,2,10,10,20,1.0,2021-02-09T00:00:00,2,20,20,1,1953.2505,20,20,0
isolation__2021__minimum__mae_first__four,isolation,2021,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",-4000.0,0.0,4000.0,6020,614,0.05707911127637817,,0,"{""0.50"": 5, ""1.00"": 5, ""1.50"": 5, ""2.00"": 5}",5,4,5,1.0,2021-06-21T00:00:00,2,5,5,10,1.0,2021-06-15T00:00:00,3,10,10,15,1.0,2021-05-25T00:00:00,3,15,15,1,1848.5005,20,20,0
isolation__2021__minimum__mae_first__wide,isolation,2021,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",-4000.0,0.0,4000.0,7380,950,0.08831458585107371,,0,"{""0.50"": 5, ""1.50"": 5, ""2.50"": 5, ""3.50"": 5}",5,4,5,1.0,2021-10-01T00:00:00,2,5,5,10,1.0,2021-09-27T00:00:00,3,10,10,15,1.0,2021-09-06T00:00:00,3,15,15,1,1746.2505,20,20,0
operating__2021__minimum__mae_first__rr_0.50,operating,2021,minimum,mae_first,rr_0.50,"{""0.50"": 1}",152468.0,169000.0,16532.0,95520,8698,0.8085897555080412,,179,"{""0.50"": 65}",11,15,11,1.0,2021-06-07T00:00:00,4,11,11,11,1.0,2021-05-12T00:00:00,5,11,11,13,1.0,2021-04-16T00:00:00,5,13,13,1,25.3051,65,85,20
operating__2021__minimum__mae_first__rr_0.75,operating,2021,minimum,mae_first,rr_0.75,"{""0.75"": 1}",250120.0,261000.0,10880.0,115782,8176,0.760063214650925,,110,"{""0.75"": 38}",6,9,9,1.0,2021-06-17T00:00:00,2,9,9,10,1.0,2021-06-11T00:00:00,3,10,10,10,1.0,2021-02-09T00:00:00,4,10,10,2,24.4167,38,58,20
operating__2021__minimum__mae_first__rr_1.00,operating,2021,minimum,mae_first,rr_1.00,"{""1.00"": 1}",321830.0,333000.0,11170.0,107965,7689,0.7148568240981777,True,115,"{""1.00"": 39}",5,11,5,1.0,2022-01-10T00:00:00,2,5,5,8,1.0,2021-02-26T00:00:00,2,8,8,8,1.0,2021-02-05T00:00:00,2,8,8,2,23.1667,39,59,20
operating__2021__minimum__mae_first__rr_1.25,operating,2021,minimum,mae_first,rr_1.25,"{""1.25"": 1}",325651.0,338000.0,12349.0,99815,7389,0.6870292887029289,,128,"{""1.25"": 45}",4,14,6,1.0,2022-06-17T00:00:00,3,6,6,6,1.0,2021-02-26T00:00:00,3,6,6,8,1.0,2021-02-05T00:00:00,3,8,8,2,10.091,45,65,20
operating__2021__minimum__mae_first__rr_1.50,operating,2021,minimum,mae_first,rr_1.50,"{""1.50"": 1}",363474.0,375500.0,12026.0,99630,7120,0.6621407979168604,,122,"{""1.50"": 44}",7,10,7,0.777778,2022-05-02T00:00:00,3,7,7,7,0.777778,2022-04-26T00:00:00,4,7,7,8,0.8,2022-03-01T00:00:00,3,8,8,0,0.0,44,64,20
operating__2021__minimum__mae_first__rr_2.00,operating,2021,minimum,mae_first,rr_2.00,"{""2.00"": 1}",257383.0,274000.0,16617.0,76989,6637,0.6172805059523809,,174,"{""2.00"": 67}",7,15,8,1.0,2021-09-30T00:00:00,4,8,8,8,1.0,2021-09-24T00:00:00,6,8,8,8,1.0,2021-05-14T00:00:00,7,8,8,1,0.3308,67,87,20
operating__2021__minimum__mae_first__rr_2.50,operating,2021,minimum,mae_first,rr_2.50,"{""2.50"": 1}",260074.0,277000.0,16926.0,57962,6135,0.5706976744186046,,172,"{""2.50"": 70}",6,13,7,1.0,2021-09-28T00:00:00,6,7,7,7,1.0,2021-09-22T00:00:00,7,7,7,8,1.0,2021-04-22T00:00:00,7,8,8,6,54.1889,70,90,20
operating__2021__minimum__mae_first__rr_3.00,operating,2021,minimum,mae_first,rr_3.00,"{""3.00"": 1}",309135.0,323500.0,14365.0,69819,6001,0.5582844915806121,,155,"{""3.00"": 54}",7,12,7,1.0,2021-02-26T00:00:00,3,7,7,7,1.0,2021-02-22T00:00:00,5,7,7,7,1.0,2021-02-01T00:00:00,5,7,7,4,11.3604,54,74,20
operating__2021__minimum__mae_first__rr_3.50,operating,2021,minimum,mae_first,rr_3.50,"{""3.50"": 1}",297786.0,312500.0,14714.0,68722,5785,0.5385403090672128,,158,"{""3.50"": 56}",5,12,5,1.0,2021-02-26T00:00:00,5,5,5,9,1.0,2021-02-22T00:00:00,7,9,9,9,1.0,2021-02-01T00:00:00,7,9,9,2,1.9593,56,76,20
operating__2021__minimum__mae_first__near,operating,2021,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",297238.0,308500.0,11262.0,110719,8257,0.7675931951287533,,114,"{""0.75"": 20, ""1.25"": 20}",4,6,6,1.0,2021-06-17T00:00:00,2,6,6,8,1.0,2021-06-11T00:00:00,2,8,8,8,1.0,2021-02-09T00:00:00,2,8,8,1,19.3958,40,60,20
operating__2021__minimum__mae_first__modest,operating,2021,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",286057.0,300000.0,13943.0,108378,8862,0.8238356419075951,,146,"{""0.50"": 32, ""1.50"": 21}",7,11,7,0.75,2022-01-10T00:00:00,0,7,7,7,0.833333,2022-01-04T00:00:00,3,7,7,11,0.833333,2021-12-28T00:00:00,5,11,11,0,0.0,53,73,20
operating__2021__minimum__mae_first__four,operating,2021,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",308427.0,320500.0,12073.0,100906,8814,0.8193734312540671,,131,"{""0.50"": 14, ""1.00"": 9, ""1.50"": 9, ""2.00"": 10}",4,6,5,1.0,2021-06-09T00:00:00,0,5,5,5,1.0,2021-06-03T00:00:00,1,5,5,8,1.0,2021-04-22T00:00:00,3,8,8,1,23.6419,42,62,20
operating__2021__minimum__mae_first__wide,operating,2021,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",303562.0,318500.0,14938.0,88707,8827,0.8205819466393977,,161,"{""0.50"": 15, ""1.50"": 6, ""2.50"": 17, ""3.50"": 19}",4,8,4,0.5,2021-05-13T00:00:00,0,4,4,7,0.666667,2022-06-27T00:00:00,3,7,7,10,0.8,2021-12-13T00:00:00,5,10,10,0,0.0,57,77,20
isolation__2022__minimum__mae_first__rr_0.50,isolation,2022,minimum,mae_first,rr_0.50,"{""0.50"": 1}",296000.0,300000.0,4000.0,147460,7373,0.8334840605923581,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2022__minimum__mae_first__rr_0.75,isolation,2022,minimum,mae_first,rr_0.75,"{""0.75"": 1}",326000.0,330000.0,4000.0,138320,6916,0.7818222925616097,True,0,{},0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20
isolation__2022__minimum__mae_first__rr_1.00,isolation,2022,minimum,mae_first,rr_1.00,"{""1.00"": 1}",-4000.0,0.0,4000.0,9940,497,0.05618993781797626,True,0,"{""1.00"": 20}",20,1,20,1.0,2022-05-12T00:00:00,1,20,20,20,1.0,2022-05-06T00:00:00,1,20,20,20,1.0,2022-04-14T00:00:00,1,20,20,1,1523.2069,20,20,0
isolation__2022__minimum__mae_first__rr_1.25,isolation,2022,minimum,mae_first,rr_1.25,"{""1.25"": 1}",-4000.0,0.0,4000.0,1740,87,0.00983717774762551,True,0,"{""1.25"": 20}",20,1,20,1.0,2022-01-21T00:00:00,1,20,20,20,1.0,2022-01-17T00:00:00,1,20,20,20,1.0,2022-01-03T00:00:00,1,20,20,1,1633.9417,20,20,0
isolation__2022__minimum__mae_first__rr_1.50,isolation,2022,minimum,mae_first,rr_1.50,"{""1.50"": 1}",-4000.0,0.0,4000.0,1720,86,0.009725206377926043,True,0,"{""1.50"": 20}",20,1,20,1.0,2022-01-24T00:00:00,1,20,20,20,1.0,2022-01-18T00:00:00,1,20,20,20,1.0,2022-01-03T00:00:00,1,20,20,1,1631.2,20,20,0
isolation__2022__minimum__mae_first__rr_2.00,isolation,2022,minimum,mae_first,rr_2.00,"{""2.00"": 1}",-4000.0,0.0,4000.0,11140,557,0.06299479755711378,True,0,"{""2.00"": 20}",20,1,20,1.0,2022-06-14T00:00:00,1,20,20,20,1.0,2022-06-08T00:00:00,1,20,20,20,1.0,2022-05-18T00:00:00,1,20,20,1,1490.2812,20,20,0
isolation__2022__minimum__mae_first__rr_2.50,isolation,2022,minimum,mae_first,rr_2.50,"{""2.50"": 1}",-4000.0,0.0,4000.0,480,24,0.0027149321266968325,True,0,"{""2.50"": 20}",20,1,20,1.0,2022-01-10T00:00:00,1,20,20,20,1.0,2022-01-04T00:00:00,1,20,20,20,1.0,2022-01-03T00:00:00,1,20,20,1,1645.3382,20,20,0
isolation__2022__minimum__mae_first__rr_3.00,isolation,2022,minimum,mae_first,rr_3.00,"{""3.00"": 1}",-4000.0,0.0,4000.0,480,24,0.0027152392804615905,True,0,"{""3.00"": 20}",20,1,20,1.0,2022-01-10T00:00:00,1,20,20,20,1.0,2022-01-04T00:00:00,1,20,20,20,1.0,2022-01-03T00:00:00,1,20,20,1,1645.3382,20,20,0
isolation__2022__minimum__mae_first__rr_3.50,isolation,2022,minimum,mae_first,rr_3.50,"{""3.50"": 1}",-4000.0,0.0,4000.0,460,23,0.0026032823995472553,True,0,"{""3.50"": 20}",20,1,20,1.0,2022-01-10T00:00:00,1,20,20,20,1.0,2022-01-04T00:00:00,1,20,20,20,1.0,2022-01-03T00:00:00,1,20,20,1,1645.3382,20,20,0
isolation__2022__minimum__mae_first__near,isolation,2022,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",161000.0,165000.0,4000.0,70030,6917,0.7819353380058783,,0,"{""1.25"": 10}",10,1,10,0.5,2022-01-21T00:00:00,1,10,10,10,0.5,2022-01-17T00:00:00,1,10,10,10,0.5,2022-01-03T00:00:00,1,10,10,0,0.0,10,20,10
isolation__2022__minimum__mae_first__modest,isolation,2022,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",146000.0,150000.0,4000.0,74590,7374,0.8335971060366267,,0,"{""1.50"": 10}",10,1,10,0.5,2022-01-24T00:00:00,1,10,10,10,0.5,2022-01-18T00:00:00,1,10,10,10,0.5,2022-01-03T00:00:00,1,10,10,0,0.0,10,20,10
isolation__2022__minimum__mae_first__four,isolation,2022,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",71000.0,75000.0,4000.0,42565,7376,0.8338231969251639,,0,"{""1.00"": 5, ""1.50"": 5, ""2.00"": 5}",5,3,5,0.5,2022-06-14T00:00:00,1,5,5,5,0.5,2022-06-08T00:00:00,1,5,5,5,0.5,2022-05-18T00:00:00,1,5,5,0,0.0,15,20,5
isolation__2022__minimum__mae_first__wide,isolation,2022,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",71000.0,75000.0,4000.0,37530,7374,0.8335971060366267,,0,"{""1.50"": 5, ""2.50"": 5, ""3.50"": 5}",10,2,10,0.5,2022-01-10T00:00:00,2,10,10,10,0.5,2022-01-04T00:00:00,2,10,10,15,0.75,2022-01-03T00:00:00,1,15,15,0,0.0,15,20,5
