case,phase,start_year,withdrawal,path_order,portfolio,weights,net_operating_cash,receipts,total_costs,copies,distinct_signals,signal_participation,homogeneous_control_matched,evaluation_months,rr_deaths,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive
isolation__2020__minimum__mae_first__rr_0.50,isolation,2020,minimum,mae_first,rr_0.50,"{""0.50"": 1}",-4000.0,0.0,4000.0,44860,2243,0.1771861916423098,True,0,"{""0.50"": 20}",20,1,20,1.0,2021-06-04T00:00:00,1,20,20,20,1.0,2021-05-31T00:00:00,1,20,20,20,1.0,2021-05-10T00:00:00,1,20,20,1,1865.2451,20,20,0
isolation__2020__minimum__mae_first__rr_0.75,isolation,2020,minimum,mae_first,rr_0.75,"{""0.75"": 1}",-4000.0,0.0,4000.0,6020,301,0.023777549569476263,True,0,"{""0.75"": 20}",20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0
isolation__2020__minimum__mae_first__rr_1.00,isolation,2020,minimum,mae_first,rr_1.00,"{""1.00"": 1}",-4000.0,0.0,4000.0,5640,282,0.022278401011218203,True,0,"{""1.00"": 20}",20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0
isolation__2020__minimum__mae_first__rr_1.25,isolation,2020,minimum,mae_first,rr_1.25,"{""1.25"": 1}",-4000.0,0.0,4000.0,4340,217,0.017144663032314135,True,0,"{""1.25"": 20}",20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7505,20,20,0
isolation__2020__minimum__mae_first__rr_1.50,isolation,2020,minimum,mae_first,rr_1.50,"{""1.50"": 1}",-4000.0,0.0,4000.0,4200,210,0.016594231529039907,True,0,"{""1.50"": 20}",20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7088,20,20,0
isolation__2020__minimum__mae_first__rr_2.00,isolation,2020,minimum,mae_first,rr_2.00,"{""2.00"": 1}",-4000.0,0.0,4000.0,4700,235,0.018571202781729097,True,0,"{""2.00"": 20}",20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0
isolation__2020__minimum__mae_first__rr_2.50,isolation,2020,minimum,mae_first,rr_2.50,"{""2.50"": 1}",-4000.0,0.0,4000.0,3700,185,0.014622194119506797,True,0,"{""2.50"": 20}",20,1,20,1.0,2020-02-28T00:00:00,1,20,20,20,1.0,2020-02-24T00:00:00,1,20,20,20,1.0,2020-02-03T00:00:00,1,20,20,1,2327.2405,20,20,0
isolation__2020__minimum__mae_first__rr_3.00,isolation,2020,minimum,mae_first,rr_3.00,"{""3.00"": 1}",-4000.0,0.0,4000.0,3440,172,0.013596837944664032,True,0,"{""3.00"": 20}",20,1,20,1.0,2020-02-28T00:00:00,1,20,20,20,1.0,2020-02-24T00:00:00,1,20,20,20,1.0,2020-02-03T00:00:00,1,20,20,1,2327.4201,20,20,0
isolation__2020__minimum__mae_first__rr_3.50,isolation,2020,minimum,mae_first,rr_3.50,"{""3.50"": 1}",-4000.0,0.0,4000.0,3300,165,0.013050699992090485,True,0,"{""3.50"": 20}",20,1,20,1.0,2020-02-28T00:00:00,1,20,20,20,1.0,2020-02-24T00:00:00,1,20,20,20,1.0,2020-02-03T00:00:00,1,20,20,1,2327.4201,20,20,0
isolation__2020__minimum__mae_first__near,isolation,2020,minimum,mae_first,near,"{""0.75"": 1, ""1.25"": 1}",-4000.0,0.0,4000.0,5180,303,0.023935539932064143,,0,"{""0.75"": 10, ""1.25"": 10}",10,2,10,1.0,2020-03-12T00:00:00,2,10,10,10,1.0,2020-03-06T00:00:00,2,10,10,20,1.0,2020-02-14T00:00:00,2,20,20,1,2314.0167,20,20,0
isolation__2020__minimum__mae_first__modest,isolation,2020,minimum,mae_first,modest,"{""0.50"": 1, ""1.50"": 1}",-4000.0,0.0,4000.0,24530,2244,0.17726518682360376,,0,"{""0.50"": 10, ""1.50"": 10}",10,2,10,1.0,2021-06-04T00:00:00,2,10,10,10,1.0,2021-05-31T00:00:00,2,10,10,10,1.0,2021-05-10T00:00:00,2,10,10,1,1865.2451,20,20,0
isolation__2020__minimum__mae_first__four,isolation,2020,minimum,mae_first,four,"{""0.50"": 1, ""1.00"": 1, ""1.50"": 1, ""2.00"": 1}",-4000.0,0.0,4000.0,14850,2249,0.17766016273007346,,0,"{""0.50"": 5, ""1.00"": 5, ""1.50"": 5, ""2.00"": 5}",10,3,10,1.0,2021-06-04T00:00:00,2,10,10,10,1.0,2021-05-31T00:00:00,2,10,10,15,1.0,2021-05-10T00:00:00,2,15,15,1,1865.2451,20,20,0
isolation__2020__minimum__mae_first__wide,isolation,2020,minimum,mae_first,wide,"{""0.50"": 1, ""1.50"": 1, ""2.50"": 1, ""3.50"": 1}",-4000.0,0.0,4000.0,14015,2244,0.17726518682360376,,0,"{""0.50"": 5, ""1.50"": 5, ""2.50"": 5, ""3.50"": 5}",5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0
operating__2020__minimum__mae_first__rr_0.50,operating,2020,minimum,mae_first,rr_0.50,"{""0.50"": 1}",137320.0,156500.0,19180.0,101986,10117,0.7991942491508018,,210,"{""0.50"": 78}",10,17,10,1.0,2021-06-04T00:00:00,6,10,10,10,1.0,2021-05-31T00:00:00,7,10,10,10,1.0,2021-05-10T00:00:00,8,10,10,1,32.9072,78,98,20
operating__2020__minimum__mae_first__rr_0.75,operating,2020,minimum,mae_first,rr_0.75,"{""0.75"": 1}",222784.0,239500.0,16716.0,123050,9452,0.746662453590331,,177,"{""0.75"": 67}",7,16,9,1.0,2020-03-12T00:00:00,5,9,9,10,1.0,2020-03-06T00:00:00,6,10,10,10,1.0,2020-03-02T00:00:00,6,10,10,3,40.6838,67,87,20
operating__2020__minimum__mae_first__rr_1.00,operating,2020,minimum,mae_first,rr_1.00,"{""1.00"": 1}",312147.0,328000.0,15853.0,117000,9071,0.7166218991941855,True,166,"{""1.00"": 63}",7,15,8,1.0,2020-03-12T00:00:00,4,8,8,11,1.0,2020-03-06T00:00:00,6,11,11,12,1.0,2020-03-02T00:00:00,5,13,13,2,0.3088,63,83,20
