case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
operating__2023__maximum__mae_first__modest,operating,2023,maximum,mae_first,modest,36827.95,1,0,12.9208,-2,0,0
operating__2023__maximum__mae_first__four,operating,2023,maximum,mae_first,four,28291.25,5,0,6.0007,-2,0,0
operating__2023__maximum__mae_first__wide,operating,2023,maximum,mae_first,wide,50908.95,9,-1,-42.2197,-1,0,0
isolation__2025__maximum__mae_first__rr_0.50,isolation,2025,maximum,mae_first,rr_0.50,0.0,0,0,25.1618,0,0,0
isolation__2025__maximum__mae_first__rr_0.75,isolation,2025,maximum,mae_first,rr_0.75,0.0,0,0,24.9021,0,0,0
isolation__2025__maximum__mae_first__rr_1.00,isolation,2025,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2025__maximum__mae_first__rr_1.25,isolation,2025,maximum,mae_first,rr_1.25,0.0,0,0,0.1104,0,0,0
isolation__2025__maximum__mae_first__rr_1.50,isolation,2025,maximum,mae_first,rr_1.50,0.0,0,0,0.1104,0,0,0
isolation__2025__maximum__mae_first__rr_2.00,isolation,2025,maximum,mae_first,rr_2.00,0.0,0,0,80.9761,0,0,0
isolation__2025__maximum__mae_first__rr_2.50,isolation,2025,maximum,mae_first,rr_2.50,0.0,0,0,80.9761,0,0,0
isolation__2025__maximum__mae_first__rr_3.00,isolation,2025,maximum,mae_first,rr_3.00,0.0,0,0,28.0595,0,0,0
isolation__2025__maximum__mae_first__rr_3.50,isolation,2025,maximum,mae_first,rr_3.50,0.0,0,0,81.2875,0,0,0
isolation__2025__maximum__mae_first__near,isolation,2025,maximum,mae_first,near,0.0,0,0,0.1104,-10,0,1
isolation__2025__maximum__mae_first__modest,isolation,2025,maximum,mae_first,modest,0.0,0,0,0.1104,-10,0,1
isolation__2025__maximum__mae_first__four,isolation,2025,maximum,mae_first,four,0.0,0,0,0.0,-15,-5,0
isolation__2025__maximum__mae_first__wide,isolation,2025,maximum,mae_first,wide,0.0,0,0,0.1104,-15,-10,2
operating__2025__maximum__mae_first__rr_0.50,operating,2025,maximum,mae_first,rr_0.50,9464.75,-11,-1,-12.1627,1,-4,-1
operating__2025__maximum__mae_first__rr_0.75,operating,2025,maximum,mae_first,rr_0.75,132.0,0,0,-5.8569,0,-1,0
operating__2025__maximum__mae_first__rr_1.00,operating,2025,maximum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2025__maximum__mae_first__rr_1.25,operating,2025,maximum,mae_first,rr_1.25,1650.2,-4,-1,-12.1627,0,-1,0
operating__2025__maximum__mae_first__rr_1.50,operating,2025,maximum,mae_first,rr_1.50,5915.35,-5,-1,-12.1627,0,-2,0
operating__2025__maximum__mae_first__rr_2.00,operating,2025,maximum,mae_first,rr_2.00,10234.05,-9,-1,-12.1627,0,-4,-1
operating__2025__maximum__mae_first__rr_2.50,operating,2025,maximum,mae_first,rr_2.50,14673.6,-10,-1,-12.1627,-1,-5,0
operating__2025__maximum__mae_first__rr_3.00,operating,2025,maximum,mae_first,rr_3.00,22839.85,-8,-1,-12.1627,1,-4,-1
operating__2025__maximum__mae_first__rr_3.50,operating,2025,maximum,mae_first,rr_3.50,25943.65,-10,-1,-12.1627,0,-4,-1
operating__2025__maximum__mae_first__near,operating,2025,maximum,mae_first,near,349.0,-2,0,-6.0062,0,0,0
operating__2025__maximum__mae_first__modest,operating,2025,maximum,mae_first,modest,7520.8,-9,-1,-12.1627,0,-4,-1
operating__2025__maximum__mae_first__four,operating,2025,maximum,mae_first,four,4433.0,-3,-1,-12.1627,0,-2,0
operating__2025__maximum__mae_first__wide,operating,2025,maximum,mae_first,wide,13593.7,-9,-1,-12.1627,-1,-5,-1
isolation__2020__minimum__mfe_first__rr_0.50,isolation,2020,minimum,mfe_first,rr_0.50,0.0,0,0,-448.7716,0,0,0
isolation__2020__minimum__mfe_first__rr_0.75,isolation,2020,minimum,mfe_first,rr_0.75,0.0,0,0,0.0,0,0,0
isolation__2020__minimum__mfe_first__rr_1.00,isolation,2020,minimum,mfe_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2020__minimum__mfe_first__rr_1.25,isolation,2020,minimum,mfe_first,rr_1.25,0.0,0,0,10.7338,0,0,0
isolation__2020__minimum__mfe_first__rr_1.50,isolation,2020,minimum,mfe_first,rr_1.50,0.0,0,0,10.6921,0,0,0
isolation__2020__minimum__mfe_first__rr_2.00,isolation,2020,minimum,mfe_first,rr_2.00,0.0,0,0,0.0,0,0,0
isolation__2020__minimum__mfe_first__rr_2.50,isolation,2020,minimum,mfe_first,rr_2.50,0.0,0,0,13.2238,0,0,0
isolation__2020__minimum__mfe_first__rr_3.00,isolation,2020,minimum,mfe_first,rr_3.00,0.0,0,0,13.4034,0,0,0
isolation__2020__minimum__mfe_first__rr_3.50,isolation,2020,minimum,mfe_first,rr_3.50,0.0,0,0,13.4034,0,0,0
isolation__2020__minimum__mfe_first__near,isolation,2020,minimum,mfe_first,near,0.0,0,0,0.0,-10,0,1
isolation__2020__minimum__mfe_first__modest,isolation,2020,minimum,mfe_first,modest,0.0,0,0,-448.7716,-10,-10,1
isolation__2020__minimum__mfe_first__four,isolation,2020,minimum,mfe_first,four,0.0,0,0,-448.7716,-10,-5,1
isolation__2020__minimum__mfe_first__wide,isolation,2020,minimum,mfe_first,wide,0.0,0,0,-448.7716,-15,-5,2
operating__2020__minimum__mfe_first__rr_0.50,operating,2020,minimum,mfe_first,rr_0.50,-249791.0,27,1,44.9431,3,-2,3
operating__2020__minimum__mfe_first__rr_0.75,operating,2020,minimum,mfe_first,rr_0.75,-116042.0,14,1,40.375,0,-3,1
operating__2020__minimum__mfe_first__rr_1.00,operating,2020,minimum,mfe_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2020__minimum__mfe_first__rr_1.25,operating,2020,minimum,mfe_first,rr_1.25,39759.0,-12,0,0.1576,-3,-6,-2
operating__2020__minimum__mfe_first__rr_1.50,operating,2020,minimum,mfe_first,rr_1.50,69866.0,-13,0,0.1576,-2,-4,-3
operating__2020__minimum__mfe_first__rr_2.00,operating,2020,minimum,mfe_first,rr_2.00,44937.0,-7,0,0.0,-1,-6,-5
operating__2020__minimum__mfe_first__rr_2.50,operating,2020,minimum,mfe_first,rr_2.50,109333.0,-4,0,0.1576,0,-4,-2
operating__2020__minimum__mfe_first__rr_3.00,operating,2020,minimum,mfe_first,rr_3.00,38639.0,4,0,0.0896,0,-6,1
operating__2020__minimum__mfe_first__rr_3.50,operating,2020,minimum,mfe_first,rr_3.50,12434.0,9,0,0.7507,-2,-3,2
operating__2020__minimum__mfe_first__near,operating,2020,minimum,mfe_first,near,-27203.0,-4,0,0.0,-2,-4,-1
operating__2020__minimum__mfe_first__modest,operating,2020,minimum,mfe_first,modest,-32357.0,7,-2,-0.3088,1,0,0
operating__2020__minimum__mfe_first__four,operating,2020,minimum,mfe_first,four,-9575.0,-1,-2,-0.3088,-4,-3,-1
operating__2020__minimum__mfe_first__wide,operating,2020,minimum,mfe_first,wide,37438.0,-7,-2,-0.3088,-4,-5,-5
isolation__2023__minimum__mfe_first__rr_0.50,isolation,2023,minimum,mfe_first,rr_0.50,-360000.0,20,1,1229.9171,20,20,1
isolation__2023__minimum__mfe_first__rr_0.75,isolation,2023,minimum,mfe_first,rr_0.75,-90000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_1.00,isolation,2023,minimum,mfe_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_1.25,isolation,2023,minimum,mfe_first,rr_1.25,10000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_1.50,isolation,2023,minimum,mfe_first,rr_1.50,20000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_2.00,isolation,2023,minimum,mfe_first,rr_2.00,10000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_2.50,isolation,2023,minimum,mfe_first,rr_2.50,110000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_3.00,isolation,2023,minimum,mfe_first,rr_3.00,60000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__rr_3.50,isolation,2023,minimum,mfe_first,rr_3.50,30000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__near,isolation,2023,minimum,mfe_first,near,-40000.0,0,0,0.0,0,0,0
isolation__2023__minimum__mfe_first__modest,isolation,2023,minimum,mfe_first,modest,-170000.0,10,0,0.0,10,10,1
isolation__2023__minimum__mfe_first__four,isolation,2023,minimum,mfe_first,four,-82500.0,5,0,0.0,5,5,0
isolation__2023__minimum__mfe_first__wide,isolation,2023,minimum,mfe_first,wide,-50000.0,5,0,0.0,5,5,0
operating__2023__minimum__mfe_first__rr_0.50,operating,2023,minimum,mfe_first,rr_0.50,-13354.0,-7,0,27.322,1,0,0
operating__2023__minimum__mfe_first__rr_0.75,operating,2023,minimum,mfe_first,rr_0.75,-27007.0,4,0,5.0007,1,0,0
operating__2023__minimum__mfe_first__rr_1.00,operating,2023,minimum,mfe_first,rr_1.00,0.0,0,0,0.0,0,0,0
operating__2023__minimum__mfe_first__rr_1.25,operating,2023,minimum,mfe_first,rr_1.25,-7330.0,5,0,3.9257,-2,0,0
operating__2023__minimum__mfe_first__rr_1.50,operating,2023,minimum,mfe_first,rr_1.50,20071.0,5,0,10.8319,0,0,0
operating__2023__minimum__mfe_first__rr_2.00,operating,2023,minimum,mfe_first,rr_2.00,16031.0,9,-1,-42.2197,-3,0,0
operating__2023__minimum__mfe_first__rr_2.50,operating,2023,minimum,mfe_first,rr_2.50,67052.0,-3,-1,-42.2197,-3,-2,0
operating__2023__minimum__mfe_first__rr_3.00,operating,2023,minimum,mfe_first,rr_3.00,39849.0,-3,-1,-42.2197,-3,-2,0
operating__2023__minimum__mfe_first__rr_3.50,operating,2023,minimum,mfe_first,rr_3.50,-1785.0,9,0,3.9257,-2,0,0
operating__2023__minimum__mfe_first__near,operating,2023,minimum,mfe_first,near,-401.0,1,0,-32.9993,-1,0,0
operating__2023__minimum__mfe_first__modest,operating,2023,minimum,mfe_first,modest,-11462.0,5,0,12.9208,-2,0,0
operating__2023__minimum__mfe_first__four,operating,2023,minimum,mfe_first,four,-7613.0,6,0,6.0007,-2,0,0
operating__2023__minimum__mfe_first__wide,operating,2023,minimum,mfe_first,wide,-1943.0,8,-1,-42.2197,-3,-1,0
