case,phase,start_year,withdrawal,path_order,portfolio,net_operating_cash_delta_vs_rr1,deaths_delta_vs_rr1,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,half_loss_20d_episodes_min5_delta_vs_rr1
operating__2021__minimum__mae_first__rr_1.25,operating,2021,minimum,mae_first,rr_1.25,3821.0,6,0,-13.0757,-1,0,1
operating__2021__minimum__mae_first__rr_1.50,operating,2021,minimum,mae_first,rr_1.50,41644.0,5,-2,-23.1667,2,0,1
operating__2021__minimum__mae_first__rr_2.00,operating,2021,minimum,mae_first,rr_2.00,-64447.0,28,-1,-22.8359,2,0,5
operating__2021__minimum__mae_first__rr_2.50,operating,2021,minimum,mae_first,rr_2.50,-61756.0,31,4,31.0222,1,0,5
operating__2021__minimum__mae_first__rr_3.00,operating,2021,minimum,mae_first,rr_3.00,-12695.0,15,2,-11.8063,2,-1,3
operating__2021__minimum__mae_first__rr_3.50,operating,2021,minimum,mae_first,rr_3.50,-24044.0,17,0,-21.2074,0,1,5
operating__2021__minimum__mae_first__near,operating,2021,minimum,mae_first,near,-24592.0,1,-1,-3.7709,-1,0,0
operating__2021__minimum__mae_first__modest,operating,2021,minimum,mae_first,modest,-35773.0,14,-2,-23.1667,2,3,3
operating__2021__minimum__mae_first__four,operating,2021,minimum,mae_first,four,-13403.0,3,-1,0.4752,-1,0,1
operating__2021__minimum__mae_first__wide,operating,2021,minimum,mae_first,wide,-18268.0,18,-2,-23.1667,-1,2,3
isolation__2022__minimum__mae_first__rr_0.50,isolation,2022,minimum,mae_first,rr_0.50,300000.0,-20,-1,-1523.2069,-20,-20,-1
isolation__2022__minimum__mae_first__rr_0.75,isolation,2022,minimum,mae_first,rr_0.75,330000.0,-20,-1,-1523.2069,-20,-20,-1
isolation__2022__minimum__mae_first__rr_1.00,isolation,2022,minimum,mae_first,rr_1.00,0.0,0,0,0.0,0,0,0
isolation__2022__minimum__mae_first__rr_1.25,isolation,2022,minimum,mae_first,rr_1.25,0.0,0,0,110.7348,0,0,0
isolation__2022__minimum__mae_first__rr_1.50,isolation,2022,minimum,mae_first,rr_1.50,0.0,0,0,107.9931,0,0,0
isolation__2022__minimum__mae_first__rr_2.00,isolation,2022,minimum,mae_first,rr_2.00,0.0,0,0,-32.9257,0,0,0
isolation__2022__minimum__mae_first__rr_2.50,isolation,2022,minimum,mae_first,rr_2.50,0.0,0,0,122.1313,0,0,0
isolation__2022__minimum__mae_first__rr_3.00,isolation,2022,minimum,mae_first,rr_3.00,0.0,0,0,122.1313,0,0,0
isolation__2022__minimum__mae_first__rr_3.50,isolation,2022,minimum,mae_first,rr_3.50,0.0,0,0,122.1313,0,0,0
isolation__2022__minimum__mae_first__near,isolation,2022,minimum,mae_first,near,165000.0,-10,-1,-1523.2069,-10,-10,0
isolation__2022__minimum__mae_first__modest,isolation,2022,minimum,mae_first,modest,150000.0,-10,-1,-1523.2069,-10,-10,0
