at,kind,eval_id
2020-10-16T00:00:00,activation_blocked,18
2020-10-17T00:00:00,activation_blocked,18
2020-10-18T00:00:00,activation_blocked,18
2020-10-19T00:00:00,activation_blocked,18
2020-10-20T00:00:00,activation_blocked,18
2020-10-21T00:00:00,activation_blocked,18
2020-10-22T00:00:00,activation_blocked,18
2020-10-23T00:00:00,activation_blocked,18
2020-10-24T00:00:00,activation_blocked,18
2020-10-25T00:00:00,activation_blocked,18
2020-10-26T00:00:00,activation_blocked,18
2020-10-27T00:00:00,activation_blocked,18
2020-10-28T00:00:00,activation_blocked,18
2020-10-29T00:00:00,activation_blocked,18
2020-10-30T00:00:00,activation_blocked,18
2020-10-31T00:00:00,activation_blocked,18
2020-11-05T00:00:00,activation_blocked,12
2020-11-06T00:00:00,activation_blocked,12
2020-11-07T00:00:00,activation_blocked,12
2020-11-08T00:00:00,activation_blocked,12
