at,account_id,cohort_month,amount_usd,balance_before_usd,balance_after_usd,outstanding_after_usd
2020-06-01 00:00:00,4,2020-04,200.0,27423.05,27223.05,0.0
2020-08-01 00:00:00,4,2020-04,200.0,27110.65,26910.65,0.0
2020-09-01 00:00:00,4,2020-04,100.0,27238.75,27138.75,0.0
2020-09-01 00:00:00,5,2020-05,100.0,26607.2,26507.2,300.0
2020-10-01 00:00:00,4,2020-04,100.0,27416.2,27316.2,0.0
2020-10-01 00:00:00,5,2020-05,200.0,26784.65,26584.65,200.0
2020-11-01 00:00:00,4,2020-04,100.0,27469.65,27369.65,0.0
2020-11-01 00:00:00,5,2020-05,200.0,26738.1,26538.1,100.0
2020-12-01 00:00:00,4,2020-04,100.0,27721.6,27621.6,0.0
2020-12-01 00:00:00,5,2020-05,200.0,26890.05,26690.05,0.0
2021-01-01 00:00:00,4,2020-04,100.0,26858.15,26758.15,0.0
2021-02-01 00:00:00,4,2020-04,100.0,26846.15,26746.15,0.0
2021-04-01 00:00:00,4,2020-04,200.0,27606.85,27406.85,0.0
2021-05-01 00:00:00,4,2020-04,100.0,27632.7,27532.7,0.0
2021-05-01 00:00:00,15,2021-03,200.0,26713.55,26513.55,0.0
2021-11-01 00:00:00,19,2021-07,400.0,26914.1,26514.1,0.0
2021-11-01 00:00:00,20,2021-08,300.0,26847.4,26547.4,0.0
2021-11-01 00:00:00,21,2021-09,200.0,26877.4,26677.4,0.0
2021-11-01 00:00:00,22,2021-10,100.0,27454.2,27354.2,0.0
2021-12-01 00:00:00,19,2021-07,100.0,27277.75,27177.75,0.0
2021-12-01 00:00:00,20,2021-08,100.0,27311.05,27211.05,0.0
2021-12-01 00:00:00,21,2021-09,100.0,27441.05,27341.05,0.0
2021-12-01 00:00:00,22,2021-10,100.0,28117.85,28017.85,0.0
2022-01-01 00:00:00,22,2021-10,100.0,26920.7,26820.7,0.0
2022-02-01 00:00:00,19,2021-07,200.0,28077.15,27877.15,0.0
2022-02-01 00:00:00,20,2021-08,200.0,28110.45,27910.45,0.0
2022-02-01 00:00:00,21,2021-09,200.0,28240.45,28040.45,0.0
2022-02-01 00:00:00,22,2021-10,100.0,28817.25,28717.25,0.0
2022-02-01 00:00:00,25,2022-01,100.0,26996.55,26896.55,0.0
2022-03-01 00:00:00,19,2021-07,100.0,30413.15,30313.15,0.0
2022-03-01 00:00:00,20,2021-08,100.0,30446.45,30346.45,0.0
2022-03-01 00:00:00,21,2021-09,100.0,30576.45,30476.45,0.0
2022-03-01 00:00:00,22,2021-10,100.0,31253.25,31153.25,0.0
2022-03-01 00:00:00,25,2022-01,100.0,29432.55,29332.55,0.0
2022-03-01 00:00:00,26,2022-02,100.0,27536.0,27436.0,0.0
2022-04-01 00:00:00,19,2021-07,100.0,30731.8,30631.8,0.0
2022-04-01 00:00:00,20,2021-08,100.0,30765.1,30665.1,0.0
2022-04-01 00:00:00,21,2021-09,100.0,30895.1,30795.1,0.0
2022-04-01 00:00:00,22,2021-10,100.0,31571.9,31471.9,0.0
2022-04-01 00:00:00,25,2022-01,100.0,29751.2,29651.2,0.0
2022-04-01 00:00:00,26,2022-02,100.0,27854.65,27754.65,0.0
2022-05-01 00:00:00,19,2021-07,100.0,31996.45,31896.45,0.0
2022-05-01 00:00:00,20,2021-08,100.0,32029.75,31929.75,0.0
2022-05-01 00:00:00,21,2021-09,100.0,32159.75,32059.75,0.0
2022-05-01 00:00:00,22,2021-10,100.0,32836.55,32736.55,0.0
2022-05-01 00:00:00,25,2022-01,100.0,31015.85,30915.85,0.0
2022-05-01 00:00:00,26,2022-02,100.0,29119.3,29019.3,0.0
2022-06-01 00:00:00,19,2021-07,100.0,30888.8,30788.8,0.0
2022-06-01 00:00:00,20,2021-08,100.0,30922.1,30822.1,0.0
2022-06-01 00:00:00,21,2021-09,100.0,31052.1,30952.1,0.0
2022-06-01 00:00:00,22,2021-10,100.0,31728.9,31628.9,0.0
2022-06-01 00:00:00,25,2022-01,100.0,29908.2,29808.2,0.0
2022-06-01 00:00:00,26,2022-02,100.0,28011.65,27911.65,0.0
2022-07-01 00:00:00,19,2021-07,100.0,27379.15,27279.15,0.0
