product,window,headroom,minimum_ongoing,maximum_ongoing,minimum_minus_maximum_ongoing,minimum_total,maximum_total,minimum_minus_maximum_total,minimum_terminal,maximum_terminal,minimum_minus_maximum_terminal,minimum_deaths,maximum_deaths,minimum_minus_maximum_deaths,minimum_alive,maximum_alive,minimum_minus_maximum_alive,minimum_unfilled_account_days,maximum_unfilled_account_days,minimum_minus_maximum_unfilled_account_days,minimum_average_retained_profit_per_live_pa,maximum_average_retained_profit_per_live_pa,minimum_minus_maximum_average_retained_profit_per_live_pa,minimum_average_retained_profit_book,maximum_average_retained_profit_book,minimum_minus_maximum_average_retained_profit_book,minimum_frozen_mean_balance_std_usd,maximum_frozen_mean_balance_std_usd,minimum_minus_maximum_frozen_mean_balance_std_usd,minimum_largest_simultaneous_deaths,maximum_largest_simultaneous_deaths,minimum_minus_maximum_largest_simultaneous_deaths
legacy_25k,two_years_2024,8000,17365.0,16265.1,1099.9,17365.0,43472.46,-26107.46,0,27207.36,-27207.36,32,32,0,12,12,0,771.51,771.51,0.0,4779.0,4697.79,81.21,40612.93,39922.76,690.17,1708.2821,1610.458,97.8241,2,2,0
legacy_25k,two_years_2024,9000,9865.0,9552.0,313.0,9865.0,22228.84,-12363.84,0,12676.84,-12676.84,32,32,0,12,12,0,771.51,771.51,0.0,5156.13,5089.74,66.39,43817.78,43253.59,564.19,1976.5206,1913.728,62.7926,2,2,0
legacy_25k,two_years_2024,10000,2865.0,2508.85,356.15,2865.0,14685.69,-11820.69,0,12176.84,-12176.84,32,32,0,12,12,0,771.51,771.51,0.0,5405.01,5366.08,38.93,45932.83,45602.05,330.78,2201.1593,2156.7985,44.3608,2,2,0
legacy_50k,full,0,478585.0,358270.94,120314.06,478585.0,358270.94,120314.06,0,0,0,129,205,-76,10,8,2,7041.26,10754.47,-3713.21,2206.83,1323.43,883.4,31374.79,16655.13,14719.66,182.4986,582.1903,-399.6917,16,17,-1
legacy_50k,full,1000,478585.0,347983.1,130601.9,478585.0,347983.1,130601.9,0,0,0,129,201,-72,10,8,2,7041.26,11587.96,-4546.7,2206.83,1356.38,850.45,31374.79,16595.79,14779.0,182.4986,584.6751,-402.1765,16,16,0
legacy_50k,full,2000,478585.0,350429.15,128155.85,478585.0,350429.15,128155.85,0,0,0,129,192,-63,10,8,2,7041.26,10391.55,-3350.29,2206.83,1392.51,814.32,31374.79,17736.45,13638.34,182.4986,524.3126,-341.814,16,20,-4
legacy_50k,full,3000,566225.0,459988.55,106236.45,566225.0,459988.55,106236.45,0,0,0,78,141,-63,11,7,4,3046.35,7067.81,-4021.46,3047.3,1996.45,1050.85,48363.76,28318.84,20044.92,187.7516,400.5819,-212.8303,14,20,-6
legacy_50k,full,3100,562805.0,456637.4,106167.6,562805.0,456637.4,106167.6,0,0,0,78,138,-60,11,7,4,3005.05,6957.9,-3952.85,3106.22,2060.19,1046.03,49352.78,29361.97,19990.81,198.018,387.6382,-189.6202,14,20,-6
legacy_50k,full,3200,559695.0,448151.5,111543.5,559695.0,448151.5,111543.5,0,0,0,76,139,-63,11,7,4,2694.37,6962.99,-4268.62,3218.14,2096.5,1121.64,51619.06,29875.04,21744.02,131.9968,399.4285,-267.4317,19,20,-1
legacy_50k,full,3300,559695.0,483381.1,76313.9,559695.0,483381.1,76313.9,0,0,0,76,114,-38,11,7,4,2694.37,5452.77,-2758.4,3261.44,2189.79,1071.65,52313.52,32591.27,19722.25,147.9865,373.6003,-225.6138,19,20,-1
legacy_50k,full,3400,555345.0,481323.0,74022.0,555345.0,481323.0,74022.0,0,0,0,76,118,-42,11,7,4,2709.89,5847.55,-3137.66,3274.85,2244.2,1030.65,52507.42,33029.42,19478.0,156.5198,396.3213,-239.8015,18,20,-2
legacy_50k,full,3500,557310.0,478897.65,78412.35,557310.0,478897.65,78412.35,0,0,0,75,118,-43,11,7,4,2680.17,5853.31,-3173.14,3406.72,2307.73,1098.99,54664.13,33958.87,20705.26,179.1994,413.0487,-233.8493,18,20,-2
legacy_50k,full,3600,551745.0,476359.6,75385.4,551745.0,476359.6,75385.4,0,0,0,73,114,-41,12,7,5,2532.77,5386.64,-2853.87,3482.57,2358.46,1124.11,56096.59,35166.93,20929.66,189.4018,413.6664,-224.2646,17,20,-3
legacy_50k,full,3700,580680.0,474600.85,106079.15,580680.0,474600.85,106079.15,0,0,0,58,116,-58,12,9,3,2225.51,5807.16,-3581.65,3566.39,2416.9,1149.49,57895.7,35605.08,22290.62,166.4911,385.2342,-218.7431,16,20,-4
legacy_50k,full,3800,580230.0,460885.8,119344.2,580230.0,460885.8,119344.2,0,0,0,58,111,-53,12,10,2,2216.38,5448.45,-3232.07,3680.96,2482.4,1198.56,59769.79,36943.41,22826.38,176.354,398.4426,-222.0886,16,20,-4
legacy_50k,full,3900,579730.0,456601.15,123128.85,579730.0,456601.15,123128.85,0,0,0,51,111,-60,13,10,3,1988.93,5422.71,-3433.78,3765.67,2535.47,1230.2,61504.43,37760.58,23743.85,171.9957,400.5863,-228.5906,14,20,-6
