product,window,minimum_reserve,maximum_reserve,per_pa_capital_gap_pct,book_capital_gap_pct,within_tolerance,minimum_ongoing,maximum_ongoing,minimum_total,maximum_total,minimum_alive,maximum_alive,minimum_deaths,maximum_deaths,minimum_frozen_std,maximum_frozen_std,minimum_per_pa_capital,maximum_per_pa_capital,minimum_book_capital,maximum_book_capital
legacy_25k,full,0,2000,1.005,3.667,True,188573.0,211430.9,188573.0,211430.9,9,9,212,204,584.5691,507.1582,1350.87,1364.44,11976.72,12415.85
legacy_25k,full,1000,2000,1.005,3.667,True,188573.0,211430.9,188573.0,211430.9,9,9,212,204,584.5691,507.1582,1350.87,1364.44,11976.72,12415.85
legacy_25k,full,2000,3400,0.897,3.278,True,408815.0,415595.45,408815.0,415595.45,6,10,147,138,485.8383,467.1751,2333.11,2354.04,28865.23,27919.15
legacy_25k,full,3000,4500,1.745,1.824,True,504001.0,479425.84,504001.0,479425.84,7,5,94,96,313.6201,444.2714,3057.83,3111.2,42474.34,43249.05
legacy_25k,full,3100,4500,1.394,1.453,True,499892.0,479425.84,499892.0,479425.84,7,5,93,96,323.4676,444.2714,3155.19,3111.2,43886.77,43249.05
legacy_25k,full,3200,4500,2.918,2.639,True,495984.0,479425.84,495984.0,479425.84,3,5,96,96,355.6793,444.2714,3204.73,3111.2,44421.32,43249.05
legacy_25k,full,3300,5000,1.897,0.318,True,492484.0,450534.0,492484.0,450534.0,3,2,96,105,361.296,496.574,3270.88,3332.92,45418.56,45273.97
legacy_25k,full,3400,5000,1.251,0.996,True,487484.0,450534.0,487484.0,450534.0,3,2,96,105,368.0428,496.574,3291.74,3332.92,45729.6,45273.97
legacy_25k,full,3500,5000,2.432,6.125,False,499530.0,450534.0,499530.0,450534.0,3,2,92,105,396.2145,496.574,3415.98,3332.92,48227.71,45273.97
legacy_25k,full,3600,5000,4.107,8.211,False,494254.0,450534.0,494254.0,450534.0,3,2,95,105,405.7424,496.574,3475.67,3332.92,49324.15,45273.97
