product,window,withdrawal,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,live_multiple_account_days,live_mean_balance_std_usd,live_mean_balance_range_usd,live_mean_distinct_balances,live_identical_balance_fraction,frozen_multiple_account_days,frozen_mean_balance_std_usd,frozen_mean_balance_range_usd,frozen_mean_distinct_balances,frozen_identical_balance_fraction,book_empty_transitions,book_wipes_from_at_least_five_live,march30_pretrade_alive,march30_pretrade_distinct,march30_pretrade_profit_min,march30_pretrade_profit_max,job
legacy_25k,full,minimum,3700,28800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,514530.0,0,514530.0,532050.0,10994.6,90,4,99,190,85,6270.0,11250.0,17520.0,20600.0,535130.0,0,0,0,23.5,0,74,20,20287.41,55,0,2026-06-24T21:49:40,9,86,70,16,0.0233,48.38,124.02,5094.44,126.54,62.67,14.53,15,15,13,0,0,0,0,2384.5694,34621.4847,14.519,13069.9,52228.89,52546.61,3597.29,52598.87,3622.77,2174.4859,617.8048,1955.9022,11.2054,0.0,1857.6745,388.9388,1201.3086,11.5884,0.0,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 3700]"
legacy_25k,full,minimum,3800,28900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,537224.0,0,537224.0,553150.0,10994.6,82,4,91,172,75,5676.0,10250.0,15926.0,20600.0,557824.0,0,0,0,23.5,0,66,20,22640.36,47,0,2026-06-24T21:49:40,8,78,62,16,0.0256,34.6,124.02,4306.98,126.54,62.67,14.86,15,15,13,0,0,0,0,2384.5694,35408.9507,14.8492,12282.44,55264.8,55571.93,3721.74,55505.05,3737.91,2176.7602,591.8758,1990.5945,10.7391,0.0,1859.9488,377.3267,1249.6525,11.1436,0.0,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 3800]"
legacy_25k,full,minimum,3900,29000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,562968.0,0,562968.0,576800.0,10994.6,70,4,79,154,69,5082.0,8750.0,13832.0,20600.0,583568.0,0,0,0,23.5,0,54,20,25649.74,35,0,2026-06-24T21:49:40,9,66,50,16,0.0303,34.6,124.02,3749.82,126.54,62.67,15.09,15,15,13,0,0,0,0,2384.5694,35966.1032,15.0828,11725.29,58313.16,58595.31,3866.19,58334.12,3867.58,2177.0137,472.315,1528.3045,9.7548,0.0001,1860.2023,312.281,938.4211,10.2464,0.0001,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 3900]"
legacy_25k,full,minimum,4000,29100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,563891.0,0,563891.0,577650.0,16860.25,71,6,77,148,65,4884.0,8875.0,13759.0,20600.0,584491.0,0,0,0,23.5,0,53,20,25898.47,34,0,2026-06-24T21:49:40,9,65,51,14,0.0308,46.65,124.02,3524.44,119.42,60.67,15.19,15,15,13,0,0,0,0,2384.5694,36191.4896,15.1774,11499.9,60361.73,60641.98,3977.09,60367.09,3977.44,2177.8743,473.7621,1597.8563,9.846,0.0004,1865.7389,319.482,1017.5214,10.3306,0.0005,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4000]"
legacy_25k,full,minimum,4100,29200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,560790.0,0,560790.0,574200.0,13358.15,69,5,75,145,64,4785.0,8625.0,13410.0,20600.0,581390.0,0,0,0,23.5,0,52,20,26174.34,33,0,2026-06-24T21:49:40,8,64,49,15,0.0312,45.78,124.02,3507.66,116.67,61.67,15.2,15,15,13,0,0,0,0,2384.5694,36208.2613,15.1844,11483.13,61669.86,61949.33,4061.4,61662.18,4060.89,2171.7701,474.2462,1650.0902,9.8654,0.0,1861.3755,311.2258,1038.1262,10.3626,0.0,3,1,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4100]"
legacy_25k,full,minimum,4200,29300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,560340.0,0,560340.0,573750.0,13358.15,69,5,75,145,64,4785.0,8625.0,13410.0,20600.0,580940.0,0,0,0,23.5,0,52,20,26177.92,33,0,2026-06-24T21:49:40,8,64,49,15,0.0312,45.78,124.02,3504.09,116.67,61.67,15.2,15,15,13,0,0,0,0,2384.5694,36211.8405,15.1859,11479.55,62749.71,63029.18,4132.1,62741.88,4131.59,2171.7701,478.0172,1675.4985,9.8669,0.0,1861.3755,315.6555,1067.7715,10.3643,0.0,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4200]"
legacy_25k,full,minimum,4300,29400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,558540.0,0,558540.0,571950.0,13358.15,69,5,75,145,64,4785.0,8625.0,13410.0,20600.0,579140.0,0,0,0,23.5,0,52,20,26191.72,33,0,2026-06-24T21:49:40,8,64,49,15,0.0312,44.67,124.02,3490.28,116.67,61.67,15.2,15,15,13,0,0,0,0,2384.5694,36225.6426,15.1917,11465.75,63765.98,64045.45,4197.42,63757.58,4196.87,2172.1678,482.8916,1685.4197,9.8716,0.0,1861.7731,321.5044,1079.4766,10.3697,0.0,3,1,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4300]"
legacy_25k,full,minimum,4400,29500.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,557065.0,0,557065.0,570100.0,8675.45,66,3,75,145,64,4785.0,8250.0,13035.0,20600.0,577665.0,0,0,0,23.5,0,51,20,26201.63,32,0,2026-06-25T23:30:00,8,63,46,17,0.0317,41.67,124.02,3522.97,116.67,70.67,15.19,15,15,13,0,0,0,0,2384.5694,36192.9579,15.178,11498.43,64752.16,65033.82,4266.19,64742.69,4265.57,2166.3169,491.174,1701.4261,9.8483,0.0001,1861.3806,343.4181,1124.6416,10.3279,0.0001,3,0,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4400]"
legacy_25k,full,minimum,4500,29600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,556258.0,0,556258.0,569300.0,6646.45,65,2,75,149,68,4917.0,8125.0,13042.0,20600.0,576858.0,0,0,0,23.5,0,51,20,26211.4,32,0,2026-06-24T21:49:40,8,63,45,18,0.0317,30.13,124.02,3635.28,116.27,58.67,15.14,15,15,13,0,0,0,0,2384.5694,36080.6438,15.1309,11610.75,66191.49,66466.99,4374.59,66172.64,4373.35,2172.3169,505.6317,1763.8474,9.7955,0.0,1861.9222,352.3978,1177.8762,10.3009,0.0,3,1,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 4500]"
legacy_25k,full,minimum,5000,30100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,547208.0,0,547208.0,560250.0,6646.45,65,2,75,149,68,4917.0,8125.0,13042.0,20600.0,567808.0,0,0,0,23.5,0,51,20,26246.26,32,0,2026-06-24T21:49:40,7,63,45,18,0.0317,30.13,124.02,3600.42,115.06,54.67,15.15,15,15,13,0,0,0,0,2384.5694,36115.5044,15.1455,11575.88,71790.32,72065.83,4740.04,71770.01,4738.7,2175.6921,535.5723,1915.3154,9.7878,0.0,1865.2975,379.7552,1317.9831,10.2909,0.0,3,1,0,0,,,"[""legacy_25k"", ""full"", ""minimum"", 5000]"
