account_id,died_at,death_trade,equity
4,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
74,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
75,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
76,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
77,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
78,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
79,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
80,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
91,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
92,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
93,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
94,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
95,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
96,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
97,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
98,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
103,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
104,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
105,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
106,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
