case,constituent,book_wipeouts_delta_vs_constituent,days_empty_after_first_activation_delta_vs_constituent,deaths_delta_vs_constituent,max_same_signal_deaths_delta_vs_constituent,possible_20d_death_cluster_delta_vs_constituent,net_operating_cash_delta_vs_constituent,mean_total_positive_equity_delta_vs_constituent
primary__isolation__2025__mae_first__grid20_reverse,3.34,-1,-545.9171,-1,-12,-10,8000.0,4504.6035
primary__isolation__2025__mae_first__grid20_reverse,3.50,-1,-546.2285,-1,-12,-10,8000.0,3099.7573
primary__operating__2025__mae_first__wide4,0.50,0,0.0,2,-2,-1,3250.0,4103.3091
primary__operating__2025__mae_first__wide4,1.50,0,0.0,-4,-1,-3,5448.0,4397.3641
primary__operating__2025__mae_first__wide4,2.50,0,0.0,1,0,0,-2059.0,-519.1232
primary__operating__2025__mae_first__wide4,3.50,0,0.0,1,-1,-1,-8651.0,-3342.7063
primary__operating__2025__mae_first__edge4,0.50,0,0.0,3,-2,0,2526.0,2765.3387
primary__operating__2025__mae_first__edge4,0.75,-1,-6.3058,-8,-1,-3,8514.0,9126.8216
primary__operating__2025__mae_first__edge4,3.25,0,0.0,1,-1,1,-13691.0,-7529.326
primary__operating__2025__mae_first__edge4,3.50,0,0.0,2,-1,0,-9375.0,-4680.6767
primary__operating__2025__mae_first__center4,1.25,0,0.0,-8,-1,-5,3823.0,2534.318
primary__operating__2025__mae_first__center4,1.75,0,0.0,-7,-1,-3,389.0,2918.2025
primary__operating__2025__mae_first__center4,2.25,0,0.0,2,0,0,-5599.0,-2248.1229
primary__operating__2025__mae_first__center4,2.75,0,0.0,1,0,-1,-7349.0,-4620.783
primary__operating__2025__mae_first__without050,0.75,-1,-6.3058,-8,-1,-3,6639.0,7313.5617
primary__operating__2025__mae_first__without050,1.50,0,0.0,-3,-1,-2,2849.0,1246.1338
primary__operating__2025__mae_first__without050,2.50,0,0.0,2,0,1,-4658.0,-3670.3535
primary__operating__2025__mae_first__without050,3.50,0,0.0,2,-1,0,-11250.0,-6493.9366
primary__operating__2025__mae_first__extremes2,0.50,0,0.0,-3,-2,-2,7250.0,4940.8595
primary__operating__2025__mae_first__extremes2,3.50,0,0.0,-4,-1,-2,-4651.0,-2505.1559
primary__operating__2025__mae_first__grid5,0.50,0,0.0,3,-2,1,-2415.0,1068.7244
primary__operating__2025__mae_first__grid5,1.25,0,0.0,-4,-1,-2,2632.0,2051.8975
primary__operating__2025__mae_first__grid5,2.00,0,0.0,1,-1,1,-4125.0,-936.4377
primary__operating__2025__mae_first__grid5,2.75,0,0.0,5,0,2,-8540.0,-5103.2035
primary__operating__2025__mae_first__grid5,3.50,0,0.0,2,-1,1,-14316.0,-6377.291
primary__operating__2025__mae_first__ladder4,1.00,0,0.0,0,0,0,500.0,-36.2998
primary__operating__2025__mae_first__ladder20,1.00,0,0.0,0,0,0,1500.0,-108.8993
primary__operating__2025__mae_first__uniform_low,1.00,0,0.0,0,0,0,2000.0,-145.1991
primary__operating__2025__mae_first__grid10,0.50,0,0.0,4,-2,0,-2606.0,-1958.9136
primary__operating__2025__mae_first__grid10,0.83,0,0.0,-1,-2,-1,1309.0,803.2697
primary__operating__2025__mae_first__grid10,1.17,0,0.0,-1,-1,-2,-1842.0,-2494.8355
primary__operating__2025__mae_first__grid10,1.50,0,0.0,-2,-1,-2,-408.0,-1664.8585
primary__operating__2025__mae_first__grid10,1.83,0,0.0,0,-1,-1,-3250.0,-3539.4386
primary__operating__2025__mae_first__grid10,2.17,0,0.0,3,-1,0,-5441.0,-4487.6167
primary__operating__2025__mae_first__grid10,2.50,0,0.0,3,0,1,-7915.0,-6581.3459
primary__operating__2025__mae_first__grid10,2.83,0,0.0,4,0,1,-11481.0,-9686.1902
primary__operating__2025__mae_first__grid10,3.17,0,0.0,2,-1,1,-18823.0,-11708.1179
primary__operating__2025__mae_first__grid10,3.50,0,0.0,3,-1,0,-14507.0,-9404.9289
primary__operating__2025__mae_first__uniform_high,1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__ladder20_reverse,1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2025__mae_first__grid20,0.50,0,0.0,10,-1,3,-3988.0,-2419.7843
primary__operating__2025__mae_first__grid20,0.66,-1,-5.1544,-1,0,0,2092.0,2246.4378
primary__operating__2025__mae_first__grid20,0.82,-1,-4.1544,1,-1,0,1842.0,2331.0661
primary__operating__2025__mae_first__grid20,0.97,-1,-9.6433,-1,-1,-1,2132.0,3135.3857
primary__operating__2025__mae_first__grid20,1.13,0,0.0,2,0,0,-3691.0,-1946.5051
primary__operating__2025__mae_first__grid20,1.29,0,0.0,5,0,1,-1724.0,-3467.3595
primary__operating__2025__mae_first__grid20,1.45,0,0.0,1,-1,0,158.0,247.0968
primary__operating__2025__mae_first__grid20,1.61,0,0.0,4,0,1,-842.0,326.1535
primary__operating__2025__mae_first__grid20,1.76,0,0.0,6,0,3,-2507.0,-2516.1664
primary__operating__2025__mae_first__grid20,1.92,0,0.0,8,0,3,-5698.0,-4781.5985
primary__operating__2025__mae_first__grid20,2.08,0,0.0,9,0,3,-6323.0,-5233.8245
primary__operating__2025__mae_first__grid20,2.24,0,0.0,13,1,5,-7863.0,-6127.5866
primary__operating__2025__mae_first__grid20,2.39,0,0.0,12,1,4,-7613.0,-5381.2107
primary__operating__2025__mae_first__grid20,2.55,0,0.0,9,1,4,-10297.0,-8023.5747
primary__operating__2025__mae_first__grid20,2.71,0,0.0,12,1,4,-10613.0,-8480.5839
primary__operating__2025__mae_first__grid20,2.87,0,0.0,7,-1,3,-11514.0,-8704.9621
primary__operating__2025__mae_first__grid20,3.03,0,0.0,9,0,4,-17672.0,-12081.7584
primary__operating__2025__mae_first__grid20,3.18,0,0.0,8,0,4,-20205.0,-12269.654
primary__operating__2025__mae_first__grid20,3.34,0,0.0,9,0,4,-17363.0,-11489.76
primary__operating__2025__mae_first__grid20,3.50,0,0.0,9,0,3,-15889.0,-9865.7997
primary__operating__2025__mae_first__grid20_reverse,0.50,0,0.0,1,-2,-1,12184.0,8784.8964
primary__operating__2025__mae_first__grid20_reverse,0.66,-1,-5.1544,-10,-1,-4,18264.0,13451.1184
primary__operating__2025__mae_first__grid20_reverse,0.82,-1,-4.1544,-8,-2,-4,18014.0,13535.7467
primary__operating__2025__mae_first__grid20_reverse,0.97,-1,-9.6433,-10,-2,-5,18304.0,14340.0663
primary__operating__2025__mae_first__grid20_reverse,1.13,0,0.0,-7,-1,-4,12481.0,9258.1755
primary__operating__2025__mae_first__grid20_reverse,1.29,0,0.0,-4,-1,-3,14448.0,7737.3212
primary__operating__2025__mae_first__grid20_reverse,1.45,0,0.0,-8,-2,-4,16330.0,11451.7774
primary__operating__2025__mae_first__grid20_reverse,1.61,0,0.0,-5,-1,-3,15330.0,11530.8342
primary__operating__2025__mae_first__grid20_reverse,1.76,0,0.0,-3,-1,-1,13665.0,8688.5142
primary__operating__2025__mae_first__grid20_reverse,1.92,0,0.0,-1,-1,-1,10474.0,6423.0821
primary__operating__2025__mae_first__grid20_reverse,2.08,0,0.0,0,-1,-1,9849.0,5970.8562
primary__operating__2025__mae_first__grid20_reverse,2.24,0,0.0,4,0,1,8309.0,5077.0941
primary__operating__2025__mae_first__grid20_reverse,2.39,0,0.0,3,0,0,8559.0,5823.4699
primary__operating__2025__mae_first__grid20_reverse,2.55,0,0.0,0,0,0,5875.0,3181.1059
primary__operating__2025__mae_first__grid20_reverse,2.71,0,0.0,3,0,0,5559.0,2724.0967
primary__operating__2025__mae_first__grid20_reverse,2.87,0,0.0,-2,-2,-1,4658.0,2499.7186
primary__operating__2025__mae_first__grid20_reverse,3.03,0,0.0,0,-1,0,-1500.0,-877.0778
primary__operating__2025__mae_first__grid20_reverse,3.18,0,0.0,-1,-1,0,-4033.0,-1064.9733
primary__operating__2025__mae_first__grid20_reverse,3.34,0,0.0,0,-1,0,-1191.0,-285.0794
primary__operating__2025__mae_first__grid20_reverse,3.50,0,0.0,0,-1,-1,283.0,1338.881
march__operating__2020__mae_first__wide4,0.50,-1,-44.6002,16,-13,-10,237518.26,26608.0756
march__operating__2020__mae_first__wide4,1.50,-4,-20.2081,-8,-15,-13,25488.75,-67.0001
march__operating__2020__mae_first__wide4,2.50,-2,-11.6222,7,-3,-1,-89485.21,-4805.7953
march__operating__2020__mae_first__wide4,3.50,-2,-12.3949,1,-1,-3,-43279.11,442.9918
march__operating__2020__mae_first__center4,1.25,-1,-4.3121,-5,-12,-9,58610.43,2428.4911
march__operating__2020__mae_first__center4,1.75,-1,-11.0192,10,-12,-10,-33731.23,-8379.2738
march__operating__2020__mae_first__center4,2.25,1,0.6965,19,1,0,-37841.09,-4278.3466
march__operating__2020__mae_first__center4,2.75,0,-2.9711,18,0,3,-47796.99,-1685.6815
march__operating__2020__mae_first__edge4,0.50,-1,-44.6002,20,-13,-10,207829.95,21976.8455
march__operating__2020__mae_first__edge4,0.75,-3,-35.8056,-8,-11,-9,248146.9,22649.4818
march__operating__2020__mae_first__edge4,3.25,-2,-12.3949,18,-5,-2,-140080.81,-9194.9291
march__operating__2020__mae_first__edge4,3.50,-2,-12.3949,5,-1,-3,-72967.42,-4188.2383
march__operating__2020__mae_first__without050,0.75,-2,-27.6852,-17,-9,-5,286077.04,29531.7091
march__operating__2020__mae_first__without050,1.50,-3,-12.0877,-13,-13,-9,33730.58,2183.9972
march__operating__2020__mae_first__without050,2.50,-1,-3.5018,2,-1,3,-81243.38,-2554.7981
march__operating__2020__mae_first__without050,3.50,-1,-4.2745,-4,1,1,-35037.28,2693.9891
march__operating__2020__mae_first__extremes2,0.50,-1,-44.6002,35,-10,-6,188883.95,18737.7972
march__operating__2020__mae_first__extremes2,3.50,-2,-12.3949,20,2,1,-91913.42,-7427.2866
march__operating__2020__mae_first__grid5,0.50,-1,-44.6002,13,-14,-11,222535.99,25390.8563
march__operating__2020__mae_first__grid5,1.25,-3,-13.2866,-18,-16,-13,45312.19,1330.6468
march__operating__2020__mae_first__grid5,2.00,-1,-8.1204,16,-4,-1,-37466.54,-9547.8338
march__operating__2020__mae_first__grid5,2.75,-2,-11.9456,5,-4,-1,-61095.23,-2783.5257
march__operating__2020__mae_first__grid5,3.50,-2,-12.3949,-2,-2,-4,-58261.38,-774.2275
march__operating__2020__mae_first__ladder4,1.00,-1,-5.3058,-13,-5,-1,63826.1,6999.5502
march__operating__2020__mae_first__ladder20,1.00,-1,-5.3058,-11,-5,-1,63435.52,5797.3045
march__operating__2020__mae_first__uniform_low,1.00,0,6.9182,-3,0,0,85236.6,-3203.8652
march__operating__2020__mae_first__grid10,0.50,-1,-44.6002,11,-15,-9,245086.53,26600.385
march__operating__2020__mae_first__grid10,0.83,-2,-66.4025,-18,-13,-9,310232.13,29667.3442
march__operating__2020__mae_first__grid10,1.17,-3,-14.7109,-18,-17,-11,34427.73,5034.1329
march__operating__2020__mae_first__grid10,1.50,-4,-20.2081,-13,-17,-12,33057.02,-74.6908
march__operating__2020__mae_first__grid10,1.83,-1,-8.1204,29,-2,4,-68547.97,-12272.1695
march__operating__2020__mae_first__grid10,2.17,-1,-8.278,17,-4,2,-15474.68,-6504.166
march__operating__2020__mae_first__grid10,2.50,-2,-11.6222,2,-5,0,-81916.94,-4813.486
march__operating__2020__mae_first__grid10,2.83,-2,-11.9456,0,-6,0,-41158.6,2014.4458
march__operating__2020__mae_first__grid10,3.17,-2,-53.7338,-18,-8,-3,-32560.2,5098.3148
march__operating__2020__mae_first__grid10,3.50,-2,-12.3949,-4,-3,-2,-35710.84,435.3012
march__operating__2020__mae_first__uniform_high,1.00,-1,-5.3058,-37,-10,-1,-39762.85,7469.312
march__operating__2020__mae_first__ladder20_reverse,1.00,-1,-5.3058,-19,-10,-1,-20626.14,313.9887
march__operating__2020__mae_first__grid20,0.50,-1,-44.6002,20,-13,-9,250397.35,28817.3928
march__operating__2020__mae_first__grid20,0.66,-1,-15.3958,-19,-4,-8,336535.8,31373.6929
march__operating__2020__mae_first__grid20,0.82,-3,-73.1428,-6,-5,-4,315956.95,31968.9699
march__operating__2020__mae_first__grid20,0.97,-7,-284.0331,-21,-4,-12,366108.45,38301.6784
march__operating__2020__mae_first__grid20,1.13,-2,-9.1322,12,-4,-7,-8835.28,7004.8321
march__operating__2020__mae_first__grid20,1.29,-3,-13.422,4,-15,-11,31828.32,589.2053
march__operating__2020__mae_first__grid20,1.45,-4,-34.4171,-1,-15,-12,38887.46,778.3409
march__operating__2020__mae_first__grid20,1.61,-4,-26.4069,7,-15,-12,20681.67,-118.689
march__operating__2020__mae_first__grid20,1.76,-3,-25.5944,1,-15,-12,-38559.81,-4815.1329
march__operating__2020__mae_first__grid20,1.92,-1,-8.1204,2,-13,-10,23279.4,-1815.931
march__operating__2020__mae_first__grid20,2.08,-1,-8.1204,21,-4,0,-19089.87,-2942.8219
march__operating__2020__mae_first__grid20,2.24,-1,-8.278,22,-1,0,-30039.52,-5470.1939
march__operating__2020__mae_first__grid20,2.39,-3,-15.9329,-9,-15,-11,-22753.04,3533.6376
march__operating__2020__mae_first__grid20,2.55,-2,-11.6222,19,-3,0,-85642.03,-5282.3461
march__operating__2020__mae_first__grid20,2.71,-2,-11.9456,14,-3,1,-70879.36,581.6868
march__operating__2020__mae_first__grid20,2.87,-2,-11.9456,9,-4,0,-48455.65,3842.6453
march__operating__2020__mae_first__grid20,3.03,-2,-53.7338,7,-6,-2,-62334.56,1120.7553
march__operating__2020__mae_first__grid20,3.18,-2,-12.3949,9,-5,-1,-68016.17,1835.5975
march__operating__2020__mae_first__grid20,3.34,-2,-12.3949,16,-1,-1,-42667.11,-1901.1154
march__operating__2020__mae_first__grid20,3.50,-2,-12.3949,5,-1,-2,-30400.02,2652.309
march__operating__2020__mae_first__grid20_reverse,0.50,1,-32.2053,-8,-16,-11,287242.01,36928.3789
march__operating__2020__mae_first__grid20_reverse,0.66,1,-3.0009,-47,-7,-10,373380.46,39484.679
march__operating__2020__mae_first__grid20_reverse,0.82,-1,-60.7479,-34,-8,-6,352801.61,40079.9559
march__operating__2020__mae_first__grid20_reverse,0.97,-5,-271.6382,-49,-7,-14,402953.11,46412.6645
march__operating__2020__mae_first__grid20_reverse,1.13,0,3.2627,-16,-7,-9,28009.38,15115.8182
march__operating__2020__mae_first__grid20_reverse,1.29,-1,-1.0271,-24,-18,-13,68672.98,8700.1914
march__operating__2020__mae_first__grid20_reverse,1.45,-2,-22.0222,-29,-18,-14,75732.12,8889.327
march__operating__2020__mae_first__grid20_reverse,1.61,-2,-14.012,-21,-18,-14,57526.33,7992.2971
march__operating__2020__mae_first__grid20_reverse,1.76,-1,-13.1995,-27,-18,-14,-1715.15,3295.8532
march__operating__2020__mae_first__grid20_reverse,1.92,1,4.2745,-26,-16,-12,60124.06,6295.055
march__operating__2020__mae_first__grid20_reverse,2.08,1,4.2745,-7,-7,-2,17754.79,5168.1642
march__operating__2020__mae_first__grid20_reverse,2.24,1,4.1169,-6,-4,-2,6805.14,2640.7922
march__operating__2020__mae_first__grid20_reverse,2.39,-1,-3.538,-37,-18,-13,14091.62,11644.6237
march__operating__2020__mae_first__grid20_reverse,2.55,0,0.7727,-9,-6,-2,-48797.37,2828.6399
march__operating__2020__mae_first__grid20_reverse,2.71,0,0.4493,-14,-6,-1,-34034.7,8692.6729
march__operating__2020__mae_first__grid20_reverse,2.87,0,0.4493,-19,-7,-2,-11610.99,11953.6313
march__operating__2020__mae_first__grid20_reverse,3.03,0,-41.3389,-21,-9,-4,-25489.9,9231.7414
march__operating__2020__mae_first__grid20_reverse,3.18,0,0.0,-19,-8,-3,-31171.51,9946.5835
march__operating__2020__mae_first__grid20_reverse,3.34,0,0.0,-12,-4,-3,-5822.45,6209.8706
march__operating__2020__mae_first__grid20_reverse,3.50,0,0.0,-23,-4,-4,6444.64,10763.2951
march__operating__2020__mfe_first__center4,1.25,-1,-18.3121,4,-14,-10,48891.38,512.0478
march__operating__2020__mfe_first__center4,1.75,0,-17.7697,6,-14,-10,-26079.38,-7363.4533
march__operating__2020__mfe_first__center4,2.25,1,0.6965,14,-1,1,-31810.94,-3335.3284
march__operating__2020__mfe_first__center4,2.75,0,-2.9711,13,-2,2,-39587.04,-292.4457
march__operating__2020__mfe_first__wide4,0.50,-4,-520.2891,6,-13,-11,356274.62,35193.3882
march__operating__2020__mfe_first__wide4,1.50,-3,-27.1113,2,-15,-13,8224.66,-3980.1275
march__operating__2020__mfe_first__wide4,2.50,-2,-11.6222,8,-3,-2,-96542.59,-6191.4713
march__operating__2020__mfe_first__wide4,3.50,-2,-12.3949,-1,-3,-4,-48463.89,18.8181
march__operating__2020__mfe_first__edge4,0.50,-4,-520.2891,11,-13,-10,334738.9,32192.4214
march__operating__2020__mfe_first__edge4,0.75,-5,-541.9678,-20,-11,-9,393132.7,39964.1924
march__operating__2020__mfe_first__edge4,3.25,-2,-12.3949,16,-5,-2,-132938.12,-7655.3447
march__operating__2020__mfe_first__edge4,3.50,-2,-12.3949,4,-3,-3,-69999.61,-2982.1487
march__operating__2020__mfe_first__without050,0.75,-4,-533.8474,-33,-9,-5,428128.37,45933.0753
march__operating__2020__mfe_first__without050,1.50,-2,-18.9909,-6,-13,-8,21684.61,-1012.2114
march__operating__2020__mfe_first__without050,2.50,-1,-3.5018,0,-1,3,-83082.64,-3223.5552
march__operating__2020__mfe_first__without050,3.50,-1,-4.2745,-9,-1,1,-35003.94,2986.7342
march__operating__2020__mfe_first__extremes2,0.50,-4,-520.2891,26,-10,-6,309969.9,28150.8325
march__operating__2020__mfe_first__extremes2,3.50,-2,-12.3949,19,0,1,-94768.61,-7023.7376
march__operating__2020__mfe_first__grid5,0.50,-4,-520.2891,3,-14,-11,346478.39,35125.3297
march__operating__2020__mfe_first__grid5,1.25,-3,-27.2866,-4,-16,-13,24324.54,-2387.0057
march__operating__2020__mfe_first__grid5,2.00,-1,-8.1204,17,-4,-1,-38410.54,-9605.1442
march__operating__2020__mfe_first__grid5,2.75,-2,-11.9456,5,-4,-1,-64153.88,-3191.4993
march__operating__2020__mfe_first__grid5,3.50,-2,-12.3949,-4,-4,-4,-58260.12,-49.2404
march__operating__2020__mfe_first__ladder4,1.00,-1,-18.3058,-21,-5,-1,76427.3,8301.9877
march__operating__2020__mfe_first__ladder20,1.00,-1,-18.3058,-19,-5,-1,73974.82,7014.1192
march__operating__2020__mfe_first__uniform_low,1.00,0,6.9182,-10,1,0,96560.0,-2081.9809
march__operating__2020__mfe_first__uniform_high,1.00,-1,-18.3058,-36,-9,-1,-37501.45,7375.8163
march__operating__2020__mfe_first__grid10,0.50,-4,-520.2891,3,-15,-9,366464.2,36125.5959
march__operating__2020__mfe_first__grid10,0.83,-4,-115.6792,-11,-13,-9,331652.9,33693.5904
march__operating__2020__mfe_first__grid10,1.17,-3,-27.7109,-4,-17,-11,7844.85,362.4394
march__operating__2020__mfe_first__grid10,1.50,-3,-27.1113,-1,-17,-11,18414.24,-3047.9198
march__operating__2020__mfe_first__grid10,1.83,-1,-8.1204,33,-2,4,-74372.0,-12774.1386
march__operating__2020__mfe_first__grid10,2.17,-1,-8.278,23,-4,2,-21775.16,-7210.6989
march__operating__2020__mfe_first__grid10,2.50,-2,-11.6222,5,-5,0,-86353.01,-5259.2636
march__operating__2020__mfe_first__grid10,2.83,-2,-11.9456,3,-6,0,-50864.47,903.3996
march__operating__2020__mfe_first__grid10,3.17,-2,-53.7338,-23,-8,-4,-12028.39,8410.0363
march__operating__2020__mfe_first__grid10,3.50,-2,-12.3949,-4,-5,-2,-38274.31,951.0258
march__operating__2020__mfe_first__ladder20_reverse,1.00,-1,-18.3058,-20,-9,-1,-19421.34,170.5479
march__operating__2020__mfe_first__grid20,0.50,-4,-520.2891,13,-14,-9,368576.0,37691.4746
march__operating__2020__mfe_first__grid20,0.66,-1,-15.3958,-11,-5,-8,349769.65,34534.3655
march__operating__2020__mfe_first__grid20,0.82,-5,-539.0183,-17,-6,-3,401087.1,40491.5459
march__operating__2020__mfe_first__grid20,0.97,-9,-446.3146,-18,-7,-12,350002.55,36080.4827
march__operating__2020__mfe_first__grid20,1.13,-2,-9.1322,19,-4,-6,-25111.68,4002.4127
march__operating__2020__mfe_first__grid20,1.29,-3,-27.422,13,-16,-11,18486.72,-2155.298
march__operating__2020__mfe_first__grid20,1.45,-4,-34.4171,12,-16,-12,20920.21,-2495.6354
march__operating__2020__mfe_first__grid20,1.61,-3,-33.1574,13,-16,-11,11084.17,-1752.6905
march__operating__2020__mfe_first__grid20,1.76,-2,-32.3449,6,-16,-11,-48157.31,-6458.0286
march__operating__2020__mfe_first__grid20,1.92,-1,-8.1204,14,-14,-9,5828.85,-4469.4051
march__operating__2020__mfe_first__grid20,2.08,-1,-8.1204,20,-5,0,-29153.07,-4568.7742
march__operating__2020__mfe_first__grid20,2.24,-1,-8.278,30,-2,1,-39794.82,-6863.5953
march__operating__2020__mfe_first__grid20,2.39,-3,-29.9329,-5,-16,-11,-31182.99,2050.9308
march__operating__2020__mfe_first__grid20,2.55,-2,-11.6222,22,-4,1,-93603.0,-6435.2443
march__operating__2020__mfe_first__grid20,2.71,-2,-11.9456,17,-4,1,-80745.9,-859.6814
march__operating__2020__mfe_first__grid20,2.87,-2,-11.9456,13,-5,0,-61373.15,1988.4697
march__operating__2020__mfe_first__grid20,3.03,-2,-53.7338,8,-7,-2,-63469.21,1182.8544
march__operating__2020__mfe_first__grid20,3.18,-2,-12.3949,7,-6,-1,-73089.18,1469.053
march__operating__2020__mfe_first__grid20,3.34,-2,-12.3949,16,-3,-1,-40277.24,-1637.6762
march__operating__2020__mfe_first__grid20,3.50,-2,-12.3949,6,-4,-2,-36162.51,2516.9045
march__operating__2020__mfe_first__grid20_reverse,0.50,-2,-507.8942,-20,-15,-11,415451.21,47239.6073
march__operating__2020__mfe_first__grid20_reverse,0.66,1,-3.0009,-44,-6,-10,396644.86,44082.4982
march__operating__2020__mfe_first__grid20_reverse,0.82,-3,-526.6234,-50,-7,-5,447962.31,50039.6786
march__operating__2020__mfe_first__grid20_reverse,0.97,-7,-433.9197,-51,-8,-14,396877.76,45628.6154
march__operating__2020__mfe_first__grid20_reverse,1.13,0,3.2627,-14,-5,-8,21763.53,13550.5453
march__operating__2020__mfe_first__grid20_reverse,1.29,-1,-15.0271,-20,-17,-13,65361.93,7392.8347
march__operating__2020__mfe_first__grid20_reverse,1.45,-2,-22.0222,-21,-17,-14,67795.42,7052.4973
march__operating__2020__mfe_first__grid20_reverse,1.61,-1,-20.7625,-20,-17,-13,57959.38,7795.4422
march__operating__2020__mfe_first__grid20_reverse,1.76,0,-19.95,-27,-17,-13,-1282.1,3090.1041
march__operating__2020__mfe_first__grid20_reverse,1.92,1,4.2745,-19,-15,-11,52704.06,5078.7276
march__operating__2020__mfe_first__grid20_reverse,2.08,1,4.2745,-13,-6,-2,17722.14,4979.3584
march__operating__2020__mfe_first__grid20_reverse,2.24,1,4.1169,-3,-3,-1,7080.39,2684.5374
march__operating__2020__mfe_first__grid20_reverse,2.39,-1,-17.538,-38,-17,-13,15692.22,11599.0635
march__operating__2020__mfe_first__grid20_reverse,2.55,0,0.7727,-11,-5,-1,-46727.79,3112.8884
march__operating__2020__mfe_first__grid20_reverse,2.71,0,0.4493,-16,-5,-1,-33870.69,8688.4513
march__operating__2020__mfe_first__grid20_reverse,2.87,0,0.4493,-20,-6,-2,-14497.94,11536.6024
march__operating__2020__mfe_first__grid20_reverse,3.03,0,-41.3389,-25,-8,-4,-16594.0,10730.9871
march__operating__2020__mfe_first__grid20_reverse,3.18,0,0.0,-26,-7,-3,-26213.97,11017.1857
march__operating__2020__mfe_first__grid20_reverse,3.34,0,0.0,-17,-4,-3,6597.97,7910.4565
march__operating__2020__mfe_first__grid20_reverse,3.50,0,0.0,-27,-5,-4,10712.7,12065.0371
primary__operating__2020__mfe_first__ladder4,1.00,0,0.0,8,0,0,-4212.0,-974.1192
primary__operating__2020__mfe_first__ladder20,1.00,0,0.0,8,0,0,-3712.0,-1598.8046
primary__operating__2020__mfe_first__uniform_low,1.00,1,23.1593,23,2,7,11241.0,-12775.0358
primary__operating__2020__mfe_first__uniform_high,1.00,0,0.0,0,0,0,-30000.0,9661.3238
primary__operating__2020__mfe_first__ladder20_reverse,1.00,0,0.0,9,0,0,-8837.0,-135.6946
primary__operating__2023__mfe_first__ladder4,1.00,0,0.0,6,0,4,-2922.0,-3120.0614
primary__operating__2023__mfe_first__ladder20,1.00,0,0.0,7,0,5,578.0,-6448.088
primary__operating__2023__mfe_first__uniform_low,1.00,1,21.1592,15,2,13,7078.0,-14840.5483
primary__operating__2023__mfe_first__uniform_high,1.00,0,0.0,0,0,0,-21000.0,9906.304
primary__operating__2023__mfe_first__ladder20_reverse,1.00,0,0.0,0,0,0,-6500.0,3867.0121
