case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2024__mae_first__rr_0.75,primary,isolation,2024,mae_first,rr_0.75,1,1,0.0,6800.0,236000.0,240000.0,4000.0,76760,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,108677.28972972973,109918.4108108108,20,0,0,20
primary__isolation__2024__mae_first__rr_0.82,primary,isolation,2024,mae_first,rr_0.82,1,1,0.0,6800.0,256000.0,260000.0,4000.0,75540,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,115795.41405405405,117100.31783783784,20,0,0,20
primary__isolation__2024__mae_first__rr_0.83,primary,isolation,2024,mae_first,rr_0.83,1,1,0.0,6800.0,256000.0,260000.0,4000.0,75520,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,114130.6681081081,115368.45513513514,20,0,0,20
primary__isolation__2024__mae_first__rr_0.97,primary,isolation,2024,mae_first,rr_0.97,1,1,0.0,6800.0,286000.0,290000.0,4000.0,72820,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,120539.9772972973,121943.34810810811,20,0,0,20
primary__isolation__2024__mae_first__rr_1.00,primary,isolation,2024,mae_first,rr_1.00,1,1,0.0,6800.0,276000.0,280000.0,4000.0,72300,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,118459.80864864864,119866.8972972973,20,0,0,20
primary__isolation__2024__mae_first__rr_1.13,primary,isolation,2024,mae_first,rr_1.13,1,1,0.0,6800.0,366000.0,370000.0,4000.0,70180,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,125707.6972972973,127139.19459459459,20,0,0,20
primary__isolation__2024__mae_first__rr_1.17,primary,isolation,2024,mae_first,rr_1.17,1,1,0.0,6800.0,356000.0,360000.0,4000.0,69400,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,123720.49729729729,125165.3881081081,20,0,0,20
primary__isolation__2024__mae_first__rr_1.25,primary,isolation,2024,mae_first,rr_1.25,1,1,0.0,6800.0,306000.0,310000.0,4000.0,68220,True,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,120407.12,121971.41837837838,20,0,0,20
primary__isolation__2024__mae_first__rr_1.29,primary,isolation,2024,mae_first,rr_1.29,1,1,0.0,6800.0,346000.0,350000.0,4000.0,67680,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,123078.78378378379,124681.16540540541,20,0,0,20
primary__isolation__2024__mae_first__rr_1.45,primary,isolation,2024,mae_first,rr_1.45,1,1,0.0,6800.0,326000.0,330000.0,4000.0,65840,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,925,20.0,1.0,1.0,1.0,118064.75351351351,119517.97945945946,20,0,0,20
