case,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,deaths_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,net_operating_cash_delta_vs_rr1,mean_total_positive_equity_delta_vs_rr1
primary__isolation__2020__mae_first__rr_0.82,0,-5.932,0,0,0,0.0,-747.6229
primary__isolation__2020__mae_first__rr_0.75,0,0.0,0,0,0,0.0,-115.9861
primary__isolation__2020__mae_first__rr_0.50,0,-448.7716,0,0,0,0.0,32794.6635
primary__isolation__2020__mae_first__rr_0.83,0,-5.932,0,0,0,0.0,-999.5203
primary__isolation__2020__mae_first__rr_0.97,0,-0.2528,0,0,0,0.0,-272.6634
primary__isolation__2020__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__rr_1.13,0,10.7338,0,0,0,0.0,1956.763
primary__isolation__2020__mae_first__rr_1.17,0,10.7338,0,0,0,0.0,1207.8114
primary__isolation__2020__mae_first__rr_1.25,0,10.7338,0,0,0,0.0,1558.8275
primary__isolation__2020__mae_first__rr_1.29,0,10.7129,0,0,0,0.0,1092.7469
primary__isolation__2020__mae_first__rr_1.45,0,10.6921,0,0,0,0.0,738.6662
primary__isolation__2020__mae_first__rr_0.66,-1,-2314.0167,-20,-20,-20,340000.0,90902.121
primary__isolation__2020__mae_first__rr_1.50,0,10.6921,0,0,0,0.0,1730.4404
primary__isolation__2020__mae_first__rr_1.61,0,10.6921,0,0,0,0.0,1515.6017
primary__isolation__2020__mae_first__rr_1.75,0,0.0,0,0,0,0.0,2258.875
primary__isolation__2020__mae_first__rr_1.76,0,0.0,0,0,0,0.0,2424.9861
primary__isolation__2020__mae_first__rr_1.83,0,0.0,0,0,0,0.0,2469.1528
primary__isolation__2020__mae_first__rr_1.92,0,0.0,0,0,0,0.0,3630.7639
primary__isolation__2020__mae_first__rr_2.00,0,0.0,0,0,0,0.0,3950.1806
primary__isolation__2020__mae_first__rr_2.08,0,0.0,0,0,0,0.0,5264.6111
primary__isolation__2020__mae_first__rr_2.17,0,0.1576,0,0,0,0.0,5521.9722
primary__isolation__2020__mae_first__rr_2.24,0,0.1576,0,0,0,0.0,4436.0
primary__isolation__2020__mae_first__rr_2.25,0,0.1576,0,0,0,0.0,4461.4167
primary__isolation__2020__mae_first__rr_2.39,0,13.2238,0,0,0,0.0,1195.3322
primary__isolation__2020__mae_first__rr_2.50,0,13.2238,0,0,0,0.0,841.2135
primary__isolation__2020__mae_first__rr_2.55,0,13.2238,0,0,0,0.0,1662.4169
primary__isolation__2020__mae_first__rr_2.71,0,13.4034,0,0,0,0.0,-50.7017
primary__isolation__2020__mae_first__rr_2.75,0,13.4034,0,0,0,0.0,13.1627
primary__isolation__2020__mae_first__rr_2.83,0,13.4034,0,0,0,0.0,219.705
primary__isolation__2020__mae_first__rr_2.87,0,13.4034,0,0,0,0.0,940.7389
primary__isolation__2020__mae_first__rr_3.03,0,13.4034,0,0,0,0.0,1778.7389
primary__isolation__2020__mae_first__rr_3.17,0,13.4034,0,0,0,0.0,2964.6372
primary__isolation__2020__mae_first__rr_3.18,0,13.4034,0,0,0,0.0,3412.0949
primary__isolation__2020__mae_first__rr_3.25,0,13.4034,0,0,0,0.0,3584.8237
primary__isolation__2020__mae_first__rr_3.50,0,13.4034,0,0,0,0.0,3502.6711
primary__isolation__2020__mae_first__rr_3.34,0,13.4034,0,0,0,0.0,3608.4508
primary__isolation__2020__mae_first__wide4,0,-448.7716,0,-15,-5,0.0,4753.4159
primary__isolation__2020__mae_first__center4,0,0.0,0,-15,0,0.0,1582.7535
primary__isolation__2020__mae_first__without050,0,0.0,0,-15,0,0.0,551.6181
primary__isolation__2020__mae_first__edge4,0,-448.7716,0,-10,-5,0.0,4801.7743
primary__isolation__2020__mae_first__extremes2,0,-448.7716,0,-10,-10,0.0,14177.2844
primary__isolation__2020__mae_first__ladder4,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid5,0,-448.7716,0,-12,-4,0.0,2948.9433
primary__isolation__2020__mae_first__ladder20,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_low,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_high,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__ladder20_reverse,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid10,0,-448.7716,0,-14,-2,0.0,-804.5281
primary__operating__2020__mae_first__rr_0.50,-1,32.5984,15,3,-3,-174827.0,-23726.1586
primary__operating__2020__mae_first__rr_0.66,-2,-0.3088,-2,0,-3,-91486.0,-4172.7003
primary__isolation__2020__mae_first__grid20,-1,-2314.0167,-1,-14,-2,17000.0,-37.6618
primary__operating__2020__mae_first__rr_0.75,1,40.375,4,0,-3,-89363.0,-8087.1925
primary__operating__2020__mae_first__rr_0.82,1,54.4479,-3,-1,-4,-37889.0,-2508.8277
primary__isolation__2020__mae_first__grid20_reverse,-1,-2314.0167,-1,-14,-2,17000.0,-37.6618
primary__operating__2020__mae_first__rr_0.83,0,29.1854,-7,-1,-3,-18998.0,-196.8
primary__operating__2020__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2020__mae_first__rr_0.97,0,0.7472,2,0,0,-8316.0,-1885.8293
primary__operating__2020__mae_first__rr_1.13,0,0.1576,-3,0,-2,93740.0,6264.4407
primary__operating__2020__mae_first__rr_1.17,0,0.1576,-3,-1,-3,95373.0,8763.9756
primary__operating__2020__mae_first__rr_1.29,0,0.1576,-23,-3,-7,98795.0,14636.7206
primary__operating__2020__mae_first__rr_1.25,0,0.1576,-11,-2,-4,58167.0,10525.7908
primary__operating__2020__mae_first__rr_1.45,0,0.1576,-16,0,-4,77490.0,9980.9902
primary__operating__2020__mae_first__rr_1.50,0,0.1576,-13,0,-3,85432.0,11241.3822
primary__operating__2020__mae_first__rr_1.61,0,0.0,-22,-3,-4,89202.0,18654.9871
primary__operating__2020__mae_first__rr_1.75,0,0.0,-18,-3,-4,107420.0,22292.1293
primary__operating__2020__mae_first__rr_1.83,0,0.0,-19,-3,-5,113861.0,23132.306
primary__operating__2020__mae_first__rr_1.76,0,0.0,-18,-3,-4,108053.0,22716.8743
primary__operating__2020__mae_first__rr_2.00,0,0.0,-12,0,-5,67425.0,22272.4072
