case,book_wipeouts_delta_vs_rr1,days_empty_after_first_activation_delta_vs_rr1,deaths_delta_vs_rr1,max_same_signal_deaths_delta_vs_rr1,possible_20d_death_cluster_delta_vs_rr1,net_operating_cash_delta_vs_rr1,mean_total_positive_equity_delta_vs_rr1
primary__operating__2020__mae_first__rr_1.92,0,0.0,-12,0,-4,72773.0,21443.8558
primary__operating__2020__mae_first__rr_2.08,0,0.0,-18,-2,-5,87772.0,21563.1615
primary__operating__2020__mae_first__rr_2.17,0,0.1576,-11,1,-4,62603.0,19360.4055
primary__operating__2020__mae_first__rr_2.25,0,0.1576,-15,-1,-4,89049.0,23847.7532
primary__operating__2020__mae_first__rr_2.24,0,0.1576,-15,-1,-4,81199.0,23263.6736
primary__operating__2020__mae_first__rr_2.50,0,0.1576,-7,0,-5,125175.0,23479.9085
primary__operating__2020__mae_first__rr_2.39,0,0.1576,-5,0,-4,106161.0,18837.9372
primary__operating__2020__mae_first__rr_2.55,0,0.1576,-9,0,-5,133472.0,24111.5049
primary__operating__2020__mae_first__rr_2.71,0,0.3014,-6,0,-6,114018.0,18758.0173
primary__operating__2020__mae_first__rr_2.75,0,0.3014,-6,0,-6,77435.0,15571.0567
primary__operating__2020__mae_first__rr_2.83,0,0.3014,-8,0,-6,93516.0,18757.063
primary__operating__2020__mae_first__rr_2.87,0,0.3014,-8,0,-6,90967.0,18819.2224
primary__operating__2020__mae_first__rr_3.03,0,0.0896,-4,-1,-6,91550.0,19137.4887
primary__operating__2020__mae_first__rr_3.17,0,0.0896,-2,-1,-6,82519.0,17376.4665
primary__operating__2020__mae_first__rr_3.18,0,0.7507,-1,-1,-6,88543.0,18610.9017
primary__operating__2020__mae_first__rr_3.25,0,0.7507,-17,-2,-8,121950.0,28513.1317
primary__operating__2020__mae_first__rr_3.34,0,0.7507,-16,-3,-7,93460.0,23512.0006
primary__operating__2020__mae_first__rr_3.50,0,0.7507,4,-1,-3,43988.0,14008.6539
primary__operating__2020__mae_first__wide4,-2,-0.3088,-15,-4,-6,63669.0,14431.686
primary__operating__2020__mae_first__center4,0,0.1576,-12,-2,-5,81842.0,17997.5599
primary__operating__2020__mae_first__edge4,-2,-0.3088,3,-3,-2,-1673.0,4794.0996
primary__operating__2020__mae_first__without050,0,0.0,1,-3,-4,40275.0,8107.5375
primary__operating__2020__mae_first__extremes2,-2,-0.3088,16,0,-1,-29572.0,-421.019
primary__operating__2020__mae_first__ladder4,0,0.0,8,0,0,5519.0,227.7767
primary__operating__2020__mae_first__grid5,-2,-0.3088,3,-4,-5,23078.0,8215.1815
primary__operating__2020__mae_first__uniform_low,1,7.1593,23,1,7,21880.0,-11493.1073
primary__operating__2020__mae_first__ladder20,0,0.0,7,0,0,6177.0,-115.3426
primary__operating__2020__mae_first__grid10,-2,-0.3088,-17,-4,-7,69918.0,15036.169
primary__operating__2020__mae_first__uniform_high,0,0.0,0,0,0,-36033.0,8141.1452
primary__isolation__2021__mae_first__rr_0.50,0,-13.9497,0,0,0,0.0,-2839.118
primary__operating__2020__mae_first__ladder20_reverse,0,0.0,10,0,0,-13495.0,-431.1914
primary__isolation__2021__mae_first__rr_0.66,0,-1.2414,0,0,0,0.0,-2946.4113
primary__isolation__2021__mae_first__rr_0.75,0,-0.9946,0,0,0,0.0,-2026.2446
primary__isolation__2021__mae_first__rr_0.82,0,0.0,0,0,0,0.0,-2116.0377
primary__isolation__2021__mae_first__rr_0.83,0,-0.1581,0,0,0,0.0,-2116.0377
primary__isolation__2021__mae_first__rr_0.97,0,3.8003,0,0,0,0.0,353.0374
primary__isolation__2021__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__rr_1.13,0,0.0054,0,0,0,0.0,563.7547
primary__isolation__2021__mae_first__rr_1.17,0,0.0,0,0,0,0.0,-1275.5472
primary__isolation__2021__mae_first__rr_1.25,0,-0.2377,0,0,0,0.0,-1190.6415
primary__isolation__2021__mae_first__rr_1.29,0,-0.9946,0,0,0,0.0,-401.3927
primary__isolation__2021__mae_first__rr_1.45,0,-1.2831,0,0,0,0.0,4025.311
primary__isolation__2021__mae_first__rr_1.50,0,-1.2831,0,0,0,0.0,2712.348
primary__isolation__2021__mae_first__rr_1.61,0,-3.3863,0,0,0,0.0,7013.5644
primary__isolation__2021__mae_first__rr_1.75,0,-10.9914,0,0,0,0.0,12924.3706
primary__isolation__2021__mae_first__rr_1.76,0,-10.9914,0,0,0,0.0,13279.3706
primary__operating__2020__mae_first__grid20,-2,-0.3088,-9,-3,-7,70405.0,16907.2257
primary__isolation__2021__mae_first__rr_2.00,0,-118.6997,0,0,0,0.0,15569.2169
primary__isolation__2021__mae_first__rr_2.08,0,-10.9914,0,0,0,0.0,8891.9956
primary__isolation__2021__mae_first__rr_1.83,-1,-1967.2002,-20,-20,-20,470000.0,108360.1989
primary__isolation__2021__mae_first__rr_1.92,-1,-1967.2002,-20,-20,-20,420000.0,100688.9459
primary__isolation__2021__mae_first__rr_2.17,-1,-1967.2002,-20,-20,-20,420000.0,98826.2444
primary__isolation__2021__mae_first__rr_2.24,-1,-1967.2002,-20,-20,-20,440000.0,105587.4276
primary__isolation__2021__mae_first__rr_2.25,-1,-1967.2002,-20,-20,-20,450000.0,106583.3524
primary__isolation__2021__mae_first__rr_2.50,0,-220.9497,0,0,0,0.0,19716.2961
primary__operating__2020__mae_first__grid20_reverse,0,0.7507,-25,-4,-6,116785.0,26976.6984
primary__isolation__2021__mae_first__rr_2.71,0,-3.9706,0,0,0,0.0,8958.4591
primary__isolation__2021__mae_first__rr_2.75,0,-1.2831,0,0,0,0.0,8896.4591
primary__isolation__2021__mae_first__rr_2.83,0,-1.2831,0,0,0,0.0,9944.9962
primary__isolation__2021__mae_first__rr_2.39,-1,-1967.2002,-20,-20,-20,490000.0,107646.7093
primary__isolation__2021__mae_first__rr_2.87,0,-1.2831,0,0,0,0.0,7303.6258
primary__isolation__2021__mae_first__rr_3.17,0,-1.2831,0,0,0,0.0,6217.6999
primary__isolation__2021__mae_first__rr_2.55,-1,-1967.2002,-20,-20,-20,509000.0,110810.1999
primary__isolation__2021__mae_first__rr_3.03,0,-1.2831,0,0,0,0.0,6143.6258
primary__isolation__2021__mae_first__rr_3.18,0,-1.2831,0,0,0,0.0,6217.6999
primary__isolation__2021__mae_first__rr_3.25,0,-3.2314,0,0,0,0.0,4870.971
primary__isolation__2021__mae_first__rr_3.34,0,-3.2314,0,0,0,0.0,9483.4889
primary__isolation__2021__mae_first__rr_3.50,0,-3.2314,0,0,0,0.0,9740.2746
primary__isolation__2021__mae_first__wide4,0,-220.9497,0,-15,-5,0.0,2857.9083
primary__isolation__2021__mae_first__edge4,0,-13.9497,0,-10,0,0.0,1373.841
primary__isolation__2021__mae_first__without050,0,-220.9497,0,-15,-5,0.0,2880.6638
primary__isolation__2021__mae_first__center4,-1,-1967.2002,-5,-15,-5,112500.0,23667.8937
primary__isolation__2021__mae_first__extremes2,0,-13.9497,0,-10,0,0.0,2298.2477
primary__isolation__2021__mae_first__ladder4,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__grid5,0,-118.6997,0,-16,-4,0.0,1723.632
primary__isolation__2021__mae_first__ladder20,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__uniform_low,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__uniform_high,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__ladder20_reverse,0,0.0,0,0,0,0.0,0.0
primary__isolation__2021__mae_first__grid10,-1,-1967.2002,-4,-14,-6,89000.0,17748.9298
primary__operating__2021__mae_first__rr_0.50,-1,2.1384,26,6,5,-169362.0,-26736.5276
primary__operating__2021__mae_first__rr_0.66,-1,-3.8547,0,1,2,-103198.0,-8512.6172
primary__isolation__2021__mae_first__grid20,-1,-1967.2002,-4,-15,-4,92950.0,17999.8063
primary__operating__2021__mae_first__rr_0.75,0,1.25,-1,1,2,-71710.0,-7281.6692
primary__operating__2021__mae_first__rr_0.82,-1,-1.1459,-5,0,-2,-27710.0,-1163.4943
primary__isolation__2021__mae_first__grid20_reverse,-1,-1967.2002,-4,-15,-4,92950.0,17999.8063
primary__operating__2021__mae_first__rr_0.83,0,0.1655,-8,1,-1,-25104.0,-754.3397
primary__operating__2021__mae_first__rr_0.97,1,11.9567,3,0,-1,-16771.0,-3830.3652
primary__operating__2021__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2021__mae_first__rr_1.13,1,8.3655,2,0,0,57288.0,-2572.4849
primary__operating__2021__mae_first__rr_1.17,0,2.7009,6,-1,0,48991.0,-2356.7694
primary__operating__2021__mae_first__rr_1.25,0,-13.0757,6,-1,0,3821.0,-3039.5522
primary__operating__2021__mae_first__rr_1.29,-1,-3.8984,1,-1,-1,33644.0,-1866.9788
primary__operating__2021__mae_first__rr_1.45,-2,-23.1667,6,2,2,25453.0,-3611.5578
primary__operating__2021__mae_first__rr_1.50,-2,-23.1667,5,2,0,41644.0,381.6064
primary__operating__2021__mae_first__rr_1.61,-2,-23.1667,6,-1,4,12755.0,-378.37
primary__operating__2021__mae_first__rr_1.75,-2,-23.1667,9,0,3,24248.0,2461.8164
primary__operating__2021__mae_first__rr_1.76,-2,-23.1667,9,0,2,29380.0,3343.591
primary__operating__2021__mae_first__rr_1.83,-2,-23.1667,7,-1,3,38031.0,4364.3117
primary__operating__2021__mae_first__rr_1.92,-1,-22.8359,31,1,1,-55388.0,-10558.6118
primary__operating__2021__mae_first__rr_2.00,-1,-22.8359,28,2,0,-64447.0,-9586.3808
primary__operating__2021__mae_first__rr_2.08,-1,-22.8963,6,0,0,9189.0,1979.2436
primary__operating__2021__mae_first__rr_2.17,1,-15.1542,23,3,1,-61558.0,-11619.4239
primary__operating__2021__mae_first__rr_2.24,0,-15.5838,16,1,1,-25754.0,-4940.3182
primary__operating__2021__mae_first__rr_2.25,0,-16.5049,16,1,1,-19254.0,-4358.2067
primary__operating__2021__mae_first__rr_2.39,2,17.7845,31,2,1,-60822.0,-13906.8262
primary__operating__2021__mae_first__rr_2.50,4,31.0222,31,1,0,-61756.0,-15527.5388
primary__operating__2021__mae_first__rr_2.55,2,21.3437,28,2,0,-58711.0,-15784.4105
primary__operating__2021__mae_first__rr_2.71,2,20.6416,31,2,-1,-76258.0,-19123.9286
primary__operating__2021__mae_first__rr_2.75,2,20.4597,30,2,-1,-78362.0,-18113.993
primary__operating__2021__mae_first__rr_2.83,1,0.8428,27,2,-1,-43921.0,-11785.9798
primary__operating__2021__mae_first__rr_2.87,1,-13.7223,32,2,-1,-51310.0,-12735.3745
primary__operating__2021__mae_first__rr_3.03,1,-18.1128,10,1,-2,26161.0,3489.6337
primary__operating__2021__mae_first__rr_3.17,1,-20.6917,11,0,-2,18937.0,2380.164
primary__operating__2021__mae_first__rr_3.18,1,-20.6917,11,0,-2,19937.0,2693.8881
primary__operating__2021__mae_first__rr_3.25,1,-10.5919,6,0,-2,33391.0,10225.3173
primary__operating__2021__mae_first__rr_3.34,0,-22.2003,7,-1,-1,668.0,3242.549
primary__operating__2021__mae_first__rr_3.50,0,-21.2074,17,0,1,-24044.0,-2163.2929
primary__operating__2021__mae_first__wide4,-2,-23.1667,18,-1,2,-18268.0,-5585.4225
primary__operating__2021__mae_first__center4,-2,-23.1667,9,1,0,13951.0,388.8076
primary__operating__2021__mae_first__edge4,-2,-23.1667,18,-1,3,-46153.0,-5689.61
primary__operating__2021__mae_first__without050,-2,-23.1667,11,-1,0,4267.0,-50.7564
primary__operating__2021__mae_first__extremes2,-2,-23.1667,29,1,3,-75605.0,-10781.1741
primary__operating__2021__mae_first__grid5,-2,-23.1667,13,-2,0,-26313.0,-4430.7453
primary__operating__2021__mae_first__ladder4,0,0.0,9,0,0,-4804.0,-1142.5411
primary__operating__2021__mae_first__ladder20,0,0.0,10,0,0,-5962.0,-1894.2174
primary__operating__2021__mae_first__uniform_low,1,7.1592,26,5,12,9241.0,-15064.5815
primary__operating__2021__mae_first__grid10,-1,-6.1459,6,-1,-1,11359.0,474.8386
primary__operating__2021__mae_first__uniform_high,0,0.0,0,0,0,-30000.0,10878.6877
primary__operating__2021__mae_first__ladder20_reverse,0,0.0,10,0,0,-6462.0,-31.018
primary__isolation__2022__mae_first__rr_0.50,-1,-1523.2069,-20,-20,-20,300000.0,65141.8269
primary__isolation__2022__mae_first__rr_0.66,-1,-1523.2069,-20,-20,-20,310000.0,76636.2256
primary__operating__2021__mae_first__grid20,-1,2.1384,-5,-2,-2,32059.0,6429.5335
primary__isolation__2022__mae_first__rr_0.83,0,-50.0025,0,0,0,0.0,8178.123
primary__isolation__2022__mae_first__rr_0.97,0,0.1993,0,0,0,0.0,-3362.2652
primary__isolation__2022__mae_first__rr_0.75,-1,-1523.2069,-20,-20,-20,330000.0,73083.8365
primary__isolation__2022__mae_first__rr_0.82,-1,-1523.2069,-20,-20,-20,370000.0,79612.9537
primary__isolation__2022__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2022__mae_first__rr_1.13,0,110.7348,0,0,0,0.0,-30370.1883
primary__isolation__2022__mae_first__rr_1.17,0,110.7348,0,0,0,0.0,-30265.4264
primary__isolation__2022__mae_first__rr_1.25,0,110.7348,0,0,0,0.0,-29854.9502
primary__isolation__2022__mae_first__rr_1.29,0,107.7519,0,0,0,0.0,-29900.7538
primary__isolation__2022__mae_first__rr_1.45,0,110.7348,0,0,0,0.0,-29656.9026
primary__isolation__2022__mae_first__rr_1.50,0,107.9931,0,0,0,0.0,-28654.7955
primary__isolation__2022__mae_first__rr_1.61,0,-32.027,0,0,0,0.0,5492.9159
primary__isolation__2022__mae_first__rr_1.75,0,-32.2347,0,0,0,0.0,10171.3062
primary__isolation__2022__mae_first__rr_1.76,0,-32.2347,0,0,0,0.0,10788.1171
primary__isolation__2022__mae_first__rr_1.83,0,-32.2347,0,0,0,0.0,11115.5989
primary__isolation__2022__mae_first__rr_1.92,0,-31.6319,0,0,0,0.0,7532.5013
primary__isolation__2022__mae_first__rr_2.00,0,-32.9257,0,0,0,0.0,10475.3
primary__isolation__2022__mae_first__rr_2.08,0,121.7936,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.17,0,121.7936,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.24,0,121.7936,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.25,0,121.7936,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.39,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.50,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.55,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.71,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.75,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.83,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_2.87,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_3.17,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_3.03,0,122.1313,0,0,0,0.0,-30704.7121
primary__operating__2021__mae_first__grid20_reverse,0,-22.2003,7,-1,-2,21734.0,2811.6816
primary__isolation__2022__mae_first__rr_3.18,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_3.34,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_3.25,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__rr_3.50,0,122.1313,0,0,0,0.0,-30704.7121
primary__isolation__2022__mae_first__center4,0,-32.2347,0,-15,-5,0.0,-20458.5048
primary__isolation__2022__mae_first__wide4,-1,-1523.2069,-5,-10,-5,75000.0,-6735.6457
primary__isolation__2022__mae_first__without050,-1,-1523.2069,-5,-10,-5,82500.0,-4750.1432
primary__isolation__2022__mae_first__edge4,-1,-1523.2069,-10,-10,-10,157500.0,19204.0598
primary__isolation__2022__mae_first__extremes2,-1,-1523.2069,-10,-10,-10,150000.0,17218.5574
primary__isolation__2022__mae_first__ladder4,0,0.0,0,0,0,0.0,0.0
primary__isolation__2022__mae_first__grid5,-1,-1523.2069,-4,-12,-8,60000.0,-10712.1358
primary__isolation__2022__mae_first__ladder20,0,0.0,0,0,0,0.0,0.0
primary__isolation__2022__mae_first__uniform_low,0,0.0,0,0,0,0.0,0.0
primary__isolation__2022__mae_first__uniform_high,0,0.0,0,0,0,0.0,0.0
primary__isolation__2022__mae_first__grid10,-1,-1523.2069,-2,-12,-6,30000.0,-20274.5217
primary__isolation__2022__mae_first__ladder20_reverse,0,0.0,0,0,0,0.0,0.0
primary__operating__2022__mae_first__rr_0.50,-2,-23.6664,12,6,6,-87089.0,-15283.9317
primary__operating__2022__mae_first__rr_0.66,-1,-17.278,3,0,3,-89139.0,-8087.3229
primary__isolation__2022__mae_first__grid20,-1,-1523.2069,-3,-12,-7,49000.0,-14344.5709
primary__operating__2022__mae_first__rr_0.75,-1,-3.7933,2,1,3,-61948.0,-6908.2654
primary__operating__2022__mae_first__rr_0.82,-2,-23.6664,-2,0,0,-27651.0,-2919.0425
primary__operating__2022__mae_first__rr_0.83,-2,-23.6664,-4,0,0,-27269.0,-3111.599
primary__isolation__2022__mae_first__grid20_reverse,-1,-1523.2069,-3,-12,-7,49000.0,-14344.5709
primary__operating__2022__mae_first__rr_0.97,-1,-15.3828,0,0,-1,2401.0,-737.0247
primary__operating__2022__mae_first__rr_1.00,0,0.0,0,0,0,0.0,0.0
primary__operating__2022__mae_first__rr_1.13,1,5.3294,-1,0,-1,74526.0,2229.356
primary__operating__2022__mae_first__rr_1.17,1,5.2572,3,-1,0,59762.0,1590.1882
primary__operating__2022__mae_first__rr_1.29,1,8.4315,1,-2,0,43809.0,1450.7935
primary__operating__2022__mae_first__rr_1.25,1,5.4565,1,-3,0,9342.0,382.7403
primary__operating__2022__mae_first__rr_1.50,-1,31.9838,0,0,1,43236.0,2484.9814
primary__operating__2022__mae_first__rr_1.45,-1,31.9838,-1,-3,1,33927.0,404.3237
primary__operating__2022__mae_first__rr_1.75,-1,32.4963,11,-2,3,26734.0,3902.0609
primary__operating__2022__mae_first__rr_1.61,-1,32.2067,18,-2,4,-15676.0,-7169.4431
primary__operating__2022__mae_first__rr_1.83,-1,32.4963,17,-2,4,13588.0,378.2669
primary__operating__2022__mae_first__rr_1.76,-1,32.4963,11,-2,2,30267.0,4587.2111
primary__operating__2022__mae_first__rr_2.00,0,33.4542,11,-1,0,-2266.0,4242.3609
primary__operating__2022__mae_first__rr_1.92,-1,32.4963,19,-1,2,-21695.0,-3775.936
primary__operating__2022__mae_first__rr_2.17,1,34.0773,7,0,0,8432.0,4299.5643
primary__operating__2022__mae_first__rr_2.08,0,33.5445,7,-2,1,25465.0,8323.0121
primary__operating__2022__mae_first__rr_2.24,1,34.0461,7,-2,0,20932.0,7832.8447
primary__operating__2022__mae_first__rr_2.25,1,34.0461,7,-2,0,26432.0,8831.722
primary__operating__2022__mae_first__rr_2.39,1,95.5653,14,-1,-1,36529.0,9957.3575
primary__operating__2022__mae_first__rr_2.50,2,10.4257,6,-2,1,74590.0,12686.0428
primary__operating__2022__mae_first__rr_2.55,2,10.4257,6,-2,1,73090.0,10731.1769
primary__operating__2022__mae_first__rr_2.71,1,15.8338,9,-2,-1,60149.0,7242.2853
primary__operating__2022__mae_first__rr_2.75,1,15.8338,15,-1,0,14135.0,499.9254
primary__operating__2022__mae_first__rr_2.83,0,-6.79,9,-2,-2,38715.0,5525.9621
primary__operating__2022__mae_first__rr_2.87,0,-7.2011,9,-3,-2,43215.0,7835.6041
primary__operating__2022__mae_first__rr_3.03,1,8.3088,4,-2,-2,56203.0,13613.5609
primary__operating__2022__mae_first__rr_3.17,0,47.5172,21,-2,-1,14956.0,5878.6781
primary__operating__2022__mae_first__rr_3.18,0,47.5172,21,-2,-1,14956.0,6256.0652
primary__operating__2022__mae_first__rr_3.25,-1,32.9838,20,-2,0,13180.0,6283.225
primary__operating__2022__mae_first__rr_3.34,0,33.7646,25,0,0,-37039.0,-3650.6236
primary__operating__2022__mae_first__rr_3.50,0,42.0047,26,0,1,-37697.0,-2371.1528
primary__operating__2022__mae_first__wide4,-2,-23.6664,8,-2,1,15241.0,467.9093
primary__operating__2022__mae_first__center4,-1,31.9255,10,-3,0,25458.0,4622.9053
primary__operating__2022__mae_first__edge4,-2,-23.6664,13,-3,1,-32516.0,-3814.9238
primary__operating__2022__mae_first__without050,-1,-3.7933,10,-2,2,14425.0,1637.0936
primary__operating__2022__mae_first__extremes2,-2,-23.6664,16,0,3,-40990.0,-4873.6654
primary__operating__2022__mae_first__grid5,-2,-23.6664,4,-3,-1,6104.0,1639.5543
primary__operating__2022__mae_first__ladder4,0,0.0,11,0,1,-7120.0,-1714.1609
primary__operating__2022__mae_first__ladder20,0,0.0,10,0,1,-7962.0,-2804.1148
primary__operating__2022__mae_first__uniform_low,1,7.1593,26,5,14,9241.0,-16779.6927
primary__operating__2022__mae_first__grid10,-2,-23.6664,5,-4,-1,18847.0,116.534
primary__operating__2022__mae_first__uniform_high,0,0.0,0,0,0,-30000.0,11915.3654
