case,account_id,sleeve,rr,reserve,death_window,death_entry_at,died_at
march__operating__2020__mae_first__rr_1.17,59,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,60,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,61,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,62,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,63,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,78,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,79,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,80,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,81,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,82,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.17,83,0,1.17,5700,9-10,2026-03-26T09:55:40,2026-03-26T10:06:40
march__operating__2020__mae_first__rr_1.25,4,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,7,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,8,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,9,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,10,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,11,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,54,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,55,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,56,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,57,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,58,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,71,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,72,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,73,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,80,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,81,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,82,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,83,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,84,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.25,85,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__rr_1.29,4,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,7,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,8,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,9,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,10,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,11,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,51,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,52,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,53,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,54,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,55,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,56,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,57,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,58,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,59,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,66,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,67,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,68,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,69,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.29,70,0,1.29,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_1.45,4,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,8,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,9,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,10,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,11,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,12,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,54,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,55,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,56,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,57,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,58,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,59,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,60,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,61,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,62,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,69,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,70,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,71,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,72,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.45,74,0,1.45,5700,16-17,2026-03-24T16:31:40,2026-03-24T16:39:40
march__operating__2020__mae_first__rr_1.50,4,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,8,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,9,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,10,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,11,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,12,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,56,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,57,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,58,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,59,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,60,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,61,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,62,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,63,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,64,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,71,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,72,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,73,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,76,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.50,77,0,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__rr_1.61,4,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,8,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,9,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,10,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,11,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,12,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,17,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,18,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,21,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,27,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,42,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,43,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,55,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,56,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
march__operating__2020__mae_first__rr_1.61,57,0,1.61,5700,18-19,2026-03-23T18:02:40,2026-03-23T18:36:40
