case,account_id,sleeve,rr,reserve,death_window,death_entry_at,died_at
march__operating__2020__mae_first__rr_1.92,73,0,1.92,5700,16-17,2026-03-26T16:00:40,2026-03-26T16:39:40
march__operating__2020__mae_first__rr_2.39,4,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,8,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,9,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,10,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,11,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,12,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,14,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,15,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,72,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,73,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,74,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,75,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,76,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,77,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,78,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,79,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,80,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,81,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,82,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__rr_2.39,83,0,2.39,5700,16-17,2026-03-27T16:25:40,2026-03-27T16:32:40
march__operating__2020__mae_first__wide4,4,1,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__wide4,9,1,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__wide4,57,1,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__wide4,61,1,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__wide4,87,1,1.50,5700,23-24,2026-03-26T23:11:40,2026-03-26T23:30:00
march__operating__2020__mae_first__center4,4,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__center4,8,1,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__center4,11,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__center4,12,1,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__center4,55,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
march__operating__2020__mae_first__center4,77,1,1.75,5700,6-7,2026-03-26T06:22:40,2026-03-26T09:01:40
march__operating__2020__mae_first__center4,80,0,1.25,5700,20-21,2026-03-27T20:07:20,2026-03-27T20:17:40
