case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2021__mae_first__ladder4,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__ladder20,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
primary__operating__2021__mae_first__ladder20,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__uniform_low,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
primary__operating__2021__mae_first__uniform_low,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__uniform_low,2026-03-24T20:10:40,10,20,20,2026-04-01T00:00:00,7.159259259259259
primary__operating__2021__mae_first__grid10,2021-06-15T23:30:00,1,4,2,2021-07-03T00:00:00,17.020833333333332
primary__operating__2021__mae_first__uniform_high,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
primary__operating__2021__mae_first__uniform_high,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__ladder20_reverse,2022-01-10T20:30:00,1,8,8,2022-01-12T00:00:00,1.1458333333333333
primary__operating__2021__mae_first__ladder20_reverse,2022-06-14T23:30:00,2,9,2,2022-07-07T00:00:00,22.020833333333332
primary__operating__2021__mae_first__grid20,2021-06-07T16:40:40,1,4,2,2021-07-03T00:00:00,25.305092592592594
primary__isolation__2022__mae_first__rr_0.83,2022-07-01T16:36:20,20,20,20,,
primary__isolation__2022__mae_first__rr_0.97,2022-05-12T11:45:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.00,2022-05-12T16:32:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.13,2022-01-21T22:54:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.17,2022-01-21T22:54:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.25,2022-01-21T22:54:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.29,2022-01-24T22:30:00,20,20,20,,
primary__isolation__2022__mae_first__rr_1.45,2022-01-21T22:54:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.50,2022-01-24T16:42:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.61,2022-06-13T17:11:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.75,2022-06-13T22:10:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.76,2022-06-13T22:10:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.83,2022-06-13T22:10:40,20,20,20,,
primary__isolation__2022__mae_first__rr_1.92,2022-06-13T07:42:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.00,2022-06-14T14:45:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.08,2022-01-10T21:30:00,20,20,20,,
primary__isolation__2022__mae_first__rr_2.17,2022-01-10T21:30:00,20,20,20,,
primary__isolation__2022__mae_first__rr_2.24,2022-01-10T21:30:00,20,20,20,,
primary__isolation__2022__mae_first__rr_2.25,2022-01-10T21:30:00,20,20,20,,
primary__isolation__2022__mae_first__rr_2.39,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.50,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.55,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.71,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.75,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.83,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_2.87,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_3.17,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_3.03,2022-01-10T13:23:40,20,20,20,,
primary__operating__2021__mae_first__grid20_reverse,2021-02-26T01:58:40,1,1,1,2021-02-27T00:00:00,0.9175925925925926
primary__operating__2021__mae_first__grid20_reverse,2021-09-28T22:49:40,2,5,5,2021-09-29T00:00:00,0.04884259259259259
primary__isolation__2022__mae_first__rr_3.18,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_3.34,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_3.25,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__rr_3.50,2022-01-10T13:23:40,20,20,20,,
primary__isolation__2022__mae_first__center4,2022-06-13T22:10:40,5,20,5,,
primary__isolation__2022__mae_first__ladder4,2022-05-12T16:32:40,20,20,20,,
primary__isolation__2022__mae_first__ladder20,2022-05-12T16:32:40,20,20,20,,
primary__isolation__2022__mae_first__uniform_low,2022-05-12T16:32:40,20,20,20,,
primary__isolation__2022__mae_first__uniform_high,2022-05-12T16:32:40,20,20,20,,
primary__isolation__2022__mae_first__ladder20_reverse,2022-05-12T16:32:40,20,20,20,,
primary__operating__2022__mae_first__rr_0.66,2022-06-30T14:40:40,1,4,1,2022-07-07T00:00:00,6.388425925925926
primary__operating__2022__mae_first__rr_0.75,2022-06-17T03:02:40,1,4,1,2022-07-07T00:00:00,19.873148148148147
primary__operating__2022__mae_first__rr_0.97,2022-06-13T17:11:40,2,3,2,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__rr_1.00,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__rr_1.00,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__rr_1.13,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__rr_1.13,2022-06-13T22:10:40,1,3,1,2022-06-22T00:00:00,8.075925925925926
primary__operating__2022__mae_first__rr_1.13,2022-07-01T11:06:40,1,3,1,2022-07-07T00:00:00,5.537037037037037
primary__operating__2022__mae_first__rr_1.17,2022-05-12T16:32:40,1,3,3,2022-05-28T00:00:00,15.310648148148148
primary__operating__2022__mae_first__rr_1.17,2022-06-13T22:10:40,1,3,1,2022-06-22T00:00:00,8.075925925925926
primary__operating__2022__mae_first__rr_1.17,2022-07-01T11:06:40,1,3,1,2022-07-07T00:00:00,5.537037037037037
primary__operating__2022__mae_first__rr_1.29,2022-05-12T11:45:40,2,3,3,2022-05-28T00:00:00,15.509953703703705
primary__operating__2022__mae_first__rr_1.29,2022-06-10T22:46:40,1,3,1,2022-06-22T00:00:00,11.050925925925926
primary__operating__2022__mae_first__rr_1.29,2022-07-01T11:06:40,1,3,1,2022-07-07T00:00:00,5.537037037037037
primary__operating__2022__mae_first__rr_1.25,2022-05-12T11:45:40,1,3,3,2022-05-28T00:00:00,15.509953703703705
primary__operating__2022__mae_first__rr_1.25,2022-06-13T22:10:40,1,3,1,2022-06-22T00:00:00,8.075925925925926
primary__operating__2022__mae_first__rr_1.25,2022-07-01T11:06:40,1,3,1,2022-07-07T00:00:00,5.537037037037037
primary__operating__2022__mae_first__rr_1.50,2022-05-12T08:23:40,1,4,4,2022-07-07T00:00:00,55.650231481481484
primary__operating__2022__mae_first__rr_1.45,2022-05-12T08:23:40,1,4,4,2022-07-07T00:00:00,55.650231481481484
primary__operating__2022__mae_first__rr_1.75,2022-05-11T20:05:40,1,4,4,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_1.61,2022-05-12T03:02:40,1,4,4,2022-07-07T00:00:00,55.87314814814815
primary__operating__2022__mae_first__rr_1.83,2022-05-11T20:05:40,1,4,4,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_1.76,2022-05-11T20:05:40,1,4,4,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_2.00,2022-05-11T22:15:40,1,4,4,2022-07-07T00:00:00,56.0724537037037
primary__operating__2022__mae_first__rr_2.00,2023-01-05T22:50:40,2,7,4,2023-01-07T00:00:00,1.048148148148148
primary__operating__2022__mae_first__rr_1.92,2022-05-11T20:05:40,3,4,4,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_2.17,2022-03-08T18:32:40,1,2,2,2022-03-09T00:00:00,0.2273148148148148
primary__operating__2022__mae_first__rr_2.17,2022-05-11T20:05:40,3,3,3,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_2.17,2023-01-05T15:30:40,2,7,4,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2022__mae_first__rr_2.08,2022-05-11T20:05:40,3,4,4,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_2.08,2023-01-05T22:50:40,2,8,4,2023-01-07T00:00:00,1.048148148148148
primary__operating__2022__mae_first__rr_2.24,2022-03-08T17:07:40,1,2,2,2022-03-09T00:00:00,0.2863425925925926
primary__operating__2022__mae_first__rr_2.24,2022-05-11T22:15:40,1,3,3,2022-07-07T00:00:00,56.0724537037037
primary__operating__2022__mae_first__rr_2.24,2023-01-05T15:30:40,3,7,4,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2022__mae_first__rr_2.25,2022-03-08T17:07:40,1,2,2,2022-03-09T00:00:00,0.2863425925925926
primary__operating__2022__mae_first__rr_2.25,2022-05-11T22:15:40,1,3,3,2022-07-07T00:00:00,56.0724537037037
primary__operating__2022__mae_first__rr_2.25,2023-01-05T15:30:40,3,7,4,2023-01-07T00:00:00,1.3537037037037036
primary__operating__2022__mae_first__rr_2.39,2022-03-04T23:30:00,1,2,2,2022-03-05T00:00:00,0.020833333333333332
primary__operating__2022__mae_first__rr_2.39,2022-05-11T20:05:40,2,3,3,2022-07-07T00:00:00,56.16273148148148
primary__operating__2022__mae_first__rr_2.39,2023-01-05T22:50:40,3,5,3,2023-03-10T00:00:00,63.04814814814815
primary__operating__2022__mae_first__rr_2.50,2022-05-12T09:47:40,1,3,3,2022-05-28T00:00:00,15.591898148148148
primary__operating__2022__mae_first__rr_2.50,2022-06-09T20:32:40,1,3,1,2022-06-22T00:00:00,12.14398148148148
primary__operating__2022__mae_first__rr_2.50,2022-07-01T16:36:20,1,3,1,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_2.50,2023-01-05T22:50:40,2,7,3,2023-01-07T00:00:00,1.048148148148148
primary__operating__2022__mae_first__rr_2.55,2022-05-12T09:47:40,1,3,3,2022-05-28T00:00:00,15.591898148148148
primary__operating__2022__mae_first__rr_2.55,2022-06-09T20:32:40,1,3,1,2022-06-22T00:00:00,12.14398148148148
primary__operating__2022__mae_first__rr_2.55,2022-07-01T16:36:20,1,3,1,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_2.55,2023-01-05T22:50:40,2,7,3,2023-01-07T00:00:00,1.048148148148148
primary__operating__2022__mae_first__rr_2.71,2022-06-09T20:32:40,2,3,2,2022-06-22T00:00:00,12.14398148148148
primary__operating__2022__mae_first__rr_2.71,2022-07-01T16:36:20,2,3,2,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_2.71,2023-01-05T22:50:40,2,6,5,2023-01-28T00:00:00,22.048148148148147
primary__operating__2022__mae_first__rr_2.75,2022-06-09T20:32:40,2,3,2,2022-06-22T00:00:00,12.14398148148148
primary__operating__2022__mae_first__rr_2.75,2022-07-01T16:36:20,2,3,2,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_2.75,2023-01-05T22:50:40,4,6,5,2023-01-28T00:00:00,22.048148148148147
primary__operating__2022__mae_first__rr_2.83,2022-06-10T10:21:40,2,3,2,2022-06-22T00:00:00,11.568287037037036
primary__operating__2022__mae_first__rr_2.83,2022-07-01T16:36:20,2,3,2,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_2.87,2022-06-10T20:13:40,2,3,2,2022-06-22T00:00:00,11.157175925925927
primary__operating__2022__mae_first__rr_2.87,2022-07-01T16:36:20,2,3,2,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_3.03,2022-05-12T11:45:40,1,3,3,2022-05-28T00:00:00,15.509953703703705
primary__operating__2022__mae_first__rr_3.03,2022-06-10T20:13:40,1,3,1,2022-06-22T00:00:00,11.157175925925927
primary__operating__2022__mae_first__rr_3.03,2022-07-01T16:36:20,1,3,1,2022-07-07T00:00:00,5.308101851851852
primary__operating__2022__mae_first__rr_3.17,2022-05-11T20:05:40,3,3,3,2022-07-08T00:00:00,57.16273148148148
primary__operating__2022__mae_first__rr_3.17,2022-12-23T23:30:00,2,6,4,2023-01-07T00:00:00,14.020833333333334
primary__operating__2022__mae_first__rr_3.18,2022-05-11T20:05:40,3,3,3,2022-07-08T00:00:00,57.16273148148148
primary__operating__2022__mae_first__rr_3.18,2022-12-23T23:30:00,2,6,4,2023-01-07T00:00:00,14.020833333333334
primary__operating__2022__mae_first__rr_3.25,2022-05-12T08:23:40,1,3,3,2022-07-08T00:00:00,56.650231481481484
primary__operating__2022__mae_first__rr_3.34,2022-05-12T14:48:40,1,3,3,2022-07-08T00:00:00,56.38287037037037
primary__operating__2022__mae_first__rr_3.34,2023-01-05T22:50:40,1,6,4,2023-01-07T00:00:00,1.048148148148148
primary__operating__2022__mae_first__rr_3.50,2022-05-12T08:23:40,1,3,3,2022-07-08T00:00:00,56.650231481481484
primary__operating__2022__mae_first__rr_3.50,2022-12-28T23:30:00,1,6,4,2023-01-07T00:00:00,9.020833333333334
primary__operating__2022__mae_first__center4,2022-05-12T09:47:40,1,4,4,2022-07-07T00:00:00,55.59189814814815
primary__operating__2022__mae_first__without050,2022-06-17T03:02:40,1,4,1,2022-07-07T00:00:00,19.873148148148147
primary__operating__2022__mae_first__ladder4,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__ladder4,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__ladder20,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__ladder20,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__uniform_low,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__uniform_low,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__uniform_low,2026-03-24T20:10:40,6,20,20,2026-04-01T00:00:00,7.159259259259259
primary__operating__2022__mae_first__uniform_high,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__uniform_high,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__operating__2022__mae_first__ladder20_reverse,2022-05-12T14:48:40,1,3,3,2022-05-28T00:00:00,15.38287037037037
primary__operating__2022__mae_first__ladder20_reverse,2022-06-13T17:11:40,1,3,1,2022-06-22T00:00:00,8.283564814814815
primary__isolation__2023__mae_first__rr_0.50,2023-03-01T23:30:00,20,20,20,,
primary__isolation__2023__mae_first__rr_0.66,2023-10-30T18:43:40,20,20,20,,
primary__operating__2022__mae_first__grid20_reverse,2022-05-12T08:23:40,1,3,3,2022-07-08T00:00:00,56.650231481481484
primary__operating__2022__mae_first__grid20_reverse,2022-12-28T23:30:00,1,6,4,2023-01-07T00:00:00,9.020833333333334
primary__isolation__2023__mae_first__uniform_low,2026-03-23T18:36:40,20,20,20,,
primary__operating__2023__mae_first__rr_0.50,2023-10-04T11:00:00,6,6,6,2023-12-13T00:00:00,69.54166666666667
primary__operating__2023__mae_first__rr_0.66,2023-10-25T09:57:40,6,6,6,2023-12-12T00:00:00,47.584953703703704
primary__operating__2023__mae_first__rr_0.75,2023-10-25T18:42:40,6,6,6,2023-12-12T00:00:00,47.22037037037037
primary__operating__2023__mae_first__rr_0.82,2023-10-26T20:30:40,1,6,6,2023-12-12T00:00:00,46.14537037037037
primary__operating__2023__mae_first__rr_0.83,2023-10-25T23:16:40,1,6,6,2023-12-12T00:00:00,47.030092592592595
primary__operating__2023__mae_first__rr_0.97,2023-10-25T23:16:40,1,6,6,2023-12-12T00:00:00,47.030092592592595
primary__operating__2023__mae_first__rr_1.00,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__rr_1.13,2023-10-25T21:50:20,1,6,6,2023-11-04T00:00:00,9.090046296296297
primary__operating__2023__mae_first__rr_1.17,2023-10-27T17:42:40,1,6,6,2023-12-12T00:00:00,45.26203703703704
primary__operating__2023__mae_first__rr_1.25,2023-10-26T20:30:40,1,6,6,2023-12-12T00:00:00,46.14537037037037
primary__operating__2023__mae_first__rr_1.29,2023-10-23T22:12:40,1,6,6,2023-12-13T00:00:00,50.07453703703704
primary__operating__2023__mae_first__rr_1.45,2023-10-23T23:30:00,1,6,6,2023-12-12T00:00:00,49.020833333333336
primary__operating__2023__mae_first__rr_1.50,2023-10-20T22:45:40,1,6,6,2023-12-13T00:00:00,53.05162037037037
primary__operating__2023__mae_first__rr_1.61,2023-10-23T22:12:40,1,6,6,2023-12-13T00:00:00,50.07453703703704
primary__operating__2023__mae_first__rr_1.75,2023-10-26T20:30:40,1,6,4,2023-12-13T00:00:00,47.14537037037037
primary__operating__2023__mae_first__rr_1.76,2023-10-31T21:00:00,1,6,4,2023-12-13T00:00:00,42.125
primary__operating__2023__mae_first__rr_1.83,2023-10-25T18:42:40,2,6,3,2023-12-13T00:00:00,48.22037037037037
primary__operating__2023__mae_first__rr_1.92,2023-10-25T23:16:40,3,6,4,2023-12-13T00:00:00,48.030092592592595
primary__operating__2023__mae_first__rr_3.34,2023-11-01T16:30:00,1,6,6,2023-12-12T00:00:00,40.3125
primary__operating__2023__mae_first__rr_3.50,2023-10-26T20:30:40,1,6,6,2023-12-12T00:00:00,46.14537037037037
primary__operating__2023__mae_first__edge4,2023-10-26T18:23:40,1,6,4,2023-12-13T00:00:00,47.23356481481481
primary__operating__2023__mae_first__extremes2,2023-10-25T21:50:20,1,6,3,2023-12-13T00:00:00,48.09004629629629
primary__operating__2023__mae_first__grid5,2023-12-04T20:00:00,1,6,1,2023-12-13T00:00:00,8.166666666666666
primary__operating__2023__mae_first__ladder4,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__ladder20,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__uniform_low,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__grid10,2023-10-25T18:42:40,1,6,4,2023-12-13T00:00:00,48.22037037037037
primary__operating__2023__mae_first__uniform_high,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__ladder20_reverse,2023-10-30T18:43:40,1,6,6,2023-12-12T00:00:00,42.21967592592593
primary__operating__2023__mae_first__grid20,2023-10-25T18:42:40,2,6,4,2023-12-13T00:00:00,48.22037037037037
primary__operating__2023__mae_first__grid20_reverse,2023-10-26T20:30:40,2,6,6,2023-11-04T00:00:00,8.14537037037037
primary__isolation__2024__mae_first__uniform_low,2026-03-24T20:10:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.50,2025-03-10T19:02:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.66,2025-03-11T01:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.75,2025-03-11T01:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.82,2025-03-11T19:21:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.83,2025-03-11T19:21:40,20,20,20,,
primary__isolation__2025__mae_first__rr_0.97,2025-04-07T05:00:00,20,20,20,,
primary__isolation__2025__mae_first__rr_1.00,2025-04-04T22:55:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.17,2025-03-11T20:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_1.25,2025-04-04T20:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.29,2025-04-04T21:36:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.45,2025-03-11T19:21:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.50,2025-04-04T20:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.61,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_1.75,2025-01-13T17:15:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.76,2025-01-13T17:15:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.83,2025-01-13T17:15:40,20,20,20,,
primary__isolation__2025__mae_first__rr_1.92,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.00,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.08,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.17,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.24,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.25,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.39,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.50,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.55,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.71,2025-03-11T01:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_2.75,2025-03-06T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.83,2025-03-07T21:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_2.87,2025-03-07T21:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_3.03,2025-03-11T01:16:40,20,20,20,,
primary__isolation__2025__mae_first__rr_3.17,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_3.18,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_3.25,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_3.34,2025-01-13T23:30:00,20,20,20,,
primary__isolation__2025__mae_first__rr_3.50,2025-01-13T16:01:40,20,20,20,,
primary__isolation__2025__mae_first__wide4,2025-04-04T20:16:40,5,20,5,,
primary__isolation__2025__mae_first__without050,2025-04-04T20:16:40,5,20,5,,
primary__isolation__2025__mae_first__center4,2025-04-04T20:16:40,5,20,5,,
primary__isolation__2025__mae_first__edge4,2025-03-11T01:16:40,5,20,10,,
primary__isolation__2025__mae_first__extremes2,2025-03-10T19:02:40,10,20,10,,
primary__isolation__2025__mae_first__ladder4,2025-04-04T22:55:40,20,20,20,,
primary__isolation__2025__mae_first__grid5,2025-04-04T20:16:40,4,20,4,,
primary__isolation__2025__mae_first__ladder20,2025-04-04T22:55:40,20,20,20,,
primary__isolation__2025__mae_first__uniform_low,2025-04-04T22:55:40,20,20,20,,
primary__isolation__2025__mae_first__grid10,2025-04-04T20:16:40,2,20,2,,
primary__isolation__2025__mae_first__uniform_high,2025-04-04T22:55:40,20,20,20,,
primary__isolation__2025__mae_first__ladder20_reverse,2025-04-04T22:55:40,20,20,20,,
primary__operating__2025__mae_first__rr_0.66,2026-03-27T20:17:40,1,8,6,2026-04-02T00:00:00,5.1543981481481485
primary__operating__2025__mae_first__rr_0.75,2026-03-26T16:39:40,1,7,6,2026-04-02T00:00:00,6.305787037037037
primary__operating__2025__mae_first__rr_0.82,2026-03-27T20:17:40,3,7,5,2026-04-01T00:00:00,4.1543981481481485
primary__operating__2025__mae_first__rr_0.97,2026-03-23T08:33:40,1,8,6,2026-04-02T00:00:00,9.643287037037037
primary__operating__2025__mae_first__rr_1.00,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
primary__operating__2025__mae_first__ladder4,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
primary__operating__2025__mae_first__ladder20,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
primary__operating__2025__mae_first__uniform_low,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
primary__operating__2025__mae_first__uniform_high,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
primary__operating__2025__mae_first__ladder20_reverse,2026-03-20T20:05:40,1,8,6,2026-04-02T00:00:00,12.162731481481481
march__operating__2020__mae_first__rr_0.50,2021-05-19T09:35:40,1,12,9,2021-07-03T00:00:00,44.60023148148148
march__operating__2020__mae_first__rr_0.66,2021-06-17T14:30:00,1,13,3,2021-07-03T00:00:00,15.395833333333334
march__operating__2020__mae_first__rr_0.75,2020-03-12T21:06:40,3,3,3,2020-03-21T00:00:00,8.12037037037037
march__operating__2020__mae_first__rr_0.75,2021-06-09T08:03:20,1,11,1,2021-07-03T00:00:00,23.66435185185185
march__operating__2020__mae_first__rr_0.75,2022-01-07T23:30:00,1,18,17,2022-01-12T00:00:00,4.020833333333333
march__operating__2020__mae_first__rr_0.82,2020-03-18T19:28:40,3,3,3,2020-04-08T00:00:00,20.188425925925927
march__operating__2020__mae_first__rr_0.82,2021-03-08T15:30:00,1,11,7,2021-03-17T00:00:00,8.354166666666666
march__operating__2020__mae_first__rr_0.82,2021-05-19T09:35:40,1,11,4,2021-07-03T00:00:00,44.60023148148148
march__operating__2020__mae_first__rr_0.83,2020-03-18T19:28:40,3,3,3,2020-04-08T00:00:00,20.188425925925927
march__operating__2020__mae_first__rr_0.83,2021-05-17T18:51:40,6,12,6,2021-07-03T00:00:00,46.214120370370374
march__operating__2020__mae_first__rr_0.97,2020-03-13T03:10:40,3,3,3,2020-03-24T00:00:00,10.867592592592592
march__operating__2020__mae_first__rr_0.97,2021-06-18T20:51:20,1,12,1,2021-07-03T00:00:00,14.131018518518518
march__operating__2020__mae_first__rr_0.97,2022-01-10T16:31:40,2,19,19,2022-01-12T00:00:00,1.3113425925925926
march__operating__2020__mae_first__rr_0.97,2022-06-14T22:08:40,1,19,1,2022-08-04T00:00:00,50.07731481481481
march__operating__2020__mae_first__rr_0.97,2022-11-04T17:51:40,1,19,3,2022-11-19T00:00:00,14.255787037037036
march__operating__2020__mae_first__rr_0.97,2023-01-04T19:55:40,1,19,1,2023-05-02T00:00:00,117.16967592592593
march__operating__2020__mae_first__rr_0.97,2023-10-25T18:42:40,3,19,3,2024-01-10T00:00:00,76.22037037037038
march__operating__2020__mae_first__rr_1.00,2020-03-12T21:06:40,3,3,3,2020-03-21T00:00:00,8.12037037037037
march__operating__2020__mae_first__rr_1.00,2026-03-26T16:39:40,20,20,20,2026-04-01T00:00:00,5.305787037037037
march__operating__2020__mae_first__rr_1.13,2020-03-02T03:30:00,1,1,1,2020-03-03T00:00:00,0.8541666666666666
march__operating__2020__mae_first__rr_1.13,2020-03-12T17:19:40,2,2,2,2020-03-21T00:00:00,8.278009259259258
march__operating__2020__mae_first__rr_1.17,2020-03-02T03:30:00,1,1,1,2020-03-03T00:00:00,0.8541666666666666
march__operating__2020__mae_first__rr_1.17,2020-03-12T17:19:40,2,2,2,2020-03-21T00:00:00,8.278009259259258
march__operating__2020__mae_first__rr_1.17,2026-03-26T10:06:40,20,20,20,2026-04-01T00:00:00,5.578703703703703
march__operating__2020__mae_first__rr_1.25,2020-03-02T03:30:00,1,1,1,2020-03-03T00:00:00,0.8541666666666666
march__operating__2020__mae_first__rr_1.25,2020-03-12T17:19:40,2,2,2,2020-03-21T00:00:00,8.278009259259258
march__operating__2020__mae_first__rr_1.25,2026-03-27T20:17:40,20,20,20,2026-04-01T00:00:00,4.1543981481481485
