case,at,live_before_final_loss,max_live_ever_before,max_live_preceding_20_calendar_days,reopened_at,days_until_reopening
primary__operating__2020__mae_first__rr_0.75,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_0.75,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_0.75,2021-05-27T15:00:00,1,9,6,2021-07-07T00:00:00,40.375
primary__operating__2020__mae_first__rr_0.82,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_0.82,2021-03-08T15:30:00,1,10,9,2021-03-17T00:00:00,8.354166666666666
primary__operating__2020__mae_first__rr_0.82,2021-05-17T18:51:40,2,10,2,2021-07-03T00:00:00,46.214120370370374
primary__operating__2020__mae_first__rr_0.83,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_0.83,2021-06-03T16:39:40,1,11,5,2021-07-03T00:00:00,29.30578703703704
primary__operating__2020__mae_first__rr_1.00,2020-03-12T21:06:40,1,1,1,2020-03-13T00:00:00,0.12037037037037036
primary__operating__2020__mae_first__rr_1.00,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_0.97,2020-03-13T03:10:40,1,1,1,2020-03-14T00:00:00,0.8675925925925926
primary__operating__2020__mae_first__rr_0.97,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.13,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_1.13,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.17,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_1.17,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.29,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
primary__operating__2020__mae_first__rr_1.29,2020-03-18T19:28:40,1,1,1,2020-03-19T00:00:00,0.1884259259259259
primary__operating__2020__mae_first__rr_1.25,2020-03-12T17:19:40,1,1,1,2020-03-13T00:00:00,0.27800925925925923
