objective,family_rank,product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job
total,5,legacy_25k,5000,200,maximum,daily,6800,31900.0,False,1,10,10,True,419647.63,281234.45,138413.18,81,20,81,96,215,7095.0,10125.0,17220.0,440247.63,20600.0,0,0,61,61,0,0.2951,86.22,353.38,7850.77,0,58.67,11.4,10,11,11,5742,15,730,855,blocking,106457,9075,0.7169379048822879,994c57824759dd5184bd25455c3a757d2064c4cda5a4ccd4549034d11b8e9909,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6800, false, 1, 10, 10, true]"
total,6,legacy_25k,5000,200,minimum,daily,3000,28100.0,False,0,10,2,True,406936.0,406936.0,0,123,10,123,139,233,7689.0,15375.0,23064.0,427536.0,20600.0,0,10,113,103,10,0.0885,30.5,77.51,3739.56,17.92,160.67,13.94,10,10,20,0,0,0,0,blocking,129765,8643,0.6828092905672302,7a07dc8dd72f747c79b15bfdb495645306ac2fce358d6af44edc63563ff40571,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3000, false, 0, 10, 2, true]"
ongoing,1,legacy_50k,5000,200,minimum,weekly,0,50100.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 0, true, 1, 20, 2, true]"
ongoing,2,legacy_50k,5000,200,minimum,daily,3000,53100.0,False,1,20,5,True,443290.0,443290.0,0,82,16,82,90,199,7960.0,10250.0,18210.0,463890.0,20600.0,0,4,66,62,4,0.0455,42.57,94.16,3002.04,115.06,110.67,15.42,20,20,18,0,0,0,0,blocking,143422,8887,0.7020856375414758,6dd207b5407963be0a5621c40e935df59c4ea55d6fedb854346e363248e9c79d,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3000, false, 1, 20, 5, true]"
ongoing,3,legacy_50k,5000,200,maximum,weekly,4000,54100.0,False,1,20,5,True,422321.0,410553.95,11767.05,75,14,75,85,167,6680.0,9375.0,16055.0,442921.0,20600.0,0,6,61,55,6,0.0492,32.35,152.08,2863.79,116.38,101.67,15.48,19,19,19,724,0,0,164,blocking,144147,8916,0.704376678780218,11c0947fc704fc100484607003859a8e54f51ceae87668c26f04188751a0007f,"[""legacy_50k"", 5000, 200, ""maximum"", ""weekly"", 4000, false, 1, 20, 5, true]"
ongoing,4,legacy_50k,5000,200,maximum,daily,5000,55100.0,False,0,20,2,True,443313.55,406047.55,37266.0,69,20,69,75,160,6400.0,8625.0,15025.0,463913.55,20600.0,0,0,49,49,0,0.0204,32.64,130.02,2072.15,0,143.67,14.95,20,20,20,0,0,0,0,blocking,139387,8736,0.6901564228156106,73dcc3d1cc84e41f2ddaf925cd4ce9c62136b6650e7d836a7173cb5116e197dd,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 5000, false, 0, 20, 2, true]"
ongoing,5,legacy_50k,5000,200,maximum,calendar_month,4000,54100.0,False,0,20,2,True,400135.55,400135.55,0,69,20,69,75,200,8000.0,8625.0,16625.0,420735.55,20600.0,0,0,49,49,0,0.0204,95.22,130.02,3323.76,0,206.67,14.42,20,20,20,0,0,0,0,blocking,134767,8505,0.6719070943276979,43abbdbfc7e0540d35409c5f51dc0e32f2c1ebf6121309479869914d302f4069,"[""legacy_50k"", 5000, 200, ""maximum"", ""calendar_month"", 4000, false, 0, 20, 2, true]"
ongoing,6,legacy_50k,5000,200,minimum,calendar_month,0,50100.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 0, true, 1, 20, 2, true]"
total,1,legacy_50k,5000,200,minimum,calendar_month,0,50100.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 0, true, 1, 20, 2, true]"
total,2,legacy_50k,5000,200,maximum,daily,6800,56900.0,False,0,20,2,True,510100.7,373503.55,136597.15,49,20,49,55,120,4800.0,6125.0,10925.0,530700.7,20600.0,0,0,29,29,0,0.0345,33.5,130.02,1419.28,0,111.67,15.22,18,18,18,0,0,0,0,blocking,142107,8872,0.7009006162110918,0a7dd6d1c3f98f872ac6065185e8a4247da2a56db5225680c5f1d86615992df5,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, false, 0, 20, 2, true]"
total,3,legacy_50k,5000,200,maximum,weekly,6800,56900.0,False,0,20,2,True,510100.7,399256.55,110844.15,49,20,49,55,120,4800.0,6125.0,10925.0,530700.7,20600.0,0,0,29,29,0,0.0345,33.5,130.02,1419.28,0,111.67,15.22,18,18,18,0,0,0,0,blocking,142107,8872,0.7009006162110918,9ff7186a0c5dd2d5f9bdfbfd932b11c55e64e0f029568b64da48a0df85873606,"[""legacy_50k"", 5000, 200, ""maximum"", ""weekly"", 6800, false, 0, 20, 2, true]"
total,4,legacy_50k,5000,200,maximum,calendar_month,6000,56100.0,False,0,20,2,True,510100.7,381882.55,128218.15,49,20,49,55,120,4800.0,6125.0,10925.0,530700.7,20600.0,0,0,29,29,0,0.0345,33.5,130.02,1419.28,0,111.67,15.22,18,18,18,0,0,0,0,blocking,142107,8872,0.7009006162110918,f3b1b1f209c5774be643ccc0dc28711ed86d578239896a56ab341869d1475932,"[""legacy_50k"", 5000, 200, ""maximum"", ""calendar_month"", 6000, false, 0, 20, 2, true]"
total,5,legacy_50k,5000,200,minimum,weekly,0,50100.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 0, true, 1, 20, 2, true]"
total,6,legacy_50k,5000,200,minimum,daily,3000,53100.0,False,1,20,5,True,443290.0,443290.0,0,82,16,82,90,199,7960.0,10250.0,18210.0,463890.0,20600.0,0,4,66,62,4,0.0455,42.57,94.16,3002.04,115.06,110.67,15.42,20,20,18,0,0,0,0,blocking,143422,8887,0.7020856375414758,6dd207b5407963be0a5621c40e935df59c4ea55d6fedb854346e363248e9c79d,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3000, false, 1, 20, 5, true]"
