product,window,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,job
legacy_25k,full,0,25100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,226389.97,0,226389.97,274775.97,29211.05,244,9,255,542,280,17886.0,30500.0,48386.0,20600.0,246989.97,0,0,0,23.5,0,221,0,96.9,185,0,2026-06-25T23:30:00,13,235,224,11,0.0085,93.21,160.08,21673.05,94.33,251.67,7.3,16,16,14,0,0,0,0,2384.5694,17325.878,7.2658,30365.51,7623.16,8127.17,1049.18,10289.88,1416.2,"[""legacy_25k"", ""full"", 0]"
legacy_25k,full,1000,26100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,211443.95,0,211443.95,260060.95,25870.65,244,8,254,549,288,18117.0,30500.0,48617.0,20600.0,232043.95,0,0,0,23.5,0,222,0,96.9,186,0,2026-06-25T23:30:00,13,236,224,12,0.0085,87.8,160.08,21446.62,94.33,265.67,7.39,16,16,14,0,0,0,0,2384.5694,17552.3028,7.3608,30139.09,7532.17,8032.07,1023.28,10203.43,1386.19,"[""legacy_25k"", ""full"", 1000]"
legacy_25k,full,2000,27100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,211430.9,0,211430.9,253763.9,29211.05,213,9,224,476,246,15708.0,26625.0,42333.0,20600.0,232030.9,0,0,0,23.5,0,192,6,630.76,172,0,2026-06-25T23:30:00,20,204,193,11,0.0098,87.11,158.31,17175.31,94.33,214.67,9.13,16,16,14,0,0,0,0,2384.5694,21698.6181,9.0996,25992.77,12415.85,12868.64,1364.44,14574.01,1601.61,"[""legacy_25k"", ""full"", 2000]"
legacy_25k,full,3000,28100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,414429.0,0,414429.0,447726.0,28053.45,165,10,173,384,205,12672.0,20625.0,33297.0,20600.0,435029.0,0,0,0,23.5,0,143,28,4792.74,123,0,2026-06-29T16:56:40,19,155,145,10,0.0194,81.44,173.37,12792.84,42.02,60.67,11.3,17,17,13,0,0,0,0,2384.5694,26884.0903,11.2742,20807.3,23877.71,24253.07,2117.91,25150.83,2230.83,"[""legacy_25k"", ""full"", 3000]"
legacy_25k,full,4000,29100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,384608.85,0,384608.85,414658.85,29530.2,148,10,157,350,187,11550.0,18500.0,30050.0,20600.0,405208.85,0,0,0,23.5,0,126,21,9868.7,107,0,2026-06-24T21:49:40,20,138,128,10,0.0145,81.92,167.04,11496.09,94.33,52.67,11.85,15,15,13,0,0,0,0,2384.5694,28219.8368,11.8344,19471.55,31513.06,31889.07,2662.85,32587.55,2753.64,"[""legacy_25k"", ""full"", 4000]"
legacy_25k,full,5000,30100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,450534.0,0,450534.0,472027.0,6938.0,107,2,117,246,123,8118.0,13375.0,21493.0,20600.0,471134.0,0,0,0,23.5,0,93,21,15273.13,74,0,2026-06-24T21:49:40,20,105,87,18,0.019,57.12,146.49,7324.26,116.12,65.67,13.6,15,15,13,0,0,0,0,2384.5694,32391.6653,13.5839,15299.72,45273.97,45613.3,3332.92,46069.05,3391.45,"[""legacy_25k"", ""full"", 5000]"
legacy_25k,full,5500,30600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,463722.09,0,463722.09,482230.09,13858.15,95,5,101,201,94,6633.0,11875.0,18508.0,20600.0,484322.09,0,0,0,23.5,0,78,21,18191.72,59,0,2026-06-24T21:49:40,20,90,75,15,0.0222,51.21,126.04,5645.74,112.75,57.67,14.3,15,15,13,0,0,0,0,2384.5694,34070.1863,14.2878,13621.2,53535.12,53855.7,3746.92,53989.13,3778.69,"[""legacy_25k"", ""full"", 5500]"
legacy_25k,full,5600,30700.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,454405.21,0,454405.21,473170.21,13858.15,96,5,102,205,97,6765.0,12000.0,18765.0,20600.0,475005.21,0,0,0,23.5,0,79,21,17712.04,60,0,2026-06-24T21:49:40,20,91,76,15,0.022,51.21,140.08,5848.35,112.54,57.67,14.22,15,15,13,0,0,0,0,2384.5694,33867.5718,14.2028,13823.82,53571.42,53893.39,3771.89,54053.7,3805.85,"[""legacy_25k"", ""full"", 5600]"
legacy_25k,full,5700,30800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,538435.18,0,538435.18,551621.18,13858.15,68,5,74,142,62,4686.0,8500.0,13186.0,20600.0,559035.18,0,0,0,23.5,0,51,20,26288.13,32,0,2026-06-24T21:49:40,20,63,48,15,0.0317,35.64,124.02,3407.74,112.54,57.67,15.24,15,15,13,0,0,0,0,2384.5694,36308.1829,15.2263,11383.21,65726.83,66004.6,4316.66,65708.21,4315.44,"[""legacy_25k"", ""full"", 5700]"
legacy_25k,full,5800,30900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,536615.11,0,536615.11,549801.11,13858.15,68,5,74,142,62,4686.0,8500.0,13186.0,20600.0,557215.11,0,0,0,23.5,0,51,20,26288.13,32,0,2026-06-24T21:49:40,20,63,48,15,0.0317,35.64,124.02,3407.74,112.54,57.67,15.24,15,15,13,0,0,0,0,2384.5694,36308.1829,15.2263,11383.21,67218.68,67496.44,4414.64,67200.05,4413.42,"[""legacy_25k"", ""full"", 5800]"
legacy_25k,full,5900,31000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,534795.11,0,534795.11,547981.11,13858.15,68,5,74,142,62,4686.0,8500.0,13186.0,20600.0,555395.11,0,0,0,23.5,0,51,20,26296.51,32,0,2026-06-24T21:49:40,20,63,48,15,0.0317,35.22,124.02,3399.37,112.12,57.67,15.24,15,15,13,0,0,0,0,2384.5694,36316.5579,15.2298,11374.83,68834.53,69112.29,4519.72,68815.55,4518.48,"[""legacy_25k"", ""full"", 5900]"
legacy_25k,full,6000,31100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,532975.08,0,532975.08,546161.08,13858.15,68,5,74,142,62,4686.0,8500.0,13186.0,20600.0,553575.08,0,0,0,23.5,0,51,20,26296.51,32,0,2026-06-24T21:49:40,20,63,48,15,0.0317,35.22,124.02,3399.37,112.12,57.67,15.24,15,15,13,0,0,0,0,2384.5694,36316.5579,15.2298,11374.83,70034.63,70312.39,4598.52,70015.65,4597.27,"[""legacy_25k"", ""full"", 6000]"
legacy_25k,full,6100,31200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,531530.08,0,531530.08,544341.08,8675.45,65,3,74,142,62,4686.0,8125.0,12811.0,20600.0,552130.08,0,0,0,23.5,0,50,20,26314.88,31,0,2026-06-25T23:30:00,20,62,45,17,0.0323,31.31,124.02,3423.59,111.2,65.67,15.23,15,15,13,0,0,0,0,2384.5694,36292.3384,15.2197,11399.05,70887.01,71166.96,4657.59,70866.62,4656.25,"[""legacy_25k"", ""full"", 6100]"
