reserve,at,account_id,trade_key,entry_at,equity_before,floor_before,mae,mfe,gross_pnl,adverse_equity,equity_after,floor_after,alive_after,death_equity
6800,2026-03-24T20:10:40,1,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,2,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,5,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,6,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,7,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,12,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,13,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,14,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,15,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,16,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,17,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,18,RR1.00:17-18:370:1886,2026-03-24T17:51:40,309.6,100.0,-212.0,206.0,-212.0,97.6,309.6,100.0,False,97.6
6800,2026-03-24T20:10:40,23,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,24,RR1.00:17-18:370:1886,2026-03-24T17:51:40,628.95,100.0,-212.0,206.0,-212.0,416.95,415.9,100.0,True,
6800,2026-03-24T20:10:40,25,RR1.00:17-18:370:1886,2026-03-24T17:51:40,1446.1,100.0,-212.0,206.0,-212.0,1234.1,1233.05,100.0,True,
7100,2026-03-24T20:10:40,1,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,2,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,5,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,6,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,7,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,12,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,13,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,14,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,15,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,16,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,17,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,18,RR1.00:17-18:370:1886,2026-03-24T17:51:40,1017.65,100.0,-212.0,206.0,-212.0,805.65,804.6,100.0,True,
7100,2026-03-24T20:10:40,23,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,24,RR1.00:17-18:370:1886,2026-03-24T17:51:40,928.95,100.0,-212.0,206.0,-212.0,716.95,715.9,100.0,True,
7100,2026-03-24T20:10:40,25,RR1.00:17-18:370:1886,2026-03-24T17:51:40,1446.1,100.0,-212.0,206.0,-212.0,1234.1,1233.05,100.0,True,
