at,account_id,trade_key,entry_at,equity_before,floor_before,mae,mfe,gross_pnl,adverse_equity,equity_after,floor_after,alive_after,death_equity
2026-03-02T03:30:00,4,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4686.6,100.0,-17.0,229.5,184.0,4669.6,4869.55,100.0,True,
2026-03-02T03:30:00,65,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5096.2,100.0,-17.0,229.5,184.0,5079.2,5279.15,100.0,True,
2026-03-02T03:30:00,66,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4807.2,100.0,-17.0,229.5,184.0,4790.2,4990.15,100.0,True,
2026-03-02T03:30:00,78,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4669.9,100.0,-17.0,229.5,184.0,4652.9,4852.85,100.0,True,
2026-03-02T03:30:00,79,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4900.1,100.0,-17.0,229.5,184.0,4883.1,5083.05,100.0,True,
2026-03-02T03:30:00,80,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4622.95,100.0,-17.0,229.5,184.0,4605.95,4805.9,100.0,True,
2026-03-02T03:30:00,81,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4622.95,100.0,-17.0,229.5,184.0,4605.95,4805.9,100.0,True,
2026-03-02T03:30:00,82,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4622.95,100.0,-17.0,229.5,184.0,4605.95,4805.9,100.0,True,
2026-03-02T03:30:00,83,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5009.75,100.0,-17.0,229.5,184.0,4992.75,5192.7,100.0,True,
2026-03-02T03:30:00,84,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5009.75,100.0,-17.0,229.5,184.0,4992.75,5192.7,100.0,True,
2026-03-02T03:30:00,91,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4692.3,100.0,-17.0,229.5,184.0,4675.3,4875.25,100.0,True,
2026-03-02T03:30:00,92,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4831.15,100.0,-17.0,229.5,184.0,4814.15,5014.1,100.0,True,
2026-03-02T03:30:00,93,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4723.2,100.0,-17.0,229.5,184.0,4706.2,4906.15,100.0,True,
2026-03-02T03:30:00,94,RR1.00:2-3:555:2093,2026-03-02T02:50:40,5055.6,100.0,-17.0,229.5,184.0,5038.6,5238.55,100.0,True,
2026-03-02T03:30:00,95,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4683.75,100.0,-17.0,229.5,184.0,4666.75,4866.7,100.0,True,
2026-03-02T03:30:00,96,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4747.4,100.0,-17.0,229.5,184.0,4730.4,4930.35,100.0,True,
2026-03-02T03:30:00,97,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4747.4,100.0,-17.0,229.5,184.0,4730.4,4930.35,100.0,True,
2026-03-02T03:30:00,98,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4995.6,100.0,-17.0,229.5,184.0,4978.6,5178.55,100.0,True,
2026-03-02T03:30:00,99,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4855.85,100.0,-17.0,229.5,184.0,4838.85,5038.8,100.0,True,
2026-03-02T03:30:00,100,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4895.65,100.0,-17.0,229.5,184.0,4878.65,5078.6,100.0,True,
2026-03-02T11:30:00,4,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4869.55,100.0,-24.0,193.0,165.5,4845.55,5034.0,100.0,True,
2026-03-02T11:30:00,65,RR1.00:10-11:584:2112,2026-03-02T10:40:40,5279.15,100.0,-24.0,193.0,165.5,5255.15,5443.6,100.0,True,
2026-03-02T11:30:00,66,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4990.15,100.0,-24.0,193.0,165.5,4966.15,5154.6,100.0,True,
