months,budget,gap,left,right,left_episodes,right_episodes,shared,left_only,right_only,jaccard,reciprocal,shared_ids,left_only_ids,right_only_ids
6,1500,40,RR:0.75,GG:0.75,4,7,2,2,5,0.2222222222222222,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e10
6,1500,40,RR:0.75,GG:1.00,4,5,2,2,3,0.2857142857142857,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:1.25,4,4,2,2,2,0.3333333333333333,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:1.50,4,4,2,2,2,0.3333333333333333,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e07,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:1.75,4,6,2,2,4,0.25,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:2.00,4,7,3,1,4,0.375,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:2.25,4,7,3,1,4,0.375,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:2.50,4,7,3,1,4,0.375,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:2.75,4,7,3,1,4,0.375,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:3.00,4,6,3,1,3,0.42857142857142855,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e07,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:3.25,4,6,3,1,3,0.42857142857142855,True,6m_b1500_g40_e07;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:0.75,GG:3.50,4,6,3,1,3,0.42857142857142855,True,6m_b1500_g40_e07;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e01;6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:0.50,3,7,2,1,5,0.25,True,6m_b1500_g40_e02;6m_b1500_g40_e12,6m_b1500_g40_e01,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09;6m_b1500_g40_e11
6,1500,40,RR:1.00,GG:0.75,3,7,2,1,5,0.25,True,6m_b1500_g40_e01;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09;6m_b1500_g40_e10
6,1500,40,RR:1.00,GG:1.00,3,5,2,1,3,0.3333333333333333,True,6m_b1500_g40_e01;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:1.25,3,4,1,2,3,0.16666666666666666,True,6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:1.50,3,4,1,2,3,0.16666666666666666,True,6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:1.75,3,6,2,1,4,0.2857142857142857,True,6m_b1500_g40_e01;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:2.00,3,7,3,0,4,0.42857142857142855,False,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e12,,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:2.25,3,7,3,0,4,0.42857142857142855,False,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e12,,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:2.50,3,7,3,0,4,0.42857142857142855,False,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e12,,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:2.75,3,7,3,0,4,0.42857142857142855,False,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e12,,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:3.00,3,6,3,0,3,0.5,False,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e12,,6m_b1500_g40_e04;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:3.25,3,6,2,1,4,0.2857142857142857,True,6m_b1500_g40_e01;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.00,GG:3.50,3,6,2,1,4,0.2857142857142857,True,6m_b1500_g40_e01;6m_b1500_g40_e12,6m_b1500_g40_e02,6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e08;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:0.50,5,7,3,2,4,0.3333333333333333,True,6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e11
6,1500,40,RR:1.25,GG:0.75,5,7,3,2,4,0.3333333333333333,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e10
6,1500,40,RR:1.25,GG:1.00,5,5,3,2,2,0.42857142857142855,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:1.25,5,4,2,3,2,0.2857142857142857,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:1.50,5,4,2,3,2,0.2857142857142857,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:1.75,5,6,3,2,3,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:2.00,5,7,4,1,3,0.5,True,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:2.25,5,7,4,1,3,0.5,True,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:2.50,5,7,4,1,3,0.5,True,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:2.75,5,7,4,1,3,0.5,True,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:3.00,5,6,4,1,2,0.5714285714285714,True,6m_b1500_g40_e01;6m_b1500_g40_e02;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:3.25,5,6,3,2,3,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e09
6,1500,40,RR:1.25,GG:3.50,5,6,3,2,3,0.375,True,6m_b1500_g40_e01;6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e02;6m_b1500_g40_e05,6m_b1500_g40_e04;6m_b1500_g40_e07;6m_b1500_g40_e09
6,1500,40,RR:1.50,GG:0.50,4,7,2,2,5,0.2222222222222222,True,6m_b1500_g40_e08;6m_b1500_g40_e12,6m_b1500_g40_e01;6m_b1500_g40_e07,6m_b1500_g40_e02;6m_b1500_g40_e04;6m_b1500_g40_e06;6m_b1500_g40_e09;6m_b1500_g40_e11
