months,budget,left,right,periods,left_failed,right_failed,both,left_only,right_only,neither,jaccard,reciprocal,both_cases,left_only_cases,right_only_cases,early_both,early_left_only,early_right_only,later_both,later_left_only,later_right_only
1,1500,RR:0.50,GG:0.50,78,8,17,6,2,11,59,0.3157894736842105,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-09-01;1m_2021-03-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:0.75,78,8,15,4,4,11,59,0.21052631578947367,True,1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2022-06-01;1m_2023-10-01;1m_2024-07-01,1m_2020-03-01;1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:1.00,78,8,16,6,2,10,60,0.3333333333333333,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-09-01;1m_2021-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2023-08-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:1.25,78,8,16,6,2,10,60,0.3333333333333333,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-09-01;1m_2022-01-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:1.50,78,8,16,6,2,10,60,0.3333333333333333,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-09-01;1m_2022-01-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-12-01;1m_2023-08-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:1.75,78,8,18,6,2,12,58,0.3,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-03-01;1m_2020-09-01;1m_2021-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:2.00,78,8,17,6,2,11,59,0.3157894736842105,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-09-01;1m_2021-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:2.25,78,8,18,6,2,12,58,0.3,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-03-01;1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2022-12-01;1m_2023-08-01;1m_2024-08-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:2.50,78,8,19,6,2,13,57,0.2857142857142857,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-03-01;1m_2020-09-01;1m_2021-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01,,,,,,
1,1500,RR:0.50,GG:2.75,78,8,19,6,2,13,57,0.2857142857142857,True,1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2023-10-01,1m_2020-03-01;1m_2020-09-01;1m_2021-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01,,,,,,
