episode,months,budget,gap,start,end,arms,arm_count,events
1m_b1500_g5_e12,1,1500,5,2022-04-12T20:20:40,2022-04-22T22:51:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g5_e13,1,1500,5,2022-05-09T19:07:40,2022-05-12T11:45:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
1m_b1500_g5_e14,1,1500,5,2022-06-10T21:55:20,2022-06-16T23:30:00,GG:0.50/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,24,24
1m_b1500_g5_e15,1,1500,5,2022-09-22T22:00:40,2022-09-28T12:15:40,GG:1.25/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,9,9
1m_b1500_g5_e16,1,1500,5,2022-11-09T18:43:40,2022-11-14T23:30:00,RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00,7,7
1m_b1500_g5_e17,1,1500,5,2022-12-28T19:32:40,2022-12-29T11:00:00,GG:1.50/GG:2.25,2,2
1m_b1500_g5_e18,1,1500,5,2023-08-08T19:32:40,2023-08-17T09:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g5_e19,1,1500,5,2023-10-25T22:32:40,2023-10-30T20:00:00,RR:0.50/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.75/RR:3.00/RR:3.25/RR:3.50,10,10
1m_b1500_g5_e20,1,1500,5,2024-07-25T09:30:40,2024-08-08T16:00:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,24,44
1m_b1500_g5_e21,1,1500,5,2024-09-06T20:09:40,2024-09-09T06:30:00,GG:0.50/GG:0.75,2,2
1m_b1500_g5_e22,1,1500,5,2025-03-06T20:21:40,2025-03-11T16:04:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,26
1m_b1500_g5_e23,1,1500,5,2025-04-04T08:32:40,2025-04-07T09:22:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,26
1m_b1500_g5_e24,1,1500,5,2025-11-18T18:31:40,2025-11-21T21:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.75/RR:2.50/RR:2.75/RR:3.00/RR:3.50,15,15
1m_b1500_g5_e25,1,1500,5,2026-02-13T09:00:40,2026-02-19T20:20:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,26
1m_b1500_g5_e26,1,1500,5,2026-03-13T03:15:40,2026-03-27T22:03:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
1m_b1500_g5_e27,1,1500,5,2026-06-04T16:33:40,2026-06-10T21:50:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,22,22
1m_b1500_g5_e28,1,1500,5,2026-06-25T07:48:40,2026-06-25T23:30:00,RR:0.50/RR:0.75/RR:1.25,3,3
1m_b1500_g20_e01,1,1500,20,2020-02-28T12:21:40,2020-03-19T17:30:00,GG:0.75/GG:1.75/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50,12,13
1m_b1500_g20_e02,1,1500,20,2020-06-26T18:07:40,2020-06-29T23:30:00,RR:1.75/RR:2.00/RR:2.25,3,3
1m_b1500_g20_e03,1,1500,20,2020-09-08T17:00:20,2020-09-21T19:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g20_e04,1,1500,20,2021-03-24T20:00:20,2021-03-24T20:40:40,GG:0.50,1,1
1m_b1500_g20_e05,1,1500,20,2021-05-19T09:35:40,2021-05-19T09:35:40,RR:0.50,1,1
1m_b1500_g20_e06,1,1500,20,2021-09-28T21:44:40,2021-09-30T22:59:40,GG:1.00/GG:1.75/GG:2.00/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.75/RR:3.00,10,10
1m_b1500_g20_e07,1,1500,20,2021-12-17T17:35:20,2022-06-16T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,112
1m_b1500_g20_e08,1,1500,20,2022-09-22T22:00:40,2022-09-28T12:15:40,GG:1.25/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,9,9
1m_b1500_g20_e09,1,1500,20,2022-11-09T18:43:40,2022-11-14T23:30:00,RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00,7,7
1m_b1500_g20_e10,1,1500,20,2022-12-28T19:32:40,2022-12-29T11:00:00,GG:1.50/GG:2.25,2,2
1m_b1500_g20_e11,1,1500,20,2023-08-08T19:32:40,2023-08-17T09:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g20_e12,1,1500,20,2023-10-25T22:32:40,2023-10-30T20:00:00,RR:0.50/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.75/RR:3.00/RR:3.25/RR:3.50,10,10
1m_b1500_g20_e13,1,1500,20,2024-07-25T09:30:40,2024-09-09T06:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,24,46
1m_b1500_g20_e14,1,1500,20,2025-03-06T20:21:40,2025-04-07T09:22:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,52
1m_b1500_g20_e15,1,1500,20,2025-11-18T18:31:40,2025-11-21T21:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.75/RR:2.50/RR:2.75/RR:3.00/RR:3.50,15,15
1m_b1500_g20_e16,1,1500,20,2026-02-13T09:00:40,2026-03-27T22:03:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,51
1m_b1500_g20_e17,1,1500,20,2026-06-04T16:33:40,2026-06-25T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
1m_b1500_g40_e01,1,1500,40,2020-02-28T12:21:40,2020-03-19T17:30:00,GG:0.75/GG:1.75/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50,12,13
1m_b1500_g40_e02,1,1500,40,2020-06-26T18:07:40,2020-06-29T23:30:00,RR:1.75/RR:2.00/RR:2.25,3,3
1m_b1500_g40_e03,1,1500,40,2020-09-08T17:00:20,2020-09-21T19:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g40_e04,1,1500,40,2021-03-24T20:00:20,2021-05-19T09:35:40,GG:0.50/RR:0.50,2,2
1m_b1500_g40_e05,1,1500,40,2021-09-28T21:44:40,2021-09-30T22:59:40,GG:1.00/GG:1.75/GG:2.00/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.75/RR:3.00,10,10
1m_b1500_g40_e06,1,1500,40,2021-12-17T17:35:20,2022-06-16T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,112
1m_b1500_g40_e07,1,1500,40,2022-09-22T22:00:40,2022-12-29T11:00:00,GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00,17,18
1m_b1500_g40_e08,1,1500,40,2023-08-08T19:32:40,2023-08-17T09:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g40_e09,1,1500,40,2023-10-25T22:32:40,2023-10-30T20:00:00,RR:0.50/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.75/RR:3.00/RR:3.25/RR:3.50,10,10
1m_b1500_g40_e10,1,1500,40,2024-07-25T09:30:40,2024-09-09T06:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,24,46
1m_b1500_g40_e11,1,1500,40,2025-03-06T20:21:40,2025-04-07T09:22:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,52
