episode,months,budget,gap,start,end,arms,arm_count,events
3m_b1500_g20_e02,3,1500,20,2021-03-04T13:40:40,2021-03-09T17:00:00,GG:0.50/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/RR:0.75/RR:1.00/RR:1.25,9,9
3m_b1500_g20_e03,3,1500,20,2021-05-18T22:31:40,2021-06-03T23:30:00,RR:0.50/RR:0.75/RR:1.00,3,3
3m_b1500_g20_e04,3,1500,20,2022-01-10T18:11:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.50/RR:2.75/RR:3.25/RR:3.50,17,17
3m_b1500_g20_e05,3,1500,20,2022-04-12T20:20:40,2022-05-12T09:47:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
3m_b1500_g20_e06,3,1500,20,2022-06-14T22:39:20,2022-06-14T23:30:00,RR:0.50,1,1
3m_b1500_g20_e07,3,1500,20,2022-11-14T17:07:40,2022-11-14T23:30:00,RR:2.00,1,1
3m_b1500_g20_e08,3,1500,20,2022-12-23T17:25:40,2022-12-23T23:30:00,RR:2.25,1,1
3m_b1500_g20_e09,3,1500,20,2023-08-16T17:11:20,2023-08-18T16:27:40,GG:0.50/GG:0.75/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75,7,7
3m_b1500_g20_e10,3,1500,20,2023-10-25T22:32:40,2023-10-30T20:00:00,RR:0.50/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.75/RR:3.00/RR:3.25/RR:3.50,10,10
3m_b1500_g20_e11,3,1500,20,2024-05-01T13:44:40,2024-05-01T22:00:00,RR:2.75/RR:3.00,2,2
3m_b1500_g20_e12,3,1500,20,2024-07-25T09:30:40,2024-08-02T23:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
3m_b1500_g20_e13,3,1500,20,2025-03-11T16:01:20,2025-04-07T09:22:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,26,33
3m_b1500_g20_e14,3,1500,20,2025-09-02T16:35:40,2025-09-02T17:00:00,GG:0.75,1,1
3m_b1500_g20_e15,3,1500,20,2025-11-21T15:17:40,2025-11-21T17:36:40,GG:0.50,1,1
3m_b1500_g20_e16,3,1500,20,2026-02-13T16:48:40,2026-03-26T16:39:40,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,25,25
3m_b1500_g40_e01,3,1500,40,2020-03-12T12:58:40,2020-03-18T19:30:40,GG:0.75/GG:1.00/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.00/RR:1.25/RR:1.50/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,18,18
3m_b1500_g40_e02,3,1500,40,2021-03-04T13:40:40,2021-03-09T17:00:00,GG:0.50/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/RR:0.75/RR:1.00/RR:1.25,9,9
3m_b1500_g40_e03,3,1500,40,2021-05-18T22:31:40,2021-06-03T23:30:00,RR:0.50/RR:0.75/RR:1.00,3,3
3m_b1500_g40_e04,3,1500,40,2022-01-10T18:11:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.50/RR:2.75/RR:3.25/RR:3.50,17,17
