left,right,episode_jaccard,shared_episodes,left_only_episodes,right_only_episodes,reciprocal_episodes,both_quarters,rr_only_quarters,other_only_quarters,mean_quarter_pnl,mean_quarter_mdd,mean_left_pnl,mean_right_pnl,mean_left_mdd,mean_right_mdd
RR:0.50,GG:0.50,0.18181818181818182,2,3,6,True,3,2,6,748.4096153846154,1558.6346153846155,867.8346153846154,628.9846153846154,1536.746153846154,2198.8923076923074
RR:0.50,GG:0.75,0.18181818181818182,2,3,6,True,3,2,6,885.6625,1550.8990384615383,867.8346153846154,903.4903846153846,1536.746153846154,2138.146153846154
RR:0.50,GG:2.00,0.18181818181818182,2,3,6,True,3,2,5,1049.701923076923,1653.8317307692307,867.8346153846154,1231.5692307692307,1536.746153846154,2256.9557692307694
RR:0.50,GG:2.25,0.18181818181818182,2,3,6,True,3,2,5,1043.0461538461539,1670.9605769230768,867.8346153846154,1218.2576923076922,1536.746153846154,2330.848076923077
RR:0.50,GG:2.50,0.18181818181818182,2,3,6,True,3,2,6,1020.8807692307693,1719.3423076923077,867.8346153846154,1173.9269230769232,1536.746153846154,2429.0884615384616
RR:0.50,GG:2.75,0.18181818181818182,2,3,6,True,3,2,6,1049.3480769230769,1723.503846153846,867.8346153846154,1230.8615384615384,1536.746153846154,2466.859615384615
RR:0.50,GG:1.75,0.2,2,3,5,True,3,2,4,987.4442307692308,1676.7769230769231,867.8346153846154,1107.0538461538463,1536.746153846154,2310.1903846153846
RR:0.50,GG:3.00,0.2,2,3,5,True,3,2,5,1104.7634615384616,1709.560576923077,867.8346153846154,1341.6923076923076,1536.746153846154,2450.9326923076924
RR:0.50,GG:1.00,0.2222222222222222,2,3,4,True,3,2,3,1007.8432692307692,1539.2798076923077,867.8346153846154,1147.851923076923,1536.746153846154,2122.3307692307694
RR:0.50,GG:3.25,0.2222222222222222,2,3,4,True,3,2,4,1036.3298076923077,1709.0951923076923,867.8346153846154,1204.825,1536.746153846154,2497.5653846153846
RR:0.50,GG:3.50,0.2222222222222222,2,3,4,True,3,2,4,1162.4240384615384,1653.3625,867.8346153846154,1457.0134615384616,1536.746153846154,2392.751923076923
RR:0.50,RR:2.50,0.2222222222222222,2,3,4,True,3,2,3,1180.996153846154,1660.4653846153847,867.8346153846154,1494.1576923076923,1536.746153846154,2005.6846153846154
RR:0.50,GG:1.25,0.25,2,3,3,True,3,2,2,1082.3509615384614,1564.7038461538461,867.8346153846154,1296.8673076923076,1536.746153846154,2154.0403846153845
RR:0.50,GG:1.50,0.25,2,3,3,True,3,2,2,1074.9509615384616,1575.1490384615386,867.8346153846154,1282.0673076923076,1536.746153846154,2181.525
RR:1.00,GG:1.25,0.3333333333333333,3,4,2,True,3,4,2,1170.5596153846154,1689.5365384615384,1044.251923076923,1296.8673076923076,1790.373076923077,2154.0403846153845
RR:1.00,GG:1.50,0.3333333333333333,3,4,2,True,3,4,2,1163.1596153846153,1736.2701923076925,1044.251923076923,1282.0673076923076,1790.373076923077,2181.525
RR:1.00,GG:0.50,0.36363636363636365,4,3,4,True,4,3,5,836.6182692307692,1697.694230769231,1044.251923076923,628.9846153846154,1790.373076923077,2198.8923076923074
RR:1.00,GG:0.75,0.36363636363636365,4,3,4,True,4,3,5,973.8711538461538,1679.8596153846154,1044.251923076923,903.4903846153846,1790.373076923077,2138.146153846154
RR:3.00,GG:0.50,0.36363636363636365,4,3,4,True,4,3,5,1026.7769230769231,1855.7663461538461,1424.5692307692307,628.9846153846154,2172.0346153846153,2198.8923076923074
RR:0.75,GG:0.75,0.4,4,2,4,True,4,2,5,875.5865384615385,1638.176923076923,847.6826923076923,903.4903846153846,1719.748076923077,2138.146153846154
RR:1.00,GG:1.75,0.4,4,3,3,True,4,3,3,1075.6528846153847,1818.989423076923,1044.251923076923,1107.0538461538463,1790.373076923077,2310.1903846153846
