case,start,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,left_pnl,right_pnl,left_mdd,right_mdd
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:2.25,-461.75,3388.0,2020-03-19,28,40,True,5,-1065.0749999999998,-1975.875,-3388.0,-636.4,-287.1,2884.3500000000004,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:2.50,-570.5,3505.6500000000005,2020-03-19,28,40,True,7,-1065.075,-1791.5249999999999,-3505.6500000000005,-636.4,-504.6,2884.3500000000004,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:2.75,-359.8,3489.625,2020-03-19,28,40,True,7,-1065.0749999999998,-1791.5249999999999,-3489.625,-636.4,-83.2,2884.3500000000004,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:3.00,-828.075,3548.8,2020-03-19,28,40,True,7,-1065.0749999999998,-1791.5249999999999,-3548.8,-636.4,-1019.75,2884.3500000000004,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:3.25,-785.425,3509.275,2020-03-19,28,40,True,7,-1065.0749999999998,-1791.5249999999999,-3509.275,-636.4,-934.45,2884.3500000000004,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:1.25,GG:3.50,-368.825,3329.175,2020-03-19,28,40,True,5,-1042.5,-1836.5,-3329.175,-636.4,-101.25,2884.3500000000004,3875.3
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:0.50,728.25,2603.675,2020-03-19,28,40,True,7,-886.5749999999999,-1655.5249999999999,-2603.675,22.7,1433.8,2645.1,2661.2
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:0.75,45.775,3003.6,2020-03-20,29,41,True,5,-886.575,-1558.725,-2926.925,22.7,68.85,2645.1,3541.85
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:1.00,-359.775,2921.7,2020-03-19,28,40,True,6,-853.325,-1583.175,-2921.7,22.7,-742.25,2645.1,3371.9
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:1.25,607.75,2602.875,2020-03-20,28,40,True,6,-951.0500000000001,-1594.4,-2495.125,22.7,1192.8,2645.1,3029.65
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:1.50,476.375,2746.0499999999997,2020-03-20,28,40,True,6,-1025.775,-1609.125,-2638.2749999999996,22.7,930.05,2645.1,3202.1
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:1.75,-334.825,3137.725,2020-03-20,29,41,True,7,-1065.0749999999998,-1774.9,-3005.175,22.7,-692.35,2645.1,3773.35
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:2.00,215.9,3083.0499999999997,2020-03-19,29,41,True,7,-1065.0749999999998,-1782.7999999999997,-3059.5499999999997,22.7,409.1,2645.1,3604.45
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:2.25,-132.20000000000002,3316.6749999999997,2020-03-19,29,41,True,7,-1065.0749999999998,-1953.125,-3293.1749999999997,22.7,-287.1,2645.1,4001.75
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:2.50,-240.95000000000002,3434.325,2020-03-19,29,41,True,7,-1065.075,-1768.7749999999999,-3410.825,22.7,-504.6,2645.1,4228.25
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:2.75,-30.25,3418.3,2020-03-19,29,41,True,7,-1065.0749999999998,-1768.7749999999999,-3394.8,22.7,-83.2,2645.1,4196.2
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:3.00,-498.525,3477.4750000000004,2020-03-19,29,41,True,6,-1065.0749999999998,-1768.7749999999999,-3453.975,22.7,-1019.75,2645.1,4314.55
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:3.25,-455.875,3437.95,2020-03-19,29,41,True,6,-1065.0749999999998,-1768.7749999999999,-3414.45,22.7,-934.45,2645.1,4235.5
3m_2020-01-01,2020-01-01T00:00:00,RR:1.50,GG:3.50,-39.275,3257.8500000000004,2020-03-19,29,41,True,5,-1042.5,-1813.75,-3234.35,22.7,-101.25,2645.1,3875.3
