episode,case,months,start,end,rr,strategy,risk_reward,budget,eligible,breached,trade_key,interval_start,exit,accepted,closed
1m_b1500_g5_e01,1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,GG:3.00,GG,3.00,1500,True,True,GG3.00:12-13:24:56,2020-02-28T12:21:40,2020-02-28T16:28:20,80,80
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:2.50,GG,2.50,1500,True,True,GG2.50:12-13:29:68,2020-03-17T12:04:40,2020-03-17T15:54:40,66,66
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:2.75,GG,2.75,1500,True,True,GG2.75:12-13:29:68,2020-03-17T12:04:40,2020-03-17T15:54:40,65,65
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:3.00,GG,3.00,1500,True,True,GG3.00:12-13:29:68,2020-03-17T12:04:40,2020-03-17T15:54:40,59,59
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:2.25,GG,2.25,1500,True,True,GG2.25:16-17:32:71,2020-03-17T16:30:40,2020-03-18T19:30:40,81,81
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:3.25,GG,3.25,1500,True,True,GG3.25:16-17:32:71,2020-03-17T16:30:40,2020-03-18T19:30:40,57,57
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:3.50,GG,3.50,1500,True,True,GG3.50:16-17:32:71,2020-03-17T16:30:40,2020-03-18T19:30:40,50,50
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,RR:1.25,RR,1.25,1500,True,True,RR1.25:16-17:38:98,2020-03-17T16:49:40,2020-03-18T19:28:40,103,103
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,RR:1.50,RR,1.50,1500,True,True,RR1.50:16-17:38:98,2020-03-17T16:49:40,2020-03-18T19:28:40,98,98
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,RR:0.75,RR,0.75,1500,True,True,RR0.75:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00,111,111
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,RR:1.00,RR,1.00,1500,True,True,RR1.00:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00,109,109
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:1.75,GG,1.75,1500,True,True,GG1.75:21-22:33:77,2020-03-18T21:00:40,2020-03-19T17:30:00,98,98
1m_b1500_g5_e02,1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,GG:0.75,GG,0.75,1500,True,True,GG0.75:6-7:28:68,2020-03-19T06:30:40,2020-03-19T08:30:00,146,146
1m_b1500_g5_e03,1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,RR:1.75,RR,1.75,1500,True,True,RR1.75:18-19:35:152,2020-06-26T18:07:40,2020-06-26T22:35:40,106,106
1m_b1500_g5_e03,1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,RR:2.00,RR,2.00,1500,True,True,RR2.00:22-23:35:142,2020-06-26T22:47:40,2020-06-26T22:52:40,106,106
1m_b1500_g5_e03,1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,RR:2.25,RR,2.25,1500,True,True,RR2.25:17-18:35:145,2020-06-29T17:26:40,2020-06-29T23:30:00,98,98
1m_b1500_g5_e04,1m_2020-09-01,1,2020-09-01T00:00:00,2020-10-01T00:00:00,GG:0.50,GG,0.50,1500,True,True,GG0.50:17-18:118:269,2020-09-08T17:00:20,2020-09-08T21:44:40,199,199
1m_b1500_g5_e04,1m_2020-09-01,1,2020-09-01T00:00:00,2020-10-01T00:00:00,GG:2.75,GG,2.75,1500,True,True,GG2.75:17-18:117:267,2020-09-08T17:00:20,2020-09-08T21:44:40,110,110
1m_b1500_g5_e04,1m_2020-09-01,1,2020-09-01T00:00:00,2020-10-01T00:00:00,GG:3.00,GG,3.00,1500,True,True,GG3.00:17-18:117:267,2020-09-08T17:00:20,2020-09-08T21:44:40,110,110
1m_b1500_g5_e04,1m_2020-09-01,1,2020-09-01T00:00:00,2020-10-01T00:00:00,GG:3.25,GG,3.25,1500,True,True,GG3.25:17-18:117:267,2020-09-08T17:00:20,2020-09-08T21:44:40,108,108
1m_b1500_g5_e04,1m_2020-09-01,1,2020-09-01T00:00:00,2020-10-01T00:00:00,GG:3.50,GG,3.50,1500,True,True,GG3.50:17-18:117:267,2020-09-08T17:00:20,2020-09-08T21:44:40,104,104
