case,months,start,end,rr,strategy,risk_reward,budget,eligible,breached,trade_key,interval_start,exit,accepted,closed
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:0.50,RR,0.50,1500,True,False,,,,138,138
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:0.50,RR,0.50,6800,True,False,,,,138,138
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:0.75,RR,0.75,1500,True,False,,,,131,131
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:0.75,RR,0.75,6800,True,False,,,,131,131
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.00,RR,1.00,1500,True,False,,,,123,123
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.00,RR,1.00,6800,True,False,,,,123,123
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.25,RR,1.25,1500,True,False,,,,114,114
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.25,RR,1.25,6800,True,False,,,,114,114
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.50,RR,1.50,1500,True,False,,,,110,110
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.50,RR,1.50,6800,True,False,,,,110,110
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.75,RR,1.75,1500,True,False,,,,106,106
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:1.75,RR,1.75,6800,True,False,,,,106,106
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.00,RR,2.00,1500,True,False,,,,104,104
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.00,RR,2.00,6800,True,False,,,,104,104
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.25,RR,2.25,1500,True,False,,,,101,101
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.25,RR,2.25,6800,True,False,,,,101,101
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.50,RR,2.50,1500,True,False,,,,97,97
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.50,RR,2.50,6800,True,False,,,,97,97
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.75,RR,2.75,1500,True,False,,,,95,95
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:2.75,RR,2.75,6800,True,False,,,,95,95
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.00,RR,3.00,1500,True,False,,,,92,92
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.00,RR,3.00,6800,True,False,,,,92,92
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.25,RR,3.25,1500,True,False,,,,88,88
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.25,RR,3.25,6800,True,False,,,,88,88
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.50,RR,3.50,1500,True,False,,,,88,88
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,RR:3.50,RR,3.50,6800,True,False,,,,88,88
