product,window,minimum_reserve,maximum_reserve,per_pa_capital_gap_pct,book_capital_gap_pct,within_tolerance,minimum_ongoing,maximum_ongoing,minimum_total,maximum_total,minimum_alive,maximum_alive,minimum_deaths,maximum_deaths,minimum_frozen_std,maximum_frozen_std,minimum_per_pa_capital,maximum_per_pa_capital,minimum_book_capital,maximum_book_capital
legacy_25k,full,9000,9000,2.809,2.81,True,121819.0,121478.7,123319.0,281126.03,20,20,71,71,1415.8289,1334.2178,5033.47,4892.06,47229.38,45902.45
legacy_25k,full,10000,10000,2.434,2.434,True,113866.0,112606.3,115366.0,271951.75,20,20,65,65,1532.5949,1459.456,5520.63,5386.28,51888.3,50625.58
legacy_25k,start_2021,0,1000,20.976,27.442,False,145663.0,170109.05,145663.0,170109.05,15,4,161,177,623.4396,510.2954,1184.67,936.17,10388.06,7537.38
legacy_25k,start_2021,1000,1000,20.976,27.442,False,145663.0,170109.05,145663.0,170109.05,15,4,161,177,623.4396,510.2954,1184.67,936.17,10388.06,7537.38
legacy_25k,start_2021,2000,3000,13.556,11.476,False,297526.0,296038.9,297526.0,308038.9,15,12,94,103,439.0422,285.6165,1905.52,2163.83,23491.15,26186.95
legacy_25k,start_2021,3000,4000,4.966,2.867,True,406786.0,368788.35,406786.0,373288.35,5,3,67,72,288.7459,226.7946,2832.06,2972.71,38878.85,39993.34
legacy_25k,start_2021,3100,4000,2.461,0.394,True,405286.0,368788.35,405286.0,373288.35,5,3,67,72,302.8642,226.7946,2901.32,2972.71,39836.34,39993.34
legacy_25k,start_2021,3200,4000,0.526,1.674,True,401286.0,368788.35,401286.0,373288.35,5,3,67,72,309.2592,226.7946,2957.17,2972.71,40674.4,39993.34
legacy_25k,start_2021,3300,4000,0.284,0.593,True,386534.0,368788.35,386534.0,373288.35,5,3,72,72,263.8067,226.7946,2981.18,2972.71,40232.11,39993.34
legacy_25k,start_2021,3400,4100,0.089,0.291,True,383475.0,366488.35,383475.0,370988.35,5,3,73,72,260.9912,233.1245,3039.23,3036.53,40971.07,40851.95
legacy_25k,start_2021,3500,4200,0.62,0.054,True,381843.0,364191.2,383343.0,368691.2,5,3,73,72,263.1906,246.6764,3114.6,3133.92,41735.32,41712.96
legacy_25k,start_2021,3600,4300,1.095,0.829,True,382324.0,361825.2,385324.0,366325.2,7,3,73,72,279.1716,254.4097,3178.19,3212.98,42942.86,42586.86
legacy_25k,start_2021,3700,4400,1.27,0.502,True,375067.0,359763.55,376567.0,364263.55,5,3,72,71,282.3802,264.3562,3236.98,3278.08,43566.81,43348.08
legacy_25k,start_2021,3800,4500,1.105,0.598,True,374567.0,357086.15,376067.0,361586.15,5,4,72,71,284.6749,294.1365,3306.46,3343.01,44512.23,44246.23
legacy_25k,start_2021,3900,4500,0.642,2.405,True,372067.0,357086.15,373567.0,361586.15,5,4,72,71,285.2528,294.1365,3364.62,3343.01,45336.7,44246.23
legacy_25k,start_2021,4000,4500,2.131,4.154,True,371015.0,357086.15,374015.0,361586.15,6,4,73,71,299.3221,294.1365,3415.81,3343.01,46163.9,44246.23
legacy_25k,start_2021,4100,4500,3.782,5.796,False,370015.0,357086.15,373015.0,361586.15,6,4,73,71,312.4567,294.1365,3474.41,3343.01,46968.63,44246.23
legacy_25k,start_2021,4200,5000,4.033,1.91,True,363152.0,347774.95,364652.0,352274.95,3,6,72,66,302.8989,332.0788,3574.29,3718.43,47575.08,48483.92
legacy_25k,start_2021,4300,5000,1.433,0.225,True,362586.0,347774.95,364086.0,352274.95,3,6,72,66,302.8211,332.0788,3665.9,3718.43,48593.05,48483.92
legacy_25k,start_2021,4400,5000,0.206,1.616,True,360645.0,347774.95,362145.0,352274.95,3,6,71,66,314.0787,332.0788,3726.1,3718.43,49280.15,48483.92
legacy_25k,start_2021,4500,5000,1.83,3.242,True,359645.0,347774.95,361145.0,352274.95,3,6,71,66,321.067,332.0788,3787.76,3718.43,50108.52,48483.92
legacy_25k,start_2021,5000,6000,1.746,1.781,True,348999.0,298841.25,351999.0,301841.25,6,5,66,71,385.3527,482.4628,4160.25,4232.88,54251.66,53285.42
legacy_25k,start_2021,5700,6100,3.766,2.227,True,307846.0,317063.45,310846.0,440887.41,5,20,68,44,533.8532,434.49,4479.68,4310.96,56733.38,57996.86
legacy_25k,start_2021,6000,6200,6.184,0.256,False,301148.0,315063.45,305648.0,440887.41,4,20,69,44,542.4317,433.8805,4659.29,4371.16,58656.8,58806.75
legacy_25k,start_2021,6100,6500,3.711,1.03,True,303905.0,309063.45,308405.0,440887.41,8,20,64,44,544.4452,465.5161,4708.4,4533.69,60371.34,60993.36
legacy_25k,start_2021,6200,6700,1.946,0.383,True,307004.0,305063.45,310004.0,440887.41,14,20,58,44,563.6061,488.247,4744.98,4652.66,62355.34,62593.91
legacy_25k,start_2021,6300,6900,0.881,0.449,True,307768.0,301063.45,310768.0,440887.41,17,20,55,44,578.0527,494.1259,4787.57,4745.38,63555.8,63841.31
legacy_25k,start_2021,6400,7100,0.29,0.116,True,312263.0,296905.45,312263.0,440729.41,20,20,44,45,539.6534,516.3156,4862.01,4876.11,65410.3,65485.97
legacy_25k,start_2021,6500,7200,0.313,0.138,True,311763.0,294905.45,311763.0,440729.41,20,20,44,45,552.7946,522.231,4908.65,4923.99,66037.8,66129.0
legacy_25k,start_2021,6600,7300,0.104,0.07,True,309763.0,292905.45,309763.0,440729.41,20,20,44,45,563.2034,530.3259,4970.05,4975.22,66863.81,66816.97
legacy_25k,start_2021,6700,7400,0.366,0.042,True,306763.0,291512.8,306763.0,441336.76,20,20,44,43,569.0802,539.6845,5031.05,5049.45,67684.56,67713.3
