product,window,withdrawal,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,live_multiple_account_days,live_mean_balance_std_usd,live_mean_balance_range_usd,live_mean_distinct_balances,live_identical_balance_fraction,frozen_multiple_account_days,frozen_mean_balance_std_usd,frozen_mean_balance_range_usd,frozen_mean_distinct_balances,frozen_identical_balance_fraction,book_empty_transitions,book_wipes_from_at_least_five_live,march30_pretrade_alive,march30_pretrade_distinct,march30_pretrade_profit_min,march30_pretrade_profit_max,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,full,minimum,3700,28800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,324590.0,1500.0,326090.0,347500.0,16267.35,112,5,142,270,121,8910.0,14000.0,22910.0,20600.0,346690.0,0,15,0,23.5,0,100,21,11602.04,81,0,2026-06-25T23:30:00,15,107,92,15,0.0374,79.62,383.62,12254.74,119.85,58.67,11.7,15,15,13,15,7,119,126,2384.5694,27873.1875,11.689,19818.2,32609.68,32851.72,2789.78,34198.21,2925.68,2183.9174,692.2508,2052.0088,8.1847,0.0031,1774.5213,379.3897,1108.8673,7.7239,0.0006,2,0,0,0,,,blocking,109054,9068,0.7163848949281088,0e7adff0f059d8b5418a627a94c8fbaf4287fdeebc12e9c0ef0f8260bf4adfcb,"[""legacy_25k"", ""full"", ""minimum"", 3700]"
legacy_25k,full,minimum,3800,28900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,323590.0,1500.0,325090.0,346500.0,16267.35,112,5,142,270,121,8910.0,14000.0,22910.0,20600.0,345690.0,0,15,0,23.5,0,100,21,11614.49,81,0,2026-06-25T23:30:00,15,107,92,15,0.0374,79.62,383.62,12242.29,119.85,55.67,11.71,15,15,13,15,7,119,126,2384.5694,27885.6389,11.6942,19805.75,33233.61,33475.65,2841.89,34821.62,2977.68,2186.9817,701.2735,2076.0861,8.179,0.003,1777.5856,387.4629,1130.0981,7.7176,0.0005,2,0,0,0,,,blocking,109104,9085,0.7177279191025439,ae80f186881da44e3f1e86f09f5ffad2dd3736e43c9fae65c6fac4c719eb1de0,"[""legacy_25k"", ""full"", ""minimum"", 3800]"
legacy_25k,full,minimum,3900,29000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,318184.0,3000.0,321184.0,341000.0,19525.7,116,6,142,252,103,8316.0,14500.0,22816.0,20600.0,341784.0,0,10,0,23.5,0,103,20,11801.57,84,0,2026-06-25T23:30:00,14,110,96,14,0.0364,79.62,346.31,12018.64,116.27,55.67,11.8,15,15,13,10,11,109,114,2384.5694,28109.284,11.788,19582.1,33588.36,33834.83,2849.37,35259.23,2991.11,2184.9817,794.5655,2407.9273,9.0525,0.0,1777.5856,525.4499,1512.8145,8.3868,0.0,2,1,0,0,,,blocking,110015,9085,0.7177279191025439,2c077e5ab168d1b65f72878562bb12b81df182e17fd92c83dd96410fe5a5fb0b,"[""legacy_25k"", ""full"", ""minimum"", 3900]"
legacy_25k,full,minimum,4000,29100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,325441.0,3000.0,328441.0,347500.0,19525.7,111,6,133,248,108,8184.0,13875.0,22059.0,20600.0,349041.0,0,5,0,23.5,0,98,20,12556.32,79,0,2026-06-25T23:30:00,13,105,91,14,0.0381,78.22,360.1,11723.49,116.27,55.67,11.92,15,15,13,5,12,138,142,2384.5694,28404.4359,11.9118,19286.95,35105.37,35340.96,2947.12,36627.12,3074.87,2185.1308,809.2517,2479.6908,8.1385,0.0,1777.7347,548.2131,1508.1618,7.5643,0.0,2,0,0,0,,,blocking,111194,9086,0.7178069205245694,1e07182a7659d3b25a13960e69a4478fdad5786090ddece6840d55ae91c9aaf8,"[""legacy_25k"", ""full"", ""minimum"", 4000]"
legacy_25k,full,minimum,4100,29200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,313802.0,3000.0,316802.0,336500.0,19525.7,114,6,138,256,111,8448.0,14250.0,22698.0,20600.0,337402.0,0,9,0,23.5,0,101,20,11787.23,82,0,2026-06-25T23:30:00,14,108,94,14,0.037,78.22,389.31,12447.74,116.12,55.67,11.62,15,15,13,9,10,146,149,2384.5694,27680.1847,11.608,20011.2,34535.9,34766.5,2975.17,36093.38,3109.34,2185.1308,835.385,2536.9157,8.9956,0.0,1777.7347,552.6207,1584.4535,8.3525,0.0,2,1,0,0,,,blocking,108312,9090,0.7181229262126718,56382961b012398bdfec311e77bf6119f126356e9857bd8607e504b6d05ea62a,"[""legacy_25k"", ""full"", ""minimum"", 4100]"
legacy_25k,full,minimum,4200,29300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,304156.0,1500.0,305656.0,327000.0,13428.3,112,3,140,268,121,8844.0,14000.0,22844.0,20600.0,326256.0,0,9,0,23.5,0,102,20,11366.13,83,0,2026-06-25T23:30:00,16,109,92,17,0.0367,79.62,401.23,12976.38,116.12,55.67,11.4,15,15,13,9,10,150,153,2384.5694,27151.5433,11.3864,20539.85,34383.68,34628.83,3019.73,36021.5,3163.57,2188.2924,826.5677,2440.9697,8.2612,0.0,1778.2106,482.9076,1378.4688,7.7049,0.0,2,1,0,0,,,blocking,106185,9087,0.7178859219465951,0e99dd33f905b63b42dd325462dd08e4ab410d4eb7a81509825ffa3fc6f49111,"[""legacy_25k"", ""full"", ""minimum"", 4200]"
legacy_25k,full,minimum,4300,29400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,283906.0,1500.0,285406.0,307500.0,13428.3,118,3,147,268,114,8844.0,14750.0,23594.0,20600.0,306006.0,0,13,0,23.5,0,108,20,9941.57,89,0,2026-06-25T23:30:00,17,115,98,17,0.0348,81.02,398.31,13891.39,116.12,54.67,11.01,15,15,13,13,7,144,148,2384.5694,26236.5324,11.0026,21454.86,32896.95,33144.21,2989.92,34691.6,3153.03,2174.1921,828.7837,2467.5034,8.2476,0.0,1779.1104,502.7966,1352.255,7.3405,0.0,2,0,0,0,,,blocking,102723,9094,0.7184389319007742,98bbfcc6e78227296334241aa317199eb907d01a9dc50a0ca328247a25a0161a,"[""legacy_25k"", ""full"", ""minimum"", 4300]"
legacy_25k,full,minimum,4400,29500.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,249996.0,1500.0,251496.0,275000.0,13428.3,124,3,164,288,117,9504.0,15500.0,25004.0,20600.0,272096.0,0,22,0,23.5,0,114,20,8796.62,95,0,2026-06-25T23:30:00,16,121,104,17,0.0331,83.04,389.31,14819.35,115.96,51.67,10.63,15,15,13,22,9,128,139,2384.5694,25308.5775,10.6135,22382.81,31332.35,31590.24,2952.13,33215.27,3129.54,2106.8132,999.9601,3133.6595,8.6705,0.0,1539.9785,785.608,2279.6217,8.5836,0.0,2,0,0,0,,,blocking,99280,9096,0.7185969347448254,4af1e71277c0b8863fa410f57d4a0f4a1f77c5057263e37d34ad2ec1996324d8,"[""legacy_25k"", ""full"", ""minimum"", 4400]"
legacy_25k,full,minimum,4500,29600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,272022.0,1500.0,273522.0,296000.0,13428.3,115,3,156,291,128,9603.0,14375.0,23978.0,20600.0,294122.0,0,21,0,23.5,0,105,20,9923.38,86,0,2026-06-25T23:30:00,14,112,95,17,0.0357,81.02,408.31,14381.82,115.06,51.67,10.81,15,15,13,21,11,149,162,2384.5694,25746.1067,10.797,21945.28,33318.69,33561.13,3085.93,34975.42,3239.38,2067.8132,927.1952,2843.0111,7.7241,0.0,1504.2502,678.2737,1920.0741,7.5091,0.0,2,0,0,0,,,blocking,100876,9095,0.7185179333227998,4d3871788e503e41dddd3a473883ec1afa236b5ba512b9b5f507acab5756e0ec,"[""legacy_25k"", ""full"", ""minimum"", 4500]"
legacy_25k,full,minimum,5000,30100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,260878.0,3000.0,263878.0,284500.0,22525.7,114,6,154,284,123,9372.0,14250.0,23622.0,20600.0,284478.0,0,22,0,23.5,0,101,20,9984.67,82,0,2026-06-25T23:30:00,14,108,94,14,0.037,79.93,423.44,14256.62,112.12,50.67,10.86,15,15,13,22,13,156,169,2384.5694,25871.3063,10.8495,21820.08,36161.5,36398.21,3333.02,37779.38,3482.14,2067.7514,1006.1028,3101.4058,7.7981,0.0,1506.8741,791.8248,2231.605,7.6123,0.0,2,0,0,0,,,blocking,101263,9102,0.719070943276979,9b78b9ae62194f464e27a698881e504547013f1e67761b2343e27f33f7edb69c,"[""legacy_25k"", ""full"", ""minimum"", 5000]"
