product,window,withdrawal,best_ongoing_headroom,best_ongoing,best_ongoing_alive,best_ongoing_deaths,best_total_headroom,best_total,aged_pa_survival_boundary,mature_pa_days_at_boundary,all_deaths_at_boundary,reserves_within_one_pct_best_ongoing
legacy_25k,full,minimum,3500,329932.0,5,108,3600,331847.0,6400,9151.93,83,"[3000, 3500, 3600]"
legacy_25k,full,maximum,4000,319487.3,3,105,6200,334827.75,6200,9943.93,84,"[4000, 4100]"
legacy_25k,start_2021,minimum,3000,406786.0,5,67,3000,406786.0,6400,16691.93,44,"[3000, 3100]"
legacy_25k,start_2021,maximum,4000,368788.35,3,72,8000,441777.61,6100,16691.93,44,"[4000, 4100]"
legacy_25k,start_2022,minimum,3000,382882.0,5,44,3000,382882.0,6400,16121.93,18,"[3000, 3100]"
legacy_25k,start_2022,maximum,4000,358323.8,3,44,6100,457597.29,6100,16121.93,18,"[4000, 4100]"
legacy_25k,start_2023,minimum,3000,320129.0,6,34,3000,320129.0,6400,11091.93,9,"[3000, 3100]"
legacy_25k,start_2023,maximum,4000,298136.95,6,36,6200,397257.55,6200,11091.93,9,[4000]
legacy_25k,start_2024,minimum,3400,151129.0,8,32,3400,151129.0,6400,4733.44,15,"[3400, 3500]"
legacy_25k,start_2024,maximum,4000,151264.4,5,35,6500,203795.69,6200,4541.65,20,[4000]
legacy_25k,two_years_2020,minimum,0,2191.0,2,52,0,2191.0,,,,"[0, 1000]"
legacy_25k,two_years_2020,maximum,0,3391.75,2,52,0,3391.75,,,,"[0, 1000]"
legacy_25k,two_years_2022,minimum,2000,64131.0,20,13,2000,65514.7,2000,1333.64,13,[2000]
legacy_25k,two_years_2022,maximum,2000,71476.15,20,13,2000,77892.73,2000,1333.64,13,[2000]
legacy_25k,two_years_2024,minimum,3600,47405.0,9,32,6700,92555.67,6300,1486.83,23,[3600]
legacy_25k,two_years_2024,maximum,0,66187.9,5,47,6700,73279.91,6200,1320.88,25,"[0, 1000]"
legacy_50k,full,minimum,3000,440140.0,16,68,3000,440140.0,,,,[3000]
legacy_50k,full,maximum,1000,337153.1,6,144,6400,339294.29,,,,"[0, 1000]"
legacy_50k,start_2021,minimum,3000,438530.0,16,46,3000,438530.0,6200,21543.93,19,[3000]
legacy_50k,start_2021,maximum,4000,412220.75,14,41,6100,503004.36,6100,21543.93,19,"[4000, 4100]"
legacy_50k,start_2022,minimum,3000,385560.0,16,32,3000,385560.0,6200,16083.93,6,"[3000, 3100, 3200, 3300, 3400]"
legacy_50k,start_2022,maximum,4000,362718.3,14,28,6100,454698.48,6100,16083.93,6,"[4000, 4100]"
legacy_50k,start_2023,minimum,3000,325810.0,16,26,3000,325810.0,6400,10745.93,0,"[3000, 3100, 3200]"
legacy_50k,start_2023,maximum,4000,303053.7,14,22,6100,395790.5,6100,10745.93,0,"[4000, 4100]"
legacy_50k,start_2024,minimum,3400,155040.0,16,28,3400,155040.0,6400,4729.55,13,"[3400, 3500]"
legacy_50k,start_2024,maximum,4000,152178.6,16,29,6200,199656.39,6200,4729.55,13,[4000]
legacy_50k,two_years_2020,minimum,0,18260.0,1,39,0,18260.0,,,,"[0, 1000, 2000]"
legacy_50k,two_years_2020,maximum,0,19345.15,1,39,0,19345.15,,,,"[0, 1000, 2000]"
legacy_50k,two_years_2022,minimum,0,64900.0,20,0,3200,76226.22,0,1263.79,0,"[0, 1000, 2000]"
legacy_50k,two_years_2022,maximum,2000,73120.95,20,0,3200,78257.33,2000,1263.79,0,[2000]
legacy_50k,two_years_2024,minimum,3400,58510.0,17,29,6700,90682.32,6200,1729.83,22,"[3400, 3500]"
legacy_50k,two_years_2024,maximum,2000,82959.55,5,48,2000,82959.55,6200,1729.83,22,[2000]
