product,window,headroom,minimum_ongoing,maximum_ongoing,minimum_minus_maximum_ongoing,minimum_total,maximum_total,minimum_minus_maximum_total,minimum_terminal,maximum_terminal,minimum_minus_maximum_terminal,minimum_deaths,maximum_deaths,minimum_minus_maximum_deaths,minimum_alive,maximum_alive,minimum_minus_maximum_alive,minimum_unfilled_account_days,maximum_unfilled_account_days,minimum_minus_maximum_unfilled_account_days,minimum_average_retained_profit_per_live_pa,maximum_average_retained_profit_per_live_pa,minimum_minus_maximum_average_retained_profit_per_live_pa,minimum_average_retained_profit_book,maximum_average_retained_profit_book,minimum_minus_maximum_average_retained_profit_book,minimum_frozen_mean_balance_std_usd,maximum_frozen_mean_balance_std_usd,minimum_minus_maximum_frozen_mean_balance_std_usd,minimum_largest_simultaneous_deaths,maximum_largest_simultaneous_deaths,minimum_minus_maximum_largest_simultaneous_deaths
legacy_25k,full,0,157924.0,189770.1,-31846.1,157924.0,189770.1,-31846.1,0,0,0,197,213,-16,15,4,11,17262.35,18337.21,-1074.86,1072.2,859.62,212.58,9790.29,7260.6,2529.69,556.7096,449.2481,107.4615,12,13,-1
legacy_25k,full,1000,157924.0,180276.2,-22352.2,157924.0,180276.2,-22352.2,0,0,0,197,211,-14,15,4,11,17262.35,18326.54,-1064.19,1072.2,860.11,212.09,9790.29,7268.56,2521.73,556.7096,446.2147,110.4949,12,14,-2
legacy_25k,full,2000,303039.0,245867.65,57171.35,303039.0,245867.65,57171.35,0,0,0,121,160,-39,15,0,15,10091.16,12572.04,-2480.88,1766.72,1413.15,353.57,21862.2,16016.75,5845.45,430.1738,430.3165,-0.1427,11,18,-7
legacy_25k,full,3000,327359.0,217073.45,110285.55,327359.0,229073.45,98285.55,0,12000.0,-12000.0,107,145,-38,5,12,-7,12796.72,16039.39,-3242.67,2382.46,1677.42,705.04,26633.66,16470.86,10162.8,343.2878,314.4148,28.873,15,20,-5
legacy_25k,full,3100,319812.0,216583.4,103228.6,319812.0,228583.4,91228.6,0,12000.0,-12000.0,109,143,-34,5,14,-9,13208.28,16044.71,-2836.43,2441.61,1753.57,688.04,26885.74,17214.68,9671.06,319.4161,288.1465,31.2696,17,20,-3
legacy_25k,full,3200,317576.0,203535.0,114041.0,317576.0,214035.0,103541.0,0,10500.0,-10500.0,109,140,-31,5,14,-9,12938.16,15677.64,-2739.48,2464.4,1788.32,676.08,27415.89,17840.13,9575.76,327.7189,476.7931,-149.0742,16,20,-4
legacy_25k,full,3300,261541.0,141353.55,120187.45,261541.0,154180.15,107360.85,0,12826.6,-12826.6,119,148,-29,6,14,-8,14889.22,18118.49,-3229.27,2483.8,1664.54,819.26,25276.48,14682.31,10594.17,694.9546,707.7129,-12.7583,16,20,-4
legacy_25k,full,3400,240093.0,217086.85,23006.15,240093.0,224113.45,15979.55,0,7026.6,-7026.6,121,135,-14,6,14,-8,15399.84,14383.16,1016.68,2567.12,1988.64,578.48,25434.78,21470.14,3964.64,780.672,528.64,252.032,17,20,-3
legacy_25k,full,3500,329932.0,210746.25,119185.75,331432.0,223488.65,107943.35,1500.0,12742.4,-11242.4,108,136,-28,5,14,-9,12318.77,15089.31,-2770.54,2686.65,1999.38,687.27,31332.01,20994.03,10337.98,360.808,523.7834,-162.9754,15,20,-5
legacy_25k,full,3600,328847.0,210467.45,118379.55,331847.0,225247.25,106599.75,3000.0,14779.8,-11779.8,108,138,-30,7,15,-8,12117.18,15626.63,-3509.45,2745.82,2018.92,726.9,32254.21,20744.27,11509.94,378.0279,524.7148,-146.6869,15,20,-5
