accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,R,initial_seats,max_live_accounts,arm,procurement,withdrawal,initial_seat_funding_usd,additional_external_funding_usd,total_owner_funding_usd,shortfall_seats,demand_sha256,requested_copies
32,20,12,20,False,50632,6400.0,101600.0,6934.16,108534.16,2020_R4_minimum_daily_31900,2020,4,20,20,max_headroom,fixed_pool,minimum_daily_31900,4000.0,2400.0,6400.0,12,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
68,16,52,20,False,50632,13600.0,86400.0,52058.48,138458.48,2020_R4_minimum_daily_31900,2020,4,20,20,round_robin,fixed_pool,minimum_daily_31900,4000.0,4800.0,8800.0,48,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
32,20,12,20,False,50632,6400.0,113160.6,20148.4,133309.0,2020_R4_maximum_weekly_31600,2020,4,20,20,max_headroom,fixed_pool,maximum_weekly_31600,4000.0,2400.0,6400.0,12,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
68,16,52,20,False,50632,13600.0,94250.4,42386.32,136636.72,2020_R4_maximum_weekly_31600,2020,4,20,20,round_robin,fixed_pool,maximum_weekly_31600,4000.0,4800.0,8800.0,48,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
32,20,12,20,False,50632,6400.0,79600.0,57595.72,137195.72,2020_R4_minimum_calendar_month_30000,2020,4,20,20,max_headroom,fixed_pool,minimum_calendar_month_30000,4000.0,1600.0,5600.0,12,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
68,16,52,20,False,50632,13600.0,96400.0,33993.12,130393.12,2020_R4_minimum_calendar_month_30000,2020,4,20,20,round_robin,fixed_pool,minimum_calendar_month_30000,4000.0,4800.0,8800.0,48,28bfdccac1c7c65f569a6c424e95f2a346fd34005bf19ea8a787410fa36b6e85,50632
5,5,0,5,False,6932,1000.0,17000.0,0.0,17000.0,2023_R1_minimum_daily_31900,2023,1,5,20,max_headroom,fixed_pool,minimum_daily_31900,1000.0,0.0,1000.0,0,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
8,3,5,5,False,6932,1600.0,10400.0,6997.74,17397.74,2023_R1_minimum_daily_31900,2023,1,5,20,round_robin,fixed_pool,minimum_daily_31900,1000.0,200.0,1200.0,3,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
5,5,0,5,False,6932,1000.0,18754.1,5363.29,24117.39,2023_R1_maximum_weekly_31600,2023,1,5,20,max_headroom,fixed_pool,maximum_weekly_31600,1000.0,0.0,1000.0,0,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
8,3,5,5,False,6932,1600.0,10690.4,13456.78,24147.18,2023_R1_maximum_weekly_31600,2023,1,5,20,round_robin,fixed_pool,maximum_weekly_31600,1000.0,200.0,1200.0,3,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
5,5,0,5,False,6932,1000.0,12000.0,11197.69,23197.69,2023_R1_minimum_calendar_month_30000,2023,1,5,20,max_headroom,fixed_pool,minimum_calendar_month_30000,1000.0,0.0,1000.0,0,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
8,3,5,5,False,6932,1600.0,11900.0,1500.0,13400.0,2023_R1_minimum_calendar_month_30000,2023,1,5,20,round_robin,fixed_pool,minimum_calendar_month_30000,1000.0,200.0,1200.0,3,eabdf63d58388cf10d70c96a96a6bd969de514095eaf6537f343d8e7d12cfd95,6932
10,10,0,10,False,13864,2000.0,34000.0,0.0,34000.0,2023_R2_minimum_daily_31900,2023,2,10,20,max_headroom,fixed_pool,minimum_daily_31900,2000.0,0.0,2000.0,0,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
16,6,10,10,False,13864,3200.0,20800.0,13995.48,34795.48,2023_R2_minimum_daily_31900,2023,2,10,20,round_robin,fixed_pool,minimum_daily_31900,2000.0,400.0,2400.0,6,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
10,10,0,10,False,13864,2000.0,37508.2,10726.58,48234.78,2023_R2_maximum_weekly_31600,2023,2,10,20,max_headroom,fixed_pool,maximum_weekly_31600,2000.0,0.0,2000.0,0,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
16,6,10,10,False,13864,3200.0,21380.8,26913.56,48294.36,2023_R2_maximum_weekly_31600,2023,2,10,20,round_robin,fixed_pool,maximum_weekly_31600,2000.0,400.0,2400.0,6,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
10,10,0,10,False,13864,2000.0,24000.0,22395.38,46395.38,2023_R2_minimum_calendar_month_30000,2023,2,10,20,max_headroom,fixed_pool,minimum_calendar_month_30000,2000.0,0.0,2000.0,0,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
16,6,10,10,False,13864,3200.0,23800.0,3000.0,26800.0,2023_R2_minimum_calendar_month_30000,2023,2,10,20,round_robin,fixed_pool,minimum_calendar_month_30000,2000.0,400.0,2400.0,6,e6ab8d821fa0bc8d58331f36dd8588f0e7c0a7e7543ba93b7a32ea798fbf12c1,13864
15,15,0,15,False,20796,3000.0,51000.0,0.0,51000.0,2023_R3_minimum_daily_31900,2023,3,15,20,max_headroom,fixed_pool,minimum_daily_31900,3000.0,0.0,3000.0,0,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
24,9,15,15,False,20796,4800.0,31200.0,20993.22,52193.22,2023_R3_minimum_daily_31900,2023,3,15,20,round_robin,fixed_pool,minimum_daily_31900,3000.0,600.0,3600.0,9,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
15,15,0,15,False,20796,3000.0,56262.3,16089.87,72352.17,2023_R3_maximum_weekly_31600,2023,3,15,20,max_headroom,fixed_pool,maximum_weekly_31600,3000.0,0.0,3000.0,0,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
24,9,15,15,False,20796,4800.0,32071.2,40370.34,72441.54,2023_R3_maximum_weekly_31600,2023,3,15,20,round_robin,fixed_pool,maximum_weekly_31600,3000.0,600.0,3600.0,9,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
15,15,0,15,False,20796,3000.0,36000.0,33593.07,69593.07,2023_R3_minimum_calendar_month_30000,2023,3,15,20,max_headroom,fixed_pool,minimum_calendar_month_30000,3000.0,0.0,3000.0,0,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
24,9,15,15,False,20796,4800.0,35700.0,4500.0,40200.0,2023_R3_minimum_calendar_month_30000,2023,3,15,20,round_robin,fixed_pool,minimum_calendar_month_30000,3000.0,600.0,3600.0,9,569899b547fe3b92eb62f7301effab0a47d1a2c6539657866c75fbbf401f804a,20796
20,20,0,20,False,27728,4000.0,68000.0,0.0,68000.0,2023_R4_minimum_daily_31900,2023,4,20,20,max_headroom,fixed_pool,minimum_daily_31900,4000.0,0.0,4000.0,0,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
32,12,20,20,False,27728,6400.0,41600.0,27990.96,69590.96,2023_R4_minimum_daily_31900,2023,4,20,20,round_robin,fixed_pool,minimum_daily_31900,4000.0,800.0,4800.0,12,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
20,20,0,20,False,27728,4000.0,75016.4,21453.16,96469.56,2023_R4_maximum_weekly_31600,2023,4,20,20,max_headroom,fixed_pool,maximum_weekly_31600,4000.0,0.0,4000.0,0,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
32,12,20,20,False,27728,6400.0,42761.6,53827.12,96588.72,2023_R4_maximum_weekly_31600,2023,4,20,20,round_robin,fixed_pool,maximum_weekly_31600,4000.0,800.0,4800.0,12,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
20,20,0,20,False,27728,4000.0,48000.0,44790.76,92790.76,2023_R4_minimum_calendar_month_30000,2023,4,20,20,max_headroom,fixed_pool,minimum_calendar_month_30000,4000.0,0.0,4000.0,0,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
32,12,20,20,False,27728,6400.0,47600.0,6000.0,53600.0,2023_R4_minimum_calendar_month_30000,2023,4,20,20,round_robin,fixed_pool,minimum_calendar_month_30000,4000.0,800.0,4800.0,12,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,27728
