product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,execution,copies,signals_executed,signal_participation,allocation_sha256
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,1000,26100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,1000,26100.0,200.0,76,3,0,1859,87812.95,1500.0,89312.95,1000.0,90312.95,blocking,33764,8744,0.6907884341918155,5c2757edc9d093e307ba625bead2d5e5f41acb0672fc90b683168f03b2ff9da4
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,1000,26100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,1000,26100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,1500,26600.0,200.0,69,3,0,1682,87347.2,1500.0,88847.2,1000.0,89847.2,blocking,35166,8823,0.6970295465318376,dfd537b296e79eaff4194d66439176ef750f60f6b3284e442f9c7745e9ac70b1
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,1500,26600.0,200.0,10,0,0,2020,-857.45,0,-857.45,1000.0,142.55,blocking,2808,1596,0.12608626955285196,3afb410ae724672d0c432273ffc6521deabc7270271ed4a8e3b20d0a7296731a
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,95,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,1500,26600.0,200.0,69,3,0,1682,87347.2,1500.0,88847.2,1000.0,89847.2,blocking,35166,8823,0.6970295465318376,dfd537b296e79eaff4194d66439176ef750f60f6b3284e442f9c7745e9ac70b1
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,1500,26600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,1500,26600.0,200.0,69,3,0,1682,87347.2,1500.0,88847.2,1000.0,89847.2,blocking,35166,8823,0.6970295465318376,dfd537b296e79eaff4194d66439176ef750f60f6b3284e442f9c7745e9ac70b1
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,1500,26600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,2000,27100.0,200.0,8,0,0,2053,-957.45,0,-957.45,1000.0,42.55,blocking,4301,1951,0.1541317743719387,6697c57efb479a45855ea5ba70c399aeb5ae7724bbcd0205edc7ca36ad8b4ee8
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,2000,27100.0,200.0,8,0,0,2023,-957.45,0,-957.45,1000.0,42.55,blocking,2953,1910,0.15089271606888924,b5e791231bd9ffde909ab9784c2896a5c2e07595d27d6c75286c76514fcaffd0
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,2000,27100.0,200.0,5,0,0,95,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,2000,27100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264
