initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,spares,passes,total_25k,total_50k,total_delta_50k_minus_25k,accounts_25k,accounts_50k
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,1,80304.5,-857.45,-81161.95,76,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,2,-957.45,-857.45,100.0,13,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,3,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,1,80304.5,-857.45,-81161.95,76,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,2,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,3,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,1,80304.5,-857.45,-81161.95,76,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,2,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,3,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,0,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,0,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,5,3,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,5,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,5,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,10,3,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,10,5,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,10,10,-1000.0,-857.45,142.55,5,6
1000,0,monthly_current_slot_replacements,maximum,calendar_month,200,0,5,-1000.0,-857.45,142.55,5,6
