product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,execution,copies,signals_executed,signal_participation,allocation_sha256,objective,tested_count,tied_best,boundary_best
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,0,25100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264,total,74,74,True
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264,ongoing,74,74,True
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264,total,74,74,True
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264,ongoing,74,74,True
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,505,290,0.022910412387422974,21b9a5ca1d658036fdbcd9f69168628e185d0fb33df7655b21d300b13916c264,total,74,74,True
legacy_25k,1000,0,monthly_one,0,1,minimum,weekly,1900,27000.0,200.0,68,3,0,0,200400.0,0,200400.0,1000.0,201400.0,blocking,59766,8983,0.709669774055933,0f9d4e159b4d71c2d66a61b6f769c75a4f8e170a028a86ead4e2b148658f0bbb,ongoing,82,1,False
legacy_25k,1000,0,monthly_one,0,1,minimum,weekly,1900,27000.0,200.0,68,3,0,0,200400.0,0,200400.0,1000.0,201400.0,blocking,59766,8983,0.709669774055933,0f9d4e159b4d71c2d66a61b6f769c75a4f8e170a028a86ead4e2b148658f0bbb,total,82,1,False
legacy_25k,1000,0,weekly_one,0,1,minimum,weekly,1800,26900.0,200.0,72,4,0,236,193100.0,0,193100.0,1000.0,194100.0,blocking,58481,9030,0.713382840891136,2274f510e7dde203d79dab183fc6f0bd32aa035f5e5537f2c8127277345b10b9,ongoing,86,1,False
legacy_25k,1000,0,weekly_one,0,1,minimum,weekly,1800,26900.0,200.0,72,4,0,236,193100.0,0,193100.0,1000.0,194100.0,blocking,58481,9030,0.713382840891136,2274f510e7dde203d79dab183fc6f0bd32aa035f5e5537f2c8127277345b10b9,total,86,1,False
legacy_25k,1000,0,weekly_one,0,2,maximum,calendar_month,0,25100.0,200.0,5,0,0,4,-1000.0,0,-1000.0,1000.0,0.0,blocking,854,274,0.02164638963501343,6c4712576d96850413cf801a882260e361428687b7efa726908c9076cc9a75a6,ongoing,70,70,True
legacy_25k,1000,0,weekly_one,0,2,maximum,calendar_month,0,25100.0,200.0,5,0,0,4,-1000.0,0,-1000.0,1000.0,0.0,blocking,854,274,0.02164638963501343,6c4712576d96850413cf801a882260e361428687b7efa726908c9076cc9a75a6,total,70,70,True
legacy_25k,1000,0,weekly_one,0,3,maximum,calendar_month,0,25100.0,200.0,5,0,0,1,-1000.0,0,-1000.0,1000.0,0.0,blocking,1017,272,0.02148838679096224,9cf58d7bfd85f99573548be199455d31bd34e0b1d148143097ae3dc24ed48522,ongoing,70,70,True
legacy_25k,1000,0,weekly_one,0,3,maximum,calendar_month,0,25100.0,200.0,5,0,0,1,-1000.0,0,-1000.0,1000.0,0.0,blocking,1017,272,0.02148838679096224,9cf58d7bfd85f99573548be199455d31bd34e0b1d148143097ae3dc24ed48522,total,70,70,True
legacy_25k,1000,0,weekly_one,0,5,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,1074,272,0.02148838679096224,99683dce8120a5379daeeedca2963835de2e32e7ba6d29a6a8538c285760cbe2,ongoing,70,70,True
legacy_25k,1000,0,weekly_one,0,5,maximum,calendar_month,0,25100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0,blocking,1074,272,0.02148838679096224,99683dce8120a5379daeeedca2963835de2e32e7ba6d29a6a8538c285760cbe2,total,70,70,True
legacy_25k,1000,200,monthly_current_slot_replacements,0,1,maximum,weekly,4000,29100.0,200.0,75,3,0,1547,236717.35,3000.0,239717.35,16600.0,256317.35,blocking,79831,9207,0.7273660925896667,b85a31ded0bae859bd714003294b7778f00361e89b69089957b22d42de1f8f99,ongoing,90,1,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,1,minimum,calendar_month,3600,28700.0,200.0,75,19,0,1547,172000.0,144542.87,316542.87,16600.0,333142.87,blocking,87204,9253,0.731000158002844,b16b10d09128a3d302e021c597e01c9585a61847a344231c9a47e11eff8cd2df,total,90,2,False
legacy_25k,1000,200,monthly_current_slot_replacements,0,2,minimum,weekly,2100,27200.0,200.0,98,6,0,1043,378400.0,0,378400.0,16600.0,395000.0,blocking,106014,9026,0.7130668352030336,aae3fc14829cf79af2c38d229b4fe50afc954511477325555a5c1948d6f11a64,ongoing,90,1,False
