product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,2,False,193154.15,193154.15,0,209,10,209,218,377,12441.0,26125.0,38566.0,213754.15,20600.0,0,5,199,189,10,0.1156,59.07,144.62,11876.63,17.92,330.67,9.14,5,5,15,0,0,0,0,blocking,85927,8038,0.6350134302417444,f7a32e1a44bb63d9a8611bd1b83ad1cfcdeed46c1414949e8a6a7f7f66048b68,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 2, false]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,2,True,172240.35,172240.35,0,205,10,205,214,364,12012.0,25625.0,37637.0,192840.35,20600.0,0,5,195,185,10,0.0462,64.37,181.62,12494.44,17.92,401.67,8.88,5,5,15,0,0,0,0,blocking,83561,7751,0.6123400221203982,884f7ef9527b49c237ad6f1515f283294ecc5da7a4cda6fa72acb34aef1582f0,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 2, true]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,5,False,217272.85,217272.85,0,218,10,218,223,425,14025.0,27250.0,41275.0,237872.85,20600.0,0,5,208,198,10,0.2596,51.07,181.62,11368.73,25.96,329.67,9.88,5,5,15,0,0,0,0,blocking,92684,8026,0.6340654131774371,99ff7800e0d7d6b09660e127facda09c7100b811b5a680f54a3dd1f582736bc6,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 5, false]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,5,True,164806.75,164806.75,0,213,10,213,218,402,13266.0,26625.0,39891.0,185406.75,20600.0,0,5,203,193,10,0.1034,64.37,186.62,12979.92,17.92,448.67,9.2,5,5,15,0,0,0,0,blocking,86522,7567,0.5978037604676885,14bd6d9341c83258c0d14807781fa81464f67ddecca5f733be6929d24c453677,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 5, true]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,10,False,262917.3,262917.3,0,241,10,241,246,481,15873.0,30125.0,45998.0,283517.3,20600.0,0,5,231,221,10,0.4113,32.15,113.05,8529.93,25.96,247.67,10.84,5,10,15,0,0,0,0,blocking,101450,8332,0.6582398483172697,5cdbb8bf83dae86e90fc74c32839dcadc752b5219db31c7e055a7d1a8fe1cd9f,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 10, false]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,5,10,True,165154.9,165154.9,0,221,10,221,226,419,13827.0,27625.0,41452.0,185754.9,20600.0,0,5,211,201,10,0.1517,52.05,144.62,12011.44,17.92,366.67,9.38,5,5,15,0,0,0,0,blocking,88098,7873,0.621978195607521,181c81a8287730ac69881a7501b861c959eb794be05f165370902d9d960f4471,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 5, 10, true]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,10,0,False,190648.6,190648.6,0,123,12,123,147,274,9042.0,15375.0,24417.0,211248.6,20600.0,0,5,111,107,4,0.027,33.21,103.62,5094.25,116.27,368.67,7.03,10,10,14,0,0,0,0,blocking,65773,7863,0.621188181387265,18e10cf1a4a657b7ceacaa8f2b19d7a6f58d4fd5a3bcf27244759809894a5a60,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 10, 0, false]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,10,0,True,190648.6,190648.6,0,123,12,123,147,274,9042.0,15375.0,24417.0,211248.6,20600.0,0,5,111,107,4,0.027,33.21,103.62,5094.25,116.27,368.67,7.03,10,10,14,0,0,0,0,blocking,65773,7863,0.621188181387265,18e10cf1a4a657b7ceacaa8f2b19d7a6f58d4fd5a3bcf27244759809894a5a60,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 10, 0, true]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,10,2,False,264856.0,264856.0,0,223,10,223,241,452,14916.0,27875.0,42791.0,285456.0,20600.0,0,10,213,203,10,0.1033,42.2,133.39,9650.36,17.92,212.67,11.19,10,10,20,0,0,0,0,blocking,104978,8448,0.6674040132722389,958efc8da79f8f7d6dadbb3e20c4b4a357c9698246854420bf09353c00843e35,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 10, 2, false]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,10,2,True,249846.8,249846.8,0,219,10,219,237,445,14685.0,27375.0,42060.0,270446.8,20600.0,0,10,209,199,10,0.0574,45.05,144.62,10081.09,17.92,334.67,11.0,10,10,20,0,0,0,0,blocking,103356,7973,0.6298783378100806,7a911835802b773fd750ee346e647a109f3cf5a062095b3871f680add621e6d9,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 10, 2, true]"
legacy_25k,5000,200,maximum,weekly,0,25100.0,False,0,10,5,False,306860.0,306860.0,0,244,10,244,257,502,16566.0,30500.0,47066.0,327460.0,20600.0,0,10,234,224,10,0.2308,41.52,111.05,9456.32,17.92,244.67,12.23,10,10,23,0,0,0,0,blocking,114525,8323,0.6575288355190393,230cf86225e5e160145df1c82c33cc3b33af92f2ee93e07345ff791edb23768d,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 0, false, 0, 10, 5, false]"
