product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job,objective
legacy_50k,5000,200,minimum,calendar_month,100,50200.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 100, true, 1, 20, 2, true]",total
legacy_50k,5000,200,minimum,calendar_month,200,50300.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 200, true, 1, 20, 2, true]",total
legacy_50k,5000,200,minimum,calendar_month,300,50400.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 300, true, 1, 20, 2, true]",total
legacy_50k,5000,200,minimum,calendar_month,400,50500.0,True,1,20,2,True,518683.09,345090.0,173593.09,66,20,66,66,154,6160.0,8250.0,14410.0,539283.09,20600.0,0,0,46,46,0,0.0,33.49,125.02,2265.2,0,102.67,16.41,20,20,17,0,0,0,0,blocking,152632,8879,0.701453626165271,5bc890075df7be1c8362f26b09f934fa387687fe180442a6f6245cb9b50f3473,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 400, true, 1, 20, 2, true]",total
legacy_50k,5000,200,minimum,weekly,0,50100.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 0, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,500,50600.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 500, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,1000,51100.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 1000, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,2000,52100.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 2000, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,100,50200.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 100, true, 1, 20, 2, true]",ongoing
legacy_50k,5000,200,minimum,weekly,200,50300.0,True,1,20,2,True,469400.0,469400.0,0,88,16,88,92,215,8600.0,11000.0,19600.0,490000.0,20600.0,0,4,72,68,4,0.0,50.56,125.02,3791.76,115.06,117.67,15.8,20,20,18,0,0,0,0,blocking,146788,8825,0.6971875493758888,89ba462c10cbed2e98cabaa8ab4f8684c67c983423b0c13a9f9f89ca55935d32,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 200, true, 1, 20, 2, true]",ongoing
