accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd,previous_accounts,previous_total_net_usd,delta_vs_previous_routed_usd,procurement,shortfall_seats
76,38,38,48,True,43639,15200.0,300.0,30914.54,31214.54,2023_1000_0_monthly_one_minimum_daily_31900,2023,1000,0,monthly_one,minimum_daily_31900,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,round_robin,76,8600.0,8800.0,-87100.0,-97999.94,165,14197.4,17017.14,reuse,76
33,10,23,12,False,43639,6600.0,91356.2,34617.19,125973.39,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,reference,0,0,0,0,0,33,125973.39,0.0,,
87,30,57,48,True,43639,17400.0,90975.6,40535.33,131510.93,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,max_headroom,87,10800.0,3000.0,-380.6,5537.54,165,90723.47,40787.46,reuse,87
76,38,38,48,True,43639,15200.0,9988.2,21000.0,30988.2,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,round_robin,76,8600.0,8250.95,-81368.0,-94985.19,165,12588.9,18399.3,reuse,76
34,10,24,12,False,43888,6800.0,64200.0,64814.48,129014.48,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,reference,0,0,0,0,0,34,129014.48,0.0,,
85,30,55,48,True,43888,17000.0,59000.0,74811.47,133811.47,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,max_headroom,85,10200.0,3000.0,-5200.0,4796.99,170,113021.71,20789.76,reuse,85
90,30,60,48,True,43888,18000.0,30500.0,40397.94,70897.94,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,round_robin,90,11200.0,7000.0,-33700.0,-58116.54,170,41866.55,29031.39,reuse,90
36,20,16,20,False,95753,7200.0,233800.0,85032.05,318832.05,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,reference,0,0,0,0,0,36,318832.05,0.0,,
160,60,100,80,True,95753,32000.0,216000.0,8375.29,224375.29,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,max_headroom,160,24800.0,5800.0,-17800.0,-94456.76,180,212487.03,11888.26,reuse,160
134,71,63,80,True,95753,26800.0,27700.0,73006.35,100706.35,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,round_robin,134,19600.0,19800.0,-206100.0,-218125.7,182,88655.55,12050.8,reuse,134
32,20,12,20,False,95983,6400.0,246778.65,94706.36,341485.01,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,reference,0,0,0,0,0,32,341485.01,0.0,,
160,60,100,80,True,95983,32000.0,240284.95,83992.29,324277.24,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,max_headroom,160,25600.0,5269.65,-6493.7,-17207.77,160,287206.96,37070.28,reuse,160
139,68,71,80,True,95983,27800.0,50658.75,52500.0,103158.75,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,round_robin,139,21400.0,19800.0,-196119.9,-238326.26,193,98426.17,4732.58,reuse,139
36,20,16,20,False,96599,7200.0,185300.0,151491.57,336791.57,2023_1000_0_weekly_one_minimum_calendar_month_30000,2023,1000,0,weekly_one,minimum_calendar_month_30000,96599,a7489cb30c386a83ded196f8f68daa620552ccec774c7a5ff6fa5c33f1f1bf0a,reference,0,0,0,0,0,36,336791.57,0.0,,
160,60,100,80,True,96599,32000.0,171500.0,183541.62,355041.62,2023_1000_0_weekly_one_minimum_calendar_month_30000,2023,1000,0,weekly_one,minimum_calendar_month_30000,96599,a7489cb30c386a83ded196f8f68daa620552ccec774c7a5ff6fa5c33f1f1bf0a,max_headroom,160,24800.0,4900.0,-13800.0,18250.05,180,335176.95,19864.67,reuse,160
212,60,152,80,True,96599,42400.0,79600.0,72847.7,152447.7,2023_1000_0_weekly_one_minimum_calendar_month_30000,2023,1000,0,weekly_one,minimum_calendar_month_30000,96599,a7489cb30c386a83ded196f8f68daa620552ccec774c7a5ff6fa5c33f1f1bf0a,round_robin,212,35200.0,16800.0,-105700.0,-184343.87,182,87775.23,64672.47,reuse,212
43,14,29,16,False,66129,8600.0,151400.0,62902.29,214302.29,2023_1000_200_monthly_one_minimum_daily_31900,2023,1000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,214302.29,0.0,,
117,42,75,64,True,66129,23400.0,137600.0,1500.0,139100.0,2023_1000_200_monthly_one_minimum_daily_31900,2023,1000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,max_headroom,117,14800.0,4400.0,-13800.0,-75202.29,215,106500.0,32600.0,reuse,117
144,47,97,64,True,66129,28800.0,68200.0,61497.74,129697.74,2023_1000_200_monthly_one_minimum_daily_31900,2023,1000,200,monthly_one,minimum_daily_31900,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,144,20200.0,10700.0,-83200.0,-84604.55,215,33573.2,96124.54,reuse,144
43,14,29,16,False,66129,8600.0,157479.65,53581.55,211061.2,2023_1000_200_monthly_one_maximum_weekly_31600,2023,1000,200,monthly_one,maximum_weekly_31600,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,reference,0,0,0,0,0,43,211061.2,0.0,,
