accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd,previous_accounts,previous_total_net_usd,delta_vs_previous_routed_usd,procurement,shortfall_seats
154,42,112,64,True,66129,30800.0,93700.0,59236.47,152936.47,2023_5000_200_monthly_one_minimum_calendar_month_30000,2023,5000,200,monthly_one,minimum_calendar_month_30000,66129,e7132f5b3248f414367c77e42102a560670eb8791a750798cc26420e4e9407d4,round_robin,154,22200.0,2300.0,-16700.0,-61365.82,215,34573.2,118363.27,reuse,154
36,20,16,20,False,130190,7200.0,359300.0,106152.56,465452.56,2023_5000_200_weekly_one_minimum_daily_31900,2023,5000,200,weekly_one,minimum_daily_31900,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,reference,0,0,0,0,0,36,465452.56,0.0,,
120,60,60,100,True,130190,24000.0,308000.0,0.0,308000.0,2023_5000_200_weekly_one_minimum_daily_31900,2023,5000,200,weekly_one,minimum_daily_31900,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,max_headroom,120,16800.0,13400.0,-51300.0,-157452.56,180,284000.0,24000.0,reuse,120
108,74,34,100,True,130190,21600.0,99400.0,120731.76,220131.76,2023_5000_200_weekly_one_minimum_daily_31900,2023,5000,200,weekly_one,minimum_daily_31900,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,round_robin,108,14400.0,13400.0,-259900.0,-245320.8,180,144193.15,75938.61,reuse,108
36,20,16,20,False,130190,7200.0,370746.2,94706.36,465452.56,2023_5000_200_weekly_one_maximum_weekly_31600,2023,5000,200,weekly_one,maximum_weekly_31600,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,reference,0,0,0,0,0,36,465452.56,0.0,,
120,60,60,100,True,130190,24000.0,342570.0,87855.81,430425.81,2023_5000_200_weekly_one_maximum_weekly_31600,2023,5000,200,weekly_one,maximum_weekly_31600,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,max_headroom,120,16800.0,13400.0,-28176.2,-35026.75,180,414149.23,16276.58,reuse,120
108,74,34,100,True,130190,21600.0,119013.15,159751.32,278764.47,2023_5000_200_weekly_one_maximum_weekly_31600,2023,5000,200,weekly_one,maximum_weekly_31600,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,round_robin,108,14400.0,13400.0,-251733.05,-186688.09,180,164104.42,114660.05,reuse,108
36,20,16,20,False,130190,7200.0,252800.0,212652.56,465452.56,2023_5000_200_weekly_one_minimum_calendar_month_30000,2023,5000,200,weekly_one,minimum_calendar_month_30000,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,reference,0,0,0,0,0,36,465452.56,0.0,,
100,99,1,100,True,130190,20000.0,227500.0,212787.17,440287.17,2023_5000_200_weekly_one_minimum_calendar_month_30000,2023,5000,200,weekly_one,minimum_calendar_month_30000,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,max_headroom,100,12800.0,13400.0,-25300.0,-25165.39,180,411236.8,29050.37,reuse,100
145,68,77,100,True,130190,29000.0,136000.0,91499.08,227499.08,2023_5000_200_weekly_one_minimum_calendar_month_30000,2023,5000,200,weekly_one,minimum_calendar_month_30000,130190,7dbf687186677a0f7af5c3f92797d737da2f184d3c3eb4dfe4e0c843439d3e69,round_robin,145,21800.0,13400.0,-116800.0,-237953.48,180,174414.4,53084.68,reuse,145
