eval_id,started_at,state,months_paid,resets,generation,equity_usd,peak_usd,floor_usd,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,2,0,1,1611.9,1646.55,146.55,144,2020-02-06 06:30:00,2020-02-07 00:00:00
2,2020-01-08 00:00:00,funded,8,6,7,1579.35,1647.0,147.0,394,2020-08-21 23:30:00,2020-08-22 00:00:00
3,2020-01-15 00:00:00,funded,5,3,4,1567.2,1573.35,73.35,203,2020-05-18 20:30:00,2020-05-19 00:00:00
4,2020-02-01 00:00:00,funded,2,1,2,2148.15,2175.3,675.3,101,2020-03-02 23:00:00,2020-03-03 00:00:00
5,2020-03-01 00:00:00,funded,1,0,1,2148.15,2175.3,675.3,9,2020-03-02 23:00:00,2020-03-03 00:00:00
6,2020-03-13 00:00:00,cancelled,2,1,2,-853.8,594.3,-905.7,38,,2020-05-13 00:00:00
7,2020-03-20 00:00:00,funded,1,0,1,1556.7,1594.35,94.35,2,2020-03-20 09:00:00,2020-03-21 00:00:00
8,2020-03-27 00:00:00,funded,2,1,2,1612.5,1645.65,145.65,80,2020-05-08 08:30:00,2020-05-09 00:00:00
9,2020-04-03 00:00:00,funded,2,1,2,1627.5,1660.65,160.65,42,2020-05-08 08:30:00,2020-05-09 00:00:00
10,2020-05-01 00:00:00,funded,1,0,1,1532.4,1555.05,55.05,24,2020-05-08 04:00:00,2020-05-09 00:00:00
11,2020-06-01 00:00:00,funded,3,2,3,1655.4,1667.55,167.55,135,2020-08-07 11:00:00,2020-08-08 00:00:00
12,2020-07-01 00:00:00,funded,2,1,2,1655.4,1667.55,167.55,87,2020-08-07 11:00:00,2020-08-08 00:00:00
13,2020-08-01 00:00:00,funded,1,0,1,1655.4,1667.55,167.55,24,2020-08-07 11:00:00,2020-08-08 00:00:00
14,2020-09-01 00:00:00,funded,3,2,3,1659.75,1688.4,188.4,56,2020-11-04 05:00:00,2020-11-05 00:00:00
15,2020-10-01 00:00:00,funded,2,1,2,1659.75,1688.4,188.4,31,2020-11-04 05:00:00,2020-11-05 00:00:00
16,2020-10-08 00:00:00,funded,1,0,1,1759.95,1782.6,282.6,17,2020-10-12 19:30:00,2020-10-13 00:00:00
17,2020-10-15 00:00:00,funded,1,0,1,1730.1,1800.75,300.75,36,2020-10-26 16:00:00,2020-10-27 00:00:00
18,2020-10-22 00:00:00,funded,3,1,2,1935.3,1947.45,447.45,189,2021-01-07 17:00:00,2021-01-08 00:00:00
19,2020-10-29 00:00:00,funded,1,0,1,2043.9,2072.55,572.55,24,2020-11-04 05:00:00,2020-11-05 00:00:00
20,2020-12-01 00:00:00,funded,2,0,1,1803.3,1815.45,315.45,138,2021-01-07 17:00:00,2021-01-08 00:00:00
21,2020-12-15 00:00:00,funded,1,0,1,1598.85,1806.0,306.0,81,2021-01-06 18:00:00,2021-01-07 00:00:00
22,2020-12-22 00:00:00,funded,1,0,1,1582.5,1594.65,94.65,60,2021-01-07 17:00:00,2021-01-08 00:00:00
23,2020-12-29 00:00:00,funded,1,0,1,1550.4,1577.55,77.55,44,2021-01-08 16:30:00,2021-01-09 00:00:00
24,2021-01-05 00:00:00,funded,1,0,1,1504.5,1513.65,13.65,20,2021-01-08 02:30:00,2021-01-09 00:00:00
25,2021-01-12 00:00:00,funded,3,2,3,1570.2,1601.85,101.85,64,2021-03-16 16:00:00,2021-03-17 00:00:00
26,2021-02-01 00:00:00,funded,1,0,1,1500.0,1513.65,13.65,40,2021-02-11 09:30:00,2021-02-12 00:00:00
27,2021-02-19 00:00:00,funded,5,4,5,1564.2,1570.35,70.35,151,2021-07-02 20:00:00,2021-07-03 00:00:00
28,2021-02-26 00:00:00,funded,5,4,5,1523.4,1664.55,164.55,160,2021-07-06 17:30:00,2021-07-07 00:00:00
29,2021-03-05 00:00:00,funded,2,1,2,1608.9,1613.55,113.55,48,2021-04-15 17:30:00,2021-04-16 00:00:00
30,2021-03-12 00:00:00,funded,1,0,1,1570.2,1601.85,101.85,12,2021-03-16 16:00:00,2021-03-17 00:00:00
31,2021-03-19 00:00:00,funded,4,3,4,1564.2,1570.35,70.35,136,2021-07-02 20:00:00,2021-07-03 00:00:00
32,2021-03-26 00:00:00,funded,4,3,4,1523.4,1664.55,164.55,153,2021-07-06 17:30:00,2021-07-07 00:00:00
33,2021-04-02 00:00:00,funded,1,0,1,1653.6,1658.25,158.25,46,2021-04-15 17:30:00,2021-04-16 00:00:00
34,2021-04-09 00:00:00,funded,1,0,1,1622.85,1627.5,127.5,21,2021-04-15 17:30:00,2021-04-16 00:00:00
35,2021-04-16 00:00:00,funded,3,2,3,1630.05,1771.2,271.2,116,2021-07-06 17:30:00,2021-07-07 00:00:00
36,2021-04-23 00:00:00,funded,3,2,3,1681.05,1693.2,193.2,140,2021-07-09 18:00:00,2021-07-10 00:00:00
37,2021-04-30 00:00:00,funded,3,2,3,1644.0,1656.15,156.15,122,2021-07-09 18:00:00,2021-07-10 00:00:00
38,2021-05-07 00:00:00,cancelled,2,1,2,-904.8,328.05,-1171.95,39,,2021-07-07 00:00:00
39,2021-05-18 00:00:00,funded,2,1,2,1593.45,1634.1,134.1,87,2021-07-07 14:30:00,2021-07-08 00:00:00
40,2021-05-25 00:00:00,funded,2,1,2,1619.4,1660.05,160.05,61,2021-07-07 14:30:00,2021-07-08 00:00:00
41,2021-06-01 00:00:00,funded,2,1,2,1626.9,1639.05,139.05,69,2021-07-09 18:00:00,2021-07-10 00:00:00
42,2021-06-08 00:00:00,funded,3,2,3,1541.7,1696.95,196.95,148,2021-09-06 17:00:00,2021-09-07 00:00:00
43,2021-06-15 00:00:00,funded,1,0,1,1503.9,1519.05,19.05,94,2021-07-07 06:00:00,2021-07-08 00:00:00
44,2021-06-22 00:00:00,funded,1,0,1,1537.2,1544.85,44.85,62,2021-07-06 14:30:00,2021-07-07 00:00:00
45,2021-07-01 00:00:00,funded,1,0,1,1626.9,1639.05,139.05,34,2021-07-09 18:00:00,2021-07-10 00:00:00
46,2021-08-01 00:00:00,funded,2,0,1,1660.65,1765.8,265.8,149,2021-09-09 17:00:00,2021-09-10 00:00:00
47,2021-09-01 00:00:00,funded,1,0,1,1531.65,1551.3,51.3,39,2021-09-13 11:30:00,2021-09-14 00:00:00
48,2021-10-01 00:00:00,funded,1,0,1,1648.8,1659.45,159.45,18,2021-10-07 09:30:00,2021-10-08 00:00:00
49,2021-11-01 00:00:00,funded,1,0,1,1537.2,1555.35,55.35,12,2021-11-04 00:30:00,2021-11-05 00:00:00
50,2021-12-01 00:00:00,funded,3,2,3,1866.75,1922.4,422.4,42,2022-02-04 21:00:00,2022-02-05 00:00:00
51,2021-12-08 00:00:00,funded,2,1,2,1586.85,1617.0,117.0,47,2022-01-11 18:30:00,2022-01-12 00:00:00
52,2021-12-18 00:00:00,funded,1,0,1,1610.1,1616.25,116.25,26,2021-12-27 21:00:00,2021-12-28 00:00:00
53,2021-12-25 00:00:00,funded,3,2,3,1766.1,1794.75,294.75,38,2022-02-25 23:00:00,2022-02-26 00:00:00
54,2022-03-09 00:00:00,funded,1,0,1,1704.75,1749.9,249.9,5,2022-03-09 12:00:00,2022-03-10 00:00:00
55,2022-05-13 00:00:00,funded,1,0,1,1672.95,1689.6,189.6,7,2022-05-13 22:30:00,2022-05-14 00:00:00
56,2022-06-10 00:00:00,funded,2,1,2,1788.45,1847.1,347.1,86,2022-07-28 21:00:00,2022-07-29 00:00:00
57,2022-06-17 00:00:00,funded,1,0,1,2098.95,2121.6,621.6,17,2022-06-21 17:00:00,2022-06-22 00:00:00
58,2022-07-01 00:00:00,funded,1,0,1,1623.3,1714.95,214.95,18,2022-07-06 10:30:00,2022-07-07 00:00:00
59,2026-03-31 00:00:00,funded,1,0,1,1989.75,1994.4,494.4,5,2026-03-31 17:00:00,2026-04-01 00:00:00
60,2026-04-07 00:00:00,funded,2,1,2,2508.45,2543.1,1043.1,12,2026-05-08 17:00:00,2026-05-09 00:00:00
61,2026-04-14 00:00:00,funded,1,0,1,1562.85,1608.0,108.0,11,2026-04-16 09:30:00,2026-04-17 00:00:00
62,2026-04-21 00:00:00,funded,3,2,3,1929.75,1959.9,459.9,17,2026-06-22 15:30:00,2026-06-23 00:00:00
63,2026-04-28 00:00:00,funded,1,0,1,2406.45,2417.1,917.1,17,2026-04-30 20:30:00,2026-05-01 00:00:00
64,2026-05-05 00:00:00,funded,1,0,1,1878.6,1944.75,444.75,6,2026-05-05 23:30:00,2026-05-06 00:00:00
65,2026-05-12 00:00:00,funded,2,1,2,2048.55,2276.7,776.7,7,2026-06-12 14:30:00,2026-06-13 00:00:00
66,2026-05-19 00:00:00,funded,2,1,2,1556.7,1586.85,86.85,17,2026-06-22 15:30:00,2026-06-23 00:00:00
67,2026-05-26 00:00:00,funded,1,0,1,2081.4,2101.05,601.05,14,2026-05-28 20:00:00,2026-05-29 00:00:00
68,2026-06-02 00:00:00,blown,2,1,2,-900.3,30.0,-1470.0,10,,
69,2026-06-09 00:00:00,funded,1,0,1,3515.25,3563.4,2063.4,5,2026-06-09 21:30:00,2026-06-10 00:00:00
70,2026-06-16 00:00:00,blown,1,0,1,-982.05,494.4,-1005.6,8,,
71,2026-06-23 00:00:00,blown,1,0,1,-853.65,193.5,-1306.5,2,,
72,2026-06-30 00:00:00,funded,1,0,1,1578.3,2154.45,654.45,8,2026-06-30 23:30:00,2026-07-01 00:00:00
73,2026-07-07 00:00:00,blown,1,0,1,-16.5,1275.3,-224.7,11,,
