at,count,emergency
2023-01-03T07:13:40,1,True
2023-01-03T21:45:40,1,True
2023-01-05T21:37:40,1,True
2023-01-09T04:07:40,1,True
2023-01-09T05:46:20,2,True
2023-01-17T23:00:40,3,True
2023-01-23T05:16:40,3,True
2023-01-23T06:01:40,4,True
2023-03-17T06:08:40,4,True
2023-09-07T22:50:20,5,True
2024-03-22T17:03:40,1,True
2024-03-28T06:18:40,3,True
2024-04-02T21:20:40,3,True
2024-04-08T21:00:40,3,True
2024-04-08T22:32:40,11,True
2024-06-24T07:41:40,5,True
2024-07-04T09:54:40,3,True
2024-07-11T08:00:40,3,True
2024-07-11T11:32:40,18,True
2024-09-16T22:39:40,14,True
2024-11-01T14:30:20,10,True
2025-01-21T10:33:40,3,True
2025-05-28T21:01:20,14,True
2025-07-16T08:00:40,6,True
2025-10-21T22:21:40,2,True
2025-12-18T15:01:40,1,True
2026-01-05T08:51:40,3,True
2026-01-09T22:07:40,1,True
2026-02-05T10:06:40,7,True
2026-04-06T22:49:40,12,True
2026-04-29T14:36:40,20,True
2026-06-03T13:07:40,12,True
2026-06-03T14:28:40,20,True
2026-06-29T14:31:40,12,True
