target,initial_accounts,lower_bound,copies,missed,deaths,total_net_usd
matched_reference,100,100,126160,0,0,350000.0
full_target,100,100,138320,320,80,390000.0
full_target,120,100,138500,140,100,386000.0
full_target,140,100,138640,0,0,372000.0
