eval_id,started_at,state,months_paid,resets,generation,equity_usd,peak_usd,floor_usd,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,2,0,1,1611.9,1646.55,146.55,144,2020-02-06 06:30:00,2020-02-07 00:00:00
2,2020-01-08 00:00:00,funded,8,6,7,1579.35,1647.0,147.0,394,2020-08-21 23:30:00,2020-08-22 00:00:00
3,2020-01-15 00:00:00,funded,5,3,4,1567.2,1573.35,73.35,203,2020-05-18 20:30:00,2020-05-19 00:00:00
4,2020-02-01 00:00:00,funded,2,1,2,2148.15,2175.3,675.3,101,2020-03-02 23:00:00,2020-03-03 00:00:00
5,2020-03-01 00:00:00,funded,1,0,1,2148.15,2175.3,675.3,9,2020-03-02 23:00:00,2020-03-03 00:00:00
6,2020-03-13 00:00:00,cancelled,2,1,2,-853.8,594.3,-905.7,38,,2020-05-13 00:00:00
7,2020-03-20 00:00:00,funded,1,0,1,1556.7,1594.35,94.35,2,2020-03-20 09:00:00,2020-03-21 00:00:00
8,2020-03-27 00:00:00,funded,2,1,2,1612.5,1645.65,145.65,80,2020-05-08 08:30:00,2020-05-09 00:00:00
9,2020-04-03 00:00:00,funded,2,1,2,1627.5,1660.65,160.65,42,2020-05-08 08:30:00,2020-05-09 00:00:00
10,2020-05-01 00:00:00,funded,1,0,1,1532.4,1555.05,55.05,24,2020-05-08 04:00:00,2020-05-09 00:00:00
11,2020-06-01 00:00:00,funded,3,2,3,1655.4,1667.55,167.55,135,2020-08-07 11:00:00,2020-08-08 00:00:00
12,2020-07-01 00:00:00,funded,2,1,2,1655.4,1667.55,167.55,87,2020-08-07 11:00:00,2020-08-08 00:00:00
13,2020-08-01 00:00:00,funded,1,0,1,1655.4,1667.55,167.55,24,2020-08-07 11:00:00,2020-08-08 00:00:00
14,2020-09-01 00:00:00,funded,3,2,3,1659.75,1688.4,188.4,56,2020-11-04 05:00:00,2020-11-05 00:00:00
15,2020-10-01 00:00:00,funded,2,1,2,1659.75,1688.4,188.4,31,2020-11-04 05:00:00,2020-11-05 00:00:00
16,2020-10-08 00:00:00,funded,1,0,1,1759.95,1782.6,282.6,17,2020-10-12 19:30:00,2020-10-13 00:00:00
17,2020-10-15 00:00:00,funded,1,0,1,1730.1,1800.75,300.75,36,2020-10-26 16:00:00,2020-10-27 00:00:00
18,2020-10-22 00:00:00,funded,3,1,2,1935.3,1947.45,447.45,189,2021-01-07 17:00:00,2021-01-08 00:00:00
19,2020-10-29 00:00:00,funded,1,0,1,2043.9,2072.55,572.55,24,2020-11-04 05:00:00,2020-11-05 00:00:00
20,2020-12-01 00:00:00,funded,2,0,1,1803.3,1815.45,315.45,138,2021-01-07 17:00:00,2021-01-08 00:00:00
21,2021-01-01 00:00:00,funded,1,0,1,1850.85,1863.0,363.0,21,2021-01-07 17:00:00,2021-01-08 00:00:00
22,2021-02-01 00:00:00,funded,1,0,1,1500.0,1513.65,13.65,40,2021-02-11 09:30:00,2021-02-12 00:00:00
23,2021-02-23 00:00:00,funded,5,4,5,1681.05,1693.2,193.2,169,2021-07-09 18:00:00,2021-07-10 00:00:00
24,2021-03-02 00:00:00,funded,2,1,2,1653.6,1658.25,158.25,55,2021-04-15 17:30:00,2021-04-16 00:00:00
25,2021-03-09 00:00:00,funded,1,0,1,1532.1,1608.75,108.75,6,2021-03-09 20:30:00,2021-03-10 00:00:00
26,2021-03-16 00:00:00,funded,1,0,1,1506.9,1586.55,86.55,24,2021-03-22 16:00:00,2021-03-23 00:00:00
27,2021-03-23 00:00:00,funded,4,3,4,1681.05,1693.2,193.2,152,2021-07-09 18:00:00,2021-07-10 00:00:00
28,2021-03-30 00:00:00,funded,4,3,4,1644.0,1656.15,156.15,207,2021-07-09 18:00:00,2021-07-10 00:00:00
29,2021-04-06 00:00:00,funded,1,0,1,1714.95,1719.6,219.6,37,2021-04-15 17:30:00,2021-04-16 00:00:00
30,2021-04-13 00:00:00,funded,3,2,3,1502.85,1543.5,43.5,159,2021-07-07 14:30:00,2021-07-08 00:00:00
31,2021-04-20 00:00:00,funded,3,2,3,1564.2,1570.35,70.35,148,2021-07-02 20:00:00,2021-07-03 00:00:00
32,2021-04-27 00:00:00,funded,3,2,3,1523.4,1664.55,164.55,112,2021-07-06 17:30:00,2021-07-07 00:00:00
33,2021-05-04 00:00:00,funded,5,3,4,1527.6,1632.75,132.75,236,2021-09-09 17:00:00,2021-09-10 00:00:00
34,2021-05-11 00:00:00,funded,2,1,2,1541.25,1622.4,122.4,118,2021-07-06 23:30:00,2021-07-07 00:00:00
35,2021-05-18 00:00:00,funded,2,1,2,1593.45,1634.1,134.1,87,2021-07-07 14:30:00,2021-07-08 00:00:00
36,2021-05-25 00:00:00,funded,2,1,2,1619.4,1660.05,160.05,61,2021-07-07 14:30:00,2021-07-08 00:00:00
37,2021-06-01 00:00:00,funded,2,1,2,1626.9,1639.05,139.05,69,2021-07-09 18:00:00,2021-07-10 00:00:00
38,2021-06-08 00:00:00,funded,3,2,3,1541.7,1696.95,196.95,148,2021-09-06 17:00:00,2021-09-07 00:00:00
39,2021-06-15 00:00:00,funded,1,0,1,1503.9,1519.05,19.05,94,2021-07-07 06:00:00,2021-07-08 00:00:00
40,2021-06-22 00:00:00,funded,1,0,1,1537.2,1544.85,44.85,62,2021-07-06 14:30:00,2021-07-07 00:00:00
41,2021-06-29 00:00:00,funded,1,0,1,1574.7,1589.85,89.85,32,2021-07-07 06:00:00,2021-07-08 00:00:00
42,2021-08-01 00:00:00,funded,2,0,1,1660.65,1765.8,265.8,149,2021-09-09 17:00:00,2021-09-10 00:00:00
43,2021-09-01 00:00:00,funded,1,0,1,1531.65,1551.3,51.3,39,2021-09-13 11:30:00,2021-09-14 00:00:00
44,2021-10-01 00:00:00,funded,1,0,1,1648.8,1659.45,159.45,18,2021-10-07 09:30:00,2021-10-08 00:00:00
45,2021-11-01 00:00:00,funded,1,0,1,1537.2,1555.35,55.35,12,2021-11-04 00:30:00,2021-11-05 00:00:00
46,2021-12-04 00:00:00,funded,1,0,1,1593.6,1882.35,382.35,26,2021-12-10 16:00:00,2021-12-11 00:00:00
47,2021-12-21 00:00:00,funded,1,0,1,1684.05,1736.7,236.7,13,2021-12-23 17:30:00,2021-12-24 00:00:00
48,2022-01-08 00:00:00,funded,1,0,1,1586.85,1617.0,117.0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
49,2022-01-15 00:00:00,funded,2,1,2,1509.45,1678.05,178.05,16,2022-02-16 10:00:00,2022-02-17 00:00:00
50,2022-01-22 00:00:00,cancelled,2,1,2,1549.05,1570.2,70.2,10,2022-02-22 17:30:00,2022-02-23 00:00:00
51,2022-01-29 00:00:00,funded,1,0,1,1561.5,1635.15,135.15,20,2022-02-04 07:30:00,2022-02-05 00:00:00
52,2022-02-05 00:00:00,funded,1,0,1,1914.0,2065.65,565.65,20,2022-02-10 17:00:00,2022-02-11 00:00:00
53,2022-02-12 00:00:00,funded,1,0,1,1646.1,1706.25,206.25,16,2022-02-16 21:30:00,2022-02-17 00:00:00
54,2022-02-19 00:00:00,cancelled,1,0,1,1700.25,1746.9,246.9,5,2022-02-22 12:30:00,2022-02-23 00:00:00
55,2022-03-01 00:00:00,funded,2,1,2,1596.15,1995.6,495.6,48,2022-04-08 09:00:00,2022-04-09 00:00:00
56,2022-03-08 00:00:00,cancelled,2,1,2,1877.4,2015.55,515.55,41,2022-04-18 17:30:00,2022-04-19 00:00:00
57,2022-03-15 00:00:00,cancelled,1,0,1,33.0,1289.1,-210.9,11,,2022-04-15 00:00:00
58,2022-03-22 00:00:00,cancelled,1,0,1,-115.2,1007.4,-492.6,19,,2022-04-22 00:00:00
59,2022-03-29 00:00:00,cancelled,1,0,1,-906.9,550.95,-949.05,17,,2022-04-29 00:00:00
60,2022-04-05 00:00:00,cancelled,1,0,1,1750.5,1888.65,388.65,50,2022-04-18 17:30:00,2022-04-19 00:00:00
61,2022-04-12 00:00:00,cancelled,1,0,1,1522.35,1575.0,75.0,11,2022-04-13 22:00:00,2022-04-14 00:00:00
62,2022-05-01 00:00:00,cancelled,3,2,3,1623.3,1714.95,214.95,40,2022-07-06 10:30:00,2022-07-07 00:00:00
63,2022-05-08 00:00:00,cancelled,3,2,3,1654.05,1658.7,158.7,69,2022-07-20 18:00:00,2022-07-21 00:00:00
64,2022-05-15 00:00:00,cancelled,2,1,2,-343.5,975.6,-524.4,15,,2022-07-15 00:00:00
65,2022-05-22 00:00:00,cancelled,2,1,2,-231.15,659.4,-840.6,21,,2022-07-22 00:00:00
66,2022-05-29 00:00:00,cancelled,1,0,1,137.1,1371.6,-128.4,27,,2022-06-29 00:00:00
67,2022-06-05 00:00:00,cancelled,2,1,2,1719.3,1810.95,310.95,29,2022-07-06 10:30:00,2022-07-07 00:00:00
68,2022-06-12 00:00:00,cancelled,2,1,2,1907.85,1912.5,412.5,48,2022-07-20 18:00:00,2022-07-21 00:00:00
69,2022-06-19 00:00:00,cancelled,1,0,1,1614.3,1636.95,136.95,8,2022-06-21 17:00:00,2022-06-22 00:00:00
70,2022-07-01 00:00:00,cancelled,1,0,1,1623.3,1714.95,214.95,18,2022-07-06 10:30:00,2022-07-07 00:00:00
71,2022-07-08 00:00:00,cancelled,1,0,1,1654.05,1658.7,158.7,53,2022-07-20 18:00:00,2022-07-21 00:00:00
72,2022-08-01 00:00:00,funded,1,0,1,1686.75,1749.9,249.9,15,2022-08-03 20:30:00,2022-08-04 00:00:00
73,2022-08-08 00:00:00,cancelled,1,0,1,1632.3,1752.45,252.45,48,2022-08-17 21:30:00,2022-08-18 00:00:00
74,2022-09-01 00:00:00,funded,2,1,2,1548.45,1557.6,57.6,29,2022-10-06 03:00:00,2022-10-07 00:00:00
75,2022-09-08 00:00:00,funded,1,0,1,1570.65,1579.8,79.8,29,2022-09-14 23:30:00,2022-09-15 00:00:00
76,2022-10-01 00:00:00,cancelled,1,0,1,1548.45,1557.6,57.6,17,2022-10-06 03:00:00,2022-10-07 00:00:00
77,2022-10-08 00:00:00,cancelled,1,0,1,1608.45,1727.1,227.1,47,2022-10-20 14:00:00,2022-10-21 00:00:00
78,2022-11-01 00:00:00,cancelled,5,4,5,1583.85,1663.5,163.5,105,2023-03-09 17:00:00,2023-03-10 00:00:00
79,2022-11-08 00:00:00,cancelled,6,5,6,1673.4,1696.05,196.05,158,2023-04-13 21:00:00,2023-04-14 00:00:00
80,2022-11-15 00:00:00,cancelled,1,0,1,1520.7,1556.85,56.85,22,2022-11-18 13:00:00,2022-11-19 00:00:00
81,2022-11-22 00:00:00,cancelled,1,0,1,1541.55,1636.2,136.2,13,2022-11-23 23:30:00,2022-11-24 00:00:00
82,2022-11-29 00:00:00,cancelled,2,1,2,-390.3,899.25,-600.75,55,,2023-01-29 00:00:00
83,2022-12-06 00:00:00,cancelled,2,1,2,2099.4,2165.55,665.55,42,2023-01-06 22:00:00,2023-01-07 00:00:00
84,2022-12-13 00:00:00,cancelled,2,1,2,1521.3,1578.6,78.6,53,2023-01-25 09:30:00,2023-01-26 00:00:00
85,2022-12-20 00:00:00,cancelled,1,0,1,-1030.95,72.0,-1428.0,24,,2023-01-20 00:00:00
