cohort,kind,start,portfolio,lower_rr,higher_rr,lower_weight,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,mdd_delta_vs_rr1,pnl_delta_vs_rr1,beats_both_constituents,smoothing
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.00_low25,0.75,3.00,0.25,4073.8875000000003,2585.1875,2020-03-18,48,69,True,22,-845.925,-1608.6,-2535.2125,295.5875000000001,1933.1375000000003,False,187.36250000000018
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.00_low50,0.75,3.00,0.5,3038.725,2192.3999999999996,2020-03-19,48,69,True,20,-749.5500000000001,-1497.5,-2192.3999999999996,-97.20000000000027,897.9749999999999,False,354.7500000000009
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.00_low75,0.75,3.00,0.75,2003.5625,1976.0500000000002,2020-03-20,47,67,True,19,-674.05,-1386.3999999999999,-1951.0,-313.5499999999997,-137.1875,True,345.7000000000003
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.25_low25,0.75,3.25,0.25,3871.1625,2509.7375,2020-03-18,48,69,True,22,-845.9250000000002,-1608.6000000000001,-2459.7625,220.13750000000027,1730.4125,False,187.36249999999973
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.25_low50,0.75,3.25,0.5,2903.575,2122.125,2020-03-18,48,69,True,21,-749.55,-1497.5,-2083.425,-167.4749999999999,762.8249999999998,False,374.72500000000036
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.25_low75,0.75,3.25,0.75,1935.9875,1885.65,2020-03-20,47,67,True,19,-674.05,-1386.4,-1826.8500000000001,-403.9499999999998,-204.76250000000005,True,410.9500000000003
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.50_low25,0.75,3.50,0.25,3153.2999999999997,2509.7374999999997,2020-03-18,48,69,True,22,-845.925,-1608.6,-2457.8875,220.13749999999982,1012.5499999999997,False,187.36250000000018
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.50_low50,0.75,3.50,0.5,2425.0,2122.125,2020-03-18,54,77,True,20,-749.55,-1497.5,-2082.175,-167.4749999999999,284.25,False,374.72500000000036
12m_2020-01-01,12m,2020-01-01,pair_0.75_3.50_low75,0.75,3.50,0.75,1696.6999999999998,1877.15,2020-03-20,48,67,True,20,-674.05,-1386.4,-1818.35,-412.4499999999998,-444.0500000000002,True,419.4500000000003
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.50_low25,1.00,1.50,0.25,3341.425,2540.0499999999997,2020-03-19,52,75,True,19,-942.3000000000001,-1754.275,-2540.0499999999997,250.44999999999982,1200.6750000000002,False,16.175000000000182
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.50_low50,1.00,1.50,0.5,2941.2,2435.0,2020-03-19,55,78,True,18,-942.3,-1711.6499999999999,-2435.0,145.4000000000001,800.4499999999998,False,32.34999999999991
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.50_low75,1.00,1.50,0.75,2540.975,2341.1875,2020-03-19,54,77,True,16,-942.3000000000001,-1669.0249999999996,-2329.9500000000003,51.58750000000009,400.2249999999999,False,37.28749999999991
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.75_low25,1.00,1.75,0.25,4658.275,1762.1750000000002,2020-06-26,67,93,True,21,-942.3,-1270.0625,-1471.6500000000003,-527.4249999999997,2517.5249999999996,True,333.0625
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.75_low50,1.00,1.75,0.5,3819.1,1737.225,2020-03-19,66,92,True,23,-942.3,-1269.475,-1692.0,-552.375,1678.35,True,422.8000000000002
12m_2020-01-01,12m,2020-01-01,pair_1.00_1.75_low75,1.00,1.75,0.75,2979.925,2007.9875,2020-03-19,54,76,True,19,-942.3,-1444.2749999999999,-1958.45,-281.61249999999995,839.1750000000002,True,216.82500000000005
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.00_low25,1.00,2.00,0.25,5414.424999999999,1640.0499999999997,2020-06-26,54,76,True,23,-942.3,-1396.9249999999997,-1454.9125000000001,-649.5500000000002,3273.6749999999993,True,317.56250000000045
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.00_low50,1.00,2.00,0.5,4323.2,1790.45,2020-03-19,51,71,True,25,-942.3,-1354.05,-1711.575,-499.14999999999986,2182.45,True,277.82500000000005
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.00_low75,1.00,2.00,0.75,3231.975,2035.3500000000001,2020-03-19,50,70,True,20,-942.3000000000001,-1377.5749999999998,-1968.2375000000002,-254.24999999999977,1091.225,False,143.58749999999986
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.25_low25,1.00,2.25,0.25,4943.950000000001,1696.1875,2020-03-19,53,75,True,21,-942.3,-1606.85,-1486.2625,-593.4124999999999,2803.2000000000007,True,183.42499999999973
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.25_low50,1.00,2.25,0.5,4009.55,1890.875,2020-03-19,47,67,True,21,-942.3,-1494.0,-1732.4750000000001,-398.7249999999999,1868.8000000000002,False,125.39999999999986
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.25_low75,1.00,2.25,0.75,3075.15,2085.5625,2020-03-19,50,70,True,17,-942.3000000000001,-1381.15,-1978.6875,-204.0374999999999,934.4000000000001,False,67.375
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.50_low25,1.00,2.50,0.25,4176.512500000001,1948.5249999999999,2020-03-20,48,69,True,17,-942.3000000000002,-1606.8500000000001,-1939.5624999999998,-341.07500000000005,2035.7625000000007,True,188.3000000000004
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.50_low50,1.00,2.50,0.5,3497.925,2034.675,2020-03-19,48,69,True,17,-942.3,-1494.0,-2034.675,-254.92499999999995,1357.1750000000002,True,153.07500000000005
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.50_low75,1.00,2.50,0.75,2819.3375,2129.7875000000004,2020-03-19,55,78,True,15,-942.3000000000001,-1381.15,-2129.7875000000004,-159.81249999999955,678.5875000000001,False,108.88749999999936
12m_2020-01-01,12m,2020-01-01,pair_1.00_2.75_low25,1.00,2.75,0.25,4665.549999999999,2109.3624999999997,2020-03-20,48,69,True,19,-942.3,-1606.85,-2100.4,-180.23750000000018,2524.7999999999993,True,188.30000000000018
