portfolio,lower_rr,higher_rr,lower_weight,mean_pnl,mean_mdd,worst_mdd,dd_wins,beats_both,mean_smoothing,any_failure,all_failure,mean_fraction_failed,mean_same_signal,mean_possible5,mean_possible20,early_dd_wins,early_mean_dd_delta,later_dd_wins,later_mean_dd_delta
pair_0.50_3.50_low50,0.50,3.50,0.5,4252.752173913043,2940.7869565217393,4556.550000000001,12,5,263.04021739130434,13,5,0.391304347826087,0.2826086956521739,0.3695652173913043,0.3695652173913043,10,-680.5041666666667,2,44.6090909090911
pair_0.50_3.25_low50,0.50,3.25,0.5,4388.315217391304,2950.9119565217393,4049.3250000000007,12,5,229.41086956521738,13,4,0.3695652173913043,0.2826086956521739,0.34782608695652173,0.34782608695652173,10,-619.5333333333334,2,-0.7340909090907686
pair_0.50_2.50_low25,0.50,2.50,0.25,5115.592934782609,2973.270108695652,4588.1625,15,5,119.02173913043485,13,3,0.30434782608695654,0.2717391304347826,0.29347826086956524,0.29347826086956524,10,-455.3635416666666,5,-133.07954545454524
pair_0.50_1.50_low50,0.50,1.50,0.5,4088.783695652174,2988.8434782608697,4602.950000000001,12,3,183.4565217391304,11,5,0.34782608695652173,0.2608695652173913,0.30434782608695654,0.30434782608695654,10,-584.4354166666667,2,40.28863636363655
pair_0.50_3.00_low50,0.50,3.00,0.5,4206.488043478261,2993.8858695652175,4223.175,11,5,218.21304347826097,12,5,0.3695652173913043,0.2826086956521739,0.32608695652173914,0.32608695652173914,9,-477.1354166666667,2,-66.22272727272751
pair_0.75_2.50_low50,0.75,2.50,0.5,4565.477173913044,3007.4478260869564,4958.400000000001,15,2,156.1119565217394,12,4,0.34782608695652173,0.2608695652173913,0.34782608695652173,0.34782608695652173,10,-363.6333333333334,5,-161.6863636363637
pair_0.75_2.50_low75,0.75,2.50,0.75,3938.4744565217393,3044.8108695652177,4867.625000000002,11,1,107.29402173913039,12,4,0.391304347826087,0.34782608695652173,0.391304347826087,0.391304347826087,9,-258.62916666666655,2,-198.11363636363592
pair_0.75_1.75_low75,0.75,1.75,0.75,3861.1434782608694,3050.872282608696,5151.862500000002,14,2,158.34619565217395,11,3,0.3695652173913043,0.33695652173913043,0.3695652173913043,0.3695652173913043,9,-312.7385416666666,5,-126.41136363636328
pair_0.75_2.50_low25,0.75,2.50,0.25,5192.479891304348,3065.6864130434783,5049.175000000002,11,3,109.32826086956527,12,4,0.30434782608695654,0.2608695652173913,0.30434782608695654,0.30434782608695654,6,-342.87395833333335,5,-62.56136363636324
pair_0.75_2.25_low75,0.75,2.25,0.75,3837.1402173913043,3078.235869565218,4903.262500000001,11,3,127.00869565217381,11,4,0.3804347826086957,0.33695652173913043,0.3695652173913043,0.3804347826086957,9,-238.2708333333333,2,-150.43409090909046
pair_0.75_1.75_low50,0.75,1.75,0.5,4410.815217391304,3085.672826086957,5661.55,12,4,192.11413043478277,11,3,0.30434782608695654,0.2391304347826087,0.30434782608695654,0.30434782608695654,7,-367.24791666666664,5,5.818181818181818
pair_0.75_2.00_low75,0.75,2.00,0.75,3785.0103260869564,3089.5445652173917,5035.062500000001,11,1,141.4619565217391,11,4,0.3804347826086957,0.33695652173913043,0.3695652173913043,0.3695652173913043,9,-264.2124999999999,2,-98.48863636363595
pair_1.00_2.50_low50,1.00,2.50,0.5,5003.239130434783,3089.6108695652174,5759.35,15,9,140.87282608695665,11,3,0.30434782608695654,0.2391304347826087,0.30434782608695654,0.30434782608695654,10,-342.54166666666674,5,-12.899999999999947
pair_0.75_2.75_low75,0.75,2.75,0.75,3839.4532608695654,3102.120652173913,4896.862499999999,11,4,141.3798913043479,14,5,0.42391304347826086,0.3804347826086957,0.41304347826086957,0.41304347826086957,9,-195.29895833333333,2,-147.37159090909063
pair_1.00_2.50_low25,1.00,2.50,0.25,5411.360869565217,3108.0657608695656,5449.6500000000015,10,6,100.41086956521737,11,3,0.2826086956521739,0.25,0.2826086956521739,0.2826086956521739,5,-336.65729166666677,5,19.268181818182196
pair_0.75_2.25_low50,0.75,2.25,0.5,4362.808695652174,3110.986956521739,5029.674999999999,8,5,158.85217391304352,11,4,0.32608695652173914,0.2391304347826087,0.30434782608695654,0.32608695652173914,6,-252.59583333333333,2,-66.32727272727261
pair_0.75_2.75_low50,0.75,2.75,0.5,4367.434782608696,3111.271739130435,5016.875,15,5,235.079347826087,14,5,0.41304347826086957,0.32608695652173914,0.391304347826087,0.391304347826087,10,-308.1979166666667,5,-5.074999999999983
pair_0.75_3.50_low75,0.75,3.50,0.75,3858.9989130434783,3115.7081521739133,5127.7125000000015,11,5,139.25326086956522,14,4,0.41304347826086957,0.3695652173913043,0.41304347826086957,0.41304347826086957,9,-272.59895833333326,2,-34.63409090909055
pair_0.75_3.25_low75,0.75,3.25,0.75,3926.7804347826086,3116.0146739130437,4844.475,11,5,127.19456521739129,14,3,0.40217391304347827,0.3804347826086957,0.391304347826087,0.40217391304347827,9,-239.41770833333314,2,-70.19090909090886
pair_0.50_1.75_low25,0.50,1.75,0.25,4883.6,3121.721195652174,5881.700000000001,12,3,141.91141304347815,10,4,0.2391304347826087,0.1956521739130435,0.22826086956521738,0.22826086956521738,7,-444.5406249999999,5,165.51136363636377
pair_0.75_3.00_low75,0.75,3.00,0.75,3835.866847826087,3122.4195652173917,4961.0250000000015,11,2,136.67771739130427,13,4,0.40217391304347827,0.358695652173913,0.391304347826087,0.391304347826087,9,-197.12604166666662,2,-102.93522727272685
pair_0.50_2.25_low25,0.50,2.25,0.25,4811.590217391305,3127.333695652174,4695.075000000001,9,2,124.37717391304355,12,3,0.2717391304347826,0.2391304347826087,0.2608695652173913,0.2608695652173913,7,-296.24687500000016,2,15.471590909091033
pair_0.75_2.00_low50,0.75,2.00,0.5,4258.548913043478,3136.7510869565217,5293.275,11,2,184.61195652173907,11,4,0.32608695652173914,0.2391304347826087,0.30434782608695654,0.30434782608695654,9,-295.34791666666655,2,34.18181818181822
pair_0.75_1.50_low75,0.75,1.50,0.75,3777.0146739130437,3139.3891304347826,5150.9125,11,1,99.80869565217392,12,4,0.391304347826087,0.34782608695652173,0.3804347826086957,0.3804347826086957,9,-231.68125,2,-29.756818181817835
rr_0.75,0.75,,1.0,3311.471739130435,3140.65,4776.85,8,0,0.0,10,10,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,6,-44.64583333333328,2,-231.15909090909062
pair_0.75_3.50_low50,0.75,3.50,0.5,4406.526086956522,3146.088043478261,5478.575000000001,12,5,223.18478260869563,14,4,0.391304347826087,0.30434782608695654,0.391304347826087,0.391304347826087,10,-427.9020833333332,2,198.309090909091
pair_0.75_3.25_low50,0.75,3.25,0.5,4542.089130434782,3147.3478260869565,4912.099999999999,11,4,198.42065217391306,14,3,0.3695652173913043,0.32608695652173914,0.34782608695652173,0.3695652173913043,9,-377.4250000000001,2,145.8772727272727
pair_1.00_1.75_low50,1.00,1.75,0.5,4848.577173913043,3159.4597826086956,6612.325,9,3,185.251086956522,9,3,0.2608695652173913,0.1956521739130435,0.2608695652173913,0.2608695652173913,6,-367.8291666666669,3,160.7340909090908
pair_1.00_2.50_low75,1.00,2.50,0.75,4595.117391304348,3164.558695652174,6069.05,15,5,87.93206521739137,11,3,0.32608695652173914,0.29347826086956524,0.32608695652173914,0.32608695652173914,10,-193.94999999999996,5,-18.290909090909114
pair_0.75_3.00_low50,0.75,3.00,0.5,4360.261956521739,3164.7728260869567,5145.200000000001,11,3,212.7717391304347,13,4,0.3695652173913043,0.2826086956521739,0.34782608695652173,0.34782608695652173,9,-283.7458333333333,2,80.11590909090938
pair_1.00_1.75_low75,1.00,1.75,0.75,4517.786413043478,3168.635869565217,6353.2875,12,5,140.96847826086986,9,3,0.30434782608695654,0.2717391304347826,0.30434782608695654,0.30434782608695654,6,-232.9739583333335,6,32.805681818181625
pair_1.00_2.25_low50,1.00,2.25,0.5,4800.570652173913,3181.8543478260867,5830.625000000001,8,1,154.908695652174,11,2,0.2826086956521739,0.2391304347826087,0.2826086956521739,0.2826086956521739,6,-253.15416666666684,2,82.45909090909099
rr_2.50,2.50,,1.0,5819.482608695652,3186.4695652173914,5139.950000000001,10,0,0.0,6,6,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,5,-233.98749999999987,5,71.20000000000014
pair_0.50_2.75_low25,0.50,2.75,0.25,4818.529347826086,3193.441304347826,4675.875000000001,13,8,173.03749999999982,14,5,0.40217391304347827,0.34782608695652173,0.3804347826086957,0.3804347826086957,9,-338.9343750000001,4,200.264772727273
pair_1.00_2.25_low75,1.00,2.25,0.75,4493.783152173913,3198.3146739130434,6104.6875,14,7,107.31576086956535,11,2,0.31521739130434784,0.29347826086956524,0.31521739130434784,0.31521739130434784,6,-172.95729166666675,8,29.388636363636373
pair_0.75_1.50_low50,0.75,1.50,0.5,4242.557608695653,3207.0978260869565,5524.975,8,1,130.64782608695648,12,4,0.34782608695652173,0.2608695652173913,0.32608695652173914,0.32608695652173914,6,-291.11875000000003,2,176.6568181818184
pair_0.50_2.00_low25,0.50,2.00,0.25,4655.20054347826,3209.4,5090.474999999999,12,4,119.59673913043466,11,4,0.2717391304347826,0.22826086956521738,0.2608695652173913,0.2608695652173913,10,-347.2843749999999,2,242.74204545454552
pair_0.50_3.25_low25,0.50,3.25,0.25,5080.510869565217,3214.1885869565212,4518.7125,12,5,151.41630434782644,13,4,0.33695652173913043,0.29347826086956524,0.32608695652173914,0.32608695652173914,10,-453.5531250000001,2,368.6840909090902
pair_0.75_1.75_low25,0.75,1.75,0.25,4960.48695652174,3215.125543478261,6447.850000000001,9,4,131.22989130434775,11,3,0.2391304347826087,0.20652173913043478,0.2391304347826087,0.2391304347826087,6,-335.36145833333325,3,241.7068181818184
pair_0.50_3.50_low25,0.50,3.50,0.25,4877.166304347826,3224.8315217391305,5368.425000000001,12,2,176.02989130434764,13,5,0.3695652173913043,0.31521739130434784,0.358695652173913,0.358695652173913,10,-492.9812499999998,2,433.95000000000005
pair_0.75_2.25_low25,0.75,2.25,0.25,4888.477173913044,3225.841847826087,5156.0875000000015,8,3,108.59184782608685,11,4,0.2717391304347826,0.22826086956521738,0.2608695652173913,0.2717391304347826,6,-167.52500000000018,2,81.0193181818186
pair_1.00_2.00_low50,1.00,2.00,0.5,4696.310869565217,3227.808695652174,6094.224999999999,8,1,160.47826086956528,10,3,0.2826086956521739,0.21739130434782608,0.2826086956521739,0.2826086956521739,6,-299.5083333333335,2,229.11363636363623
pair_0.50_1.50_low25,0.50,1.50,0.25,4631.213586956522,3232.6646739130433,5438.025000000001,9,2,120.90597826086969,11,5,0.30434782608695654,0.2608695652173913,0.2826086956521739,0.2826086956521739,7,-428.58750000000015,2,380.08068181818174
pair_1.00_2.00_low75,1.00,2.00,0.75,4441.653260869565,3234.527717391304,6236.4875,8,0,96.86467391304355,10,3,0.31521739130434784,0.2826086956521739,0.31521739130434784,0.31521739130434784,6,-162.80833333333345,2,94.03522727272728
pair_1.00_2.75_low75,1.00,2.75,0.75,4496.096195652174,3248.7559782608696,6098.2875,12,6,95.13043478260876,12,5,0.358695652173913,0.31521739130434784,0.34782608695652173,0.34782608695652173,7,-114.32812500000011,5,70.8977272727274
pair_1.00_3.50_low75,1.00,3.50,0.75,4515.641847826087,3249.1375,6329.1375,12,6,106.20978260869563,12,4,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.34782608695652173,10,-203.21458333333342,2,168.66250000000016
pair_1.00_1.75_low25,1.00,1.75,0.25,5179.367934782608,3250.600543478261,6923.237500000001,9,4,129.21684782608676,9,3,0.21739130434782608,0.18478260869565216,0.21739130434782608,0.21739130434782608,6,-351.9083333333333,3,333.93295454545483
pair_1.00_2.75_low50,1.00,2.75,0.5,4805.196739130435,3251.1554347826086,5817.825,12,6,162.11956521739123,12,5,0.3695652173913043,0.2826086956521739,0.34782608695652173,0.34782608695652173,7,-202.8687500000001,5,172.50454545454548
pair_1.00_3.25_low75,1.00,3.25,0.75,4583.423369565217,3261.6364130434786,6045.900000000001,12,6,81.95869565217382,11,4,0.33695652173913043,0.29347826086956524,0.32608695652173914,0.33695652173913043,10,-163.54583333333338,2,151.5215909090912
pair_1.00_2.25_low25,1.00,2.25,0.25,5107.358152173913,3262.1684782608695,5556.562500000001,8,3,105.7271739130434,11,2,0.25,0.22826086956521738,0.25,0.25,6,-177.2354166666668,2,167.568181818182
pair_1.00_3.50_low50,1.00,3.50,0.5,4844.288043478261,3264.8021739130436,6279.525,12,6,171.39456521739115,12,4,0.34782608695652173,0.2608695652173913,0.34782608695652173,0.34782608695652173,10,-351.33125,2,362.9977272727275
pair_1.00_3.00_low75,1.00,3.00,0.75,4492.509782608696,3267.011413043478,6162.45,8,2,92.47173913043477,10,5,0.33695652173913043,0.2826086956521739,0.32608695652173914,0.32608695652173914,6,-123.22812500000002,2,118.77727272727276
pair_1.00_1.50_low75,1.00,1.50,0.75,4433.657608695652,3268.945652173913,6352.3375,8,4,70.63804347826101,10,4,0.32608695652173914,0.29347826086956524,0.32608695652173914,0.32608695652173914,5,-133.0187500000001,3,133.50227272727275
pair_0.50_3.00_low25,0.50,3.00,0.25,4807.770108695652,3270.407065217391,4868.3625,10,6,142.86195652173933,12,5,0.33695652173913043,0.29347826086956524,0.31521739130434784,0.31521739130434784,8,-262.851041666667,2,278.1931818181815
pair_1.00_3.25_low50,1.00,3.25,0.5,4979.851086956522,3273.2184782608692,5713.049999999999,12,6,139.47391304347832,11,4,0.32608695652173914,0.2391304347826087,0.30434782608695654,0.32608695652173914,10,-300.6625,2,325.3204545454542
rr_1.00,1.00,,1.0,4186.995652173913,3274.4978260869566,6378.75,0,0,0.0,8,8,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0,0.0,0,0.0
pair_0.75_2.75_low25,0.75,2.75,0.25,4895.416304347826,3280.867391304348,5136.887500000001,9,5,168.33423913043458,14,5,0.40217391304347827,0.358695652173913,0.391304347826087,0.391304347826087,5,-221.13124999999994,4,254.552272727273
pair_0.75_2.00_low25,0.75,2.00,0.25,4732.0875,3295.429891304348,5551.487499999999,8,2,116.28967391304326,11,4,0.2717391304347826,0.22826086956521738,0.2608695652173913,0.2608695652173913,6,-235.8947916666666,2,301.10681818181826
pair_1.00_1.50_low50,1.00,1.50,0.5,4680.319565217392,3298.3934782608694,6325.925000000001,7,3,106.27608695652178,10,4,0.30434782608695654,0.2391304347826087,0.30434782608695654,0.30434782608695654,5,-257.3562500000001,2,330.71590909090924
rr_1.25,1.25,,1.0,4636.945652173913,3306.4913043478264,6358.85,9,0,0.0,7,7,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,7,-323.4333333333334,2,419.73181818181837
pair_1.00_3.00_low50,1.00,3.00,0.5,4798.023913043478,3309.848913043478,5946.150000000001,7,1,134.6195652173912,10,5,0.32608695652173914,0.21739130434782608,0.30434782608695654,0.30434782608695654,5,-175.15416666666667,2,264.99318181818177
pair_0.75_3.25_low25,0.75,3.25,0.25,5157.397826086956,3320.2434782608693,4979.7249999999985,11,1,128.08423913043484,14,3,0.33695652173913043,0.31521739130434784,0.32608695652173914,0.33695652173913043,9,-315.65104166666663,2,439.99659090909057
pair_1.00_2.00_low25,1.00,2.00,0.25,4950.968478260869,3331.466847826087,5951.9625,8,2,113.71467391304331,10,3,0.25,0.21739130434782608,0.25,0.25,6,-260.2197916666667,2,402.9931818181819
pair_0.75_1.50_low25,0.75,1.50,0.25,4708.100543478261,3340.7010869565215,5923.6,7,1,95.59239130434783,12,4,0.30434782608695654,0.2608695652173913,0.29347826086956524,0.29347826086956524,5,-282.04687499999994,2,446.1124999999999
pair_0.75_3.50_low25,0.75,3.50,0.25,4954.053260869565,3344.5940217391308,5829.437500000004,11,1,138.99021739130404,14,4,0.3695652173913043,0.32608695652173914,0.3695652173913043,0.3695652173913043,9,-340.8062499999999,2,518.3534090909095
pair_1.00_2.75_low25,1.00,2.75,0.25,5114.297282608695,3352.4728260869565,5537.362500000001,9,4,130.1907608695649,12,5,0.3804347826086957,0.33695652173913043,0.3695652173913043,0.3695652173913043,5,-178.13437499999995,4,357.3670454545457
pair_0.75_3.00_low25,0.75,3.00,0.25,4884.657065217391,3369.2516304347823,5329.375,6,4,126.74021739130433,13,4,0.33695652173913043,0.29347826086956524,0.32608695652173914,0.32608695652173914,4,-132.2937500000003,2,342.44204545454556
pair_1.00_3.25_low25,1.00,3.25,0.25,5376.278804347826,3386.0907608695647,5380.199999999999,11,5,95.69891304347836,11,4,0.31521739130434784,0.2717391304347826,0.30434782608695654,0.31521739130434784,9,-284.4208333333333,2,543.6079545454539
rr_2.25,2.25,,1.0,5414.145652173913,3399.028260869565,5287.0,7,0,0.0,5,5,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,5,-35.22500000000006,2,298.80909090909097
pair_1.00_1.50_low25,1.00,1.50,0.25,4926.981521739131,3408.0902173913046,6398.987500000001,5,1,61.66521739130432,10,4,0.2826086956521739,0.25,0.2826086956521739,0.2826086956521739,5,-262.92187500000006,0,566.1534090909092
pair_1.00_3.50_low25,1.00,3.50,0.25,5172.934239130434,3410.284782608696,6229.912500000002,11,5,106.76141304347811,12,4,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.34782608695652173,9,-282.29374999999993,2,591.8750000000001
rr_1.75,1.75,,1.0,5510.158695652174,3414.9239130434785,7234.150000000001,9,0,0.0,4,4,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,6,-267.20416666666665,3,585.1136363636365
pair_1.00_3.00_low25,1.00,3.00,0.25,5103.538043478261,3445.548913043478,5729.85,6,2,83.90489130434777,10,5,0.31521739130434784,0.2608695652173913,0.30434782608695654,0.30434782608695654,4,-87.50937500000025,2,453.1170454545454
rr_2.00,2.00,,1.0,5205.626086956522,3502.0760869565215,5809.7,8,0,0.0,5,5,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,6,-136.08750000000012,2,624.3045454545455
rr_1.50,1.50,,1.0,5173.643478260869,3534.8413043478263,6535.150000000001,5,0,0.0,6,6,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,5,-246.90416666666673,0,813.7045454545455
rr_3.25,3.25,,1.0,5772.70652173913,3550.886956521739,5047.349999999999,10,0,0.0,7,7,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,8,-168.65833333333342,2,761.8954545454543
rr_2.75,2.75,,1.0,5423.397826086956,3552.0521739130436,5256.900000000001,6,0,0.0,9,9,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,4,-69.21250000000002,2,655.8454545454546
rr_3.50,3.50,,1.0,5501.580434782609,3597.8956521739133,6180.300000000001,6,0,0.0,8,8,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,4,-150.99999999999991,2,840.9227272727272
rr_3.00,3.00,,1.0,5409.052173913044,3614.4391304347823,5513.55,6,0,0.0,7,7,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,4,49.87916666666657,2,656.3727272727273
