portfolio,lower_rr,higher_rr,lower_weight,mean_pnl,mean_mdd,worst_mdd,dd_wins,beats_both,mean_smoothing,any_failure,all_failure,mean_fraction_failed,mean_same_signal,mean_possible5,mean_possible20,early_dd_wins,early_mean_dd_delta,later_dd_wins,later_mean_dd_delta
pair_0.50_2.50_low75,0.50,2.50,0.75,3707.8135869565217,2741.146739130435,3484.5875000000015,14,4,162.7896739130435,13,3,0.391304347826087,0.358695652173913,0.3804347826086957,0.3804347826086957,9,-607.0364583333334,5,-452.96704545454526
pair_0.50_1.75_low75,0.50,1.75,0.75,3630.482608695652,2761.616847826087,3768.8250000000016,15,9,199.4331521739132,10,4,0.3695652173913043,0.32608695652173914,0.358695652173913,0.358695652173913,9,-655.4635416666667,6,-357.3363636363636
pair_0.50_2.25_low75,0.50,2.25,0.75,3606.479347826087,2785.0983695652176,3520.225000000002,14,4,171.9777173913043,12,3,0.3804347826086957,0.34782608695652173,0.3695652173913043,0.3695652173913043,9,-581.7177083333332,5,-388.68863636363614
pair_0.50_2.75_low75,0.50,2.75,0.75,3608.792391304348,2794.496739130435,3513.8250000000007,14,7,200.83532608695663,14,5,0.42391304347826086,0.3695652173913043,0.40217391304347827,0.40217391304347827,9,-548.0177083333334,5,-405.80113636363626
pair_0.50_2.50_low50,0.50,2.50,0.5,4411.703260869565,2794.8652173913047,4036.375000000001,15,5,203.24891304347824,13,3,0.34782608695652173,0.2826086956521739,0.32608695652173914,0.32608695652173914,10,-623.4291666666667,5,-322.7636363636361
pair_0.50_2.00_low75,0.50,2.00,0.75,3554.3494565217393,2798.2853260869565,3652.0250000000005,14,9,184.5527173913044,11,4,0.3804347826086957,0.33695652173913043,0.3695652173913043,0.3695652173913043,9,-607.5562500000001,5,-332.9284090909089
pair_0.50_3.50_low75,0.50,3.50,0.75,3628.3380434782607,2808.5777173913043,3744.675000000001,11,6,198.2152173913045,13,5,0.41304347826086957,0.358695652173913,0.40217391304347827,0.40217391304347827,9,-620.059375,2,-297.76818181818174
pair_0.50_3.25_low75,0.50,3.25,0.75,3696.1195652173915,2809.5407608695655,3695.837500000001,11,4,185.49999999999997,13,4,0.40217391304347827,0.358695652173913,0.391304347826087,0.391304347826087,9,-594.7760416666667,2,-323.33636363636344
rr_0.50,0.50,,1.0,3003.9239130434785,2809.758695652174,4075.25,12,0,0.0,10,10,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.43478260869565216,7,-430.2,5,-502.41818181818167
pair_0.50_3.00_low75,0.50,3.00,0.75,3605.2059782608694,2828.1010869565216,3577.987500000001,14,2,182.82771739130447,12,5,0.40217391304347827,0.358695652173913,0.3804347826086957,0.3804347826086957,9,-529.1864583333335,5,-356.0806818181817
pair_0.50_1.50_low75,0.50,1.50,0.75,3546.353804347826,2834.9978260869566,3767.875000000002,12,4,156.03152173913048,11,5,0.391304347826087,0.34782608695652173,0.3695652173913043,0.3695652173913043,9,-610.7510416666668,3,-252.68068181818174
pair_0.50_1.75_low50,0.50,1.75,0.5,4257.041304347827,2884.479347826087,4604.85,15,7,227.86195652173913,10,4,0.30434782608695654,0.21739130434782608,0.2826086956521739,0.2826086956521739,10,-593.9270833333334,5,-167.57272727272712
pair_0.50_2.25_low50,0.50,2.25,0.5,4209.034782608695,2903.986956521739,4107.650000000001,14,2,200.4065217391304,12,3,0.32608695652173914,0.2608695652173913,0.30434782608695654,0.30434782608695654,9,-506.87291666666675,5,-221.75227272727258
pair_0.50_2.75_low50,0.50,2.75,0.5,4213.660869565218,2918.370652173913,4094.8500000000004,14,9,262.5347826086957,14,5,0.41304347826086957,0.30434782608695654,0.3695652173913043,0.3695652173913043,9,-538.0416666666666,5,-157.67499999999993
pair_0.50_2.00_low50,0.50,2.00,0.5,4104.775,2939.1815217391304,4371.249999999999,11,5,216.73586956521746,11,4,0.32608695652173914,0.2391304347826087,0.30434782608695654,0.30434782608695654,9,-537.3645833333334,2,-114.9
