product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job,objective
legacy_25k,5000,200,minimum,calendar_month,3000,28100.0,True,0,20,10,True,649793.69,461519.0,188274.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3000, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,True,649793.69,466369.0,183424.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,2900,28000.0,True,0,20,10,True,649793.69,463369.0,186424.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2900, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,3100,28200.0,True,0,20,10,True,649793.69,460019.0,189774.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3100, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,3200,28300.0,True,0,20,10,True,649793.69,459519.0,190274.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3200, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,3300,28400.0,True,0,20,10,True,649793.69,456519.0,193274.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3300, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,calendar_month,3400,28500.0,True,0,20,10,True,649793.69,453519.0,196274.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3400, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,daily,3900,29000.0,True,0,10,10,True,597317.0,597317.0,0,76,19,76,77,201,6633.0,9500.0,16133.0,617917.0,20600.0,0,1,57,56,1,0.3509,31.78,126.04,1835.51,119.33,63.67,16.53,10,10,19,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]",ongoing
legacy_25k,5000,200,minimum,calendar_month,3000,28100.0,True,0,20,10,False,648335.51,459845.0,188490.51,58,20,58,69,185,6105.0,7250.0,13355.0,668935.51,20600.0,0,10,38,38,0,0.6842,0.47,48.04,557.84,0,35.67,17.14,20,20,20,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 3000, true, 0, 20, 10, false]",total
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,False,648335.51,465695.0,182640.51,58,20,58,69,185,6105.0,7250.0,13355.0,668935.51,20600.0,0,10,38,38,0,0.6842,0.47,48.04,557.84,0,35.67,17.14,20,20,20,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, false]",total
