product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job
legacy_25k,1000,0,minimum,calendar_month,2800,27900.0,True,0,20,10,True,-983.0,-983.0,0,1,0,1,14,26,858.0,125.0,983.0,17.0,1000.0,0,12,1,0,1,0.0,,,2314.02,2314.02,2349.57,0.01,12,13,11,28138,1,2295,2349,"[""legacy_25k"", 1000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,1000,0,minimum,daily,3900,29000.0,True,0,10,10,True,-976.0,-976.0,0,2,0,2,12,22,726.0,250.0,976.0,24.0,1000.0,0,8,2,0,2,0.0,,,4628.03,2314.02,2349.57,0.03,10,10,10,18792,2,2326,2349,"[""legacy_25k"", 1000, 0, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k,1000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,True,564126.56,373901.0,190225.56,75,20,75,79,128,4224.0,9375.0,13599.0,580726.56,16600.0,0,0,55,55,0,0.3455,6.49,135.05,1729.77,0,48.67,13.95,15,15,15,4252,4,699,725,"[""legacy_25k"", 1000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,1000,200,minimum,daily,3900,29000.0,True,0,10,10,True,505943.0,505943.0,0,91,19,91,95,154,5082.0,11375.0,16457.0,522543.0,16600.0,0,1,72,71,1,0.2917,26.13,117.02,2375.09,119.33,76.67,13.37,10,10,19,4827,3,719,728,"[""legacy_25k"", 1000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k,5000,0,minimum,calendar_month,2800,27900.0,True,0,20,10,True,644464.04,460645.0,183819.04,53,20,53,53,160,5280.0,6625.0,11905.0,649464.04,5000.0,0,0,33,33,0,0.6667,0.47,126.04,987.66,0,35.67,16.91,15,15,15,0,0,134,134,"[""legacy_25k"", 5000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,5000,0,minimum,daily,3900,29000.0,True,0,10,10,True,522299.0,522299.0,0,103,20,103,107,222,7326.0,12875.0,20201.0,527299.0,5000.0,0,0,83,83,0,0.2048,35.65,189.21,4099.71,0,63.67,15.02,10,10,20,1634,4,286,329,"[""legacy_25k"", 5000, 0, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_50k,1000,0,minimum,calendar_month,2800,52900.0,True,0,20,10,True,-1000.0,-1000.0,0,0,0,0,12,25,1000.0,0,1000.0,0.0,1000.0,0,2,0,0,0,,,,0,0,2384.57,0.0,12,12,2,4648,10,2326,2326,"[""legacy_50k"", 1000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_50k,1000,0,minimum,daily,3700,53800.0,True,1,20,2,True,415345.0,415345.0,0,67,12,67,116,262,10480.0,8375.0,18855.0,416345.0,1000.0,0,8,55,47,8,0.0182,49.22,245.02,5307.64,38.01,73.67,10.93,20,20,9,105,41,796,802,"[""legacy_50k"", 1000, 0, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
legacy_50k,1000,200,minimum,calendar_month,2800,52900.0,True,0,20,10,True,577534.71,388400.0,189134.71,56,20,56,57,115,4600.0,7000.0,11600.0,594134.71,16600.0,0,0,36,36,0,0.0833,44.31,271.02,3471.11,0,89.67,15.09,16,16,16,4186,1,609,702,"[""legacy_50k"", 1000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_50k,1000,200,minimum,daily,3700,53800.0,True,1,20,2,True,514760.0,514760.0,0,82,12,82,100,196,7840.0,10250.0,18090.0,531360.0,16600.0,0,8,70,62,8,0.0143,45.31,245.02,5049.97,38.01,73.67,14.61,20,20,15,789,10,301,518,"[""legacy_50k"", 1000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
legacy_50k,5000,0,minimum,calendar_month,2800,52900.0,True,0,20,10,True,571031.38,381805.0,189226.38,55,20,55,70,183,7320.0,6875.0,14195.0,576031.38,5000.0,0,0,35,35,0,0.2286,44.31,337.02,3615.5,0,60.67,15.51,16,16,16,26,15,146,172,"[""legacy_50k"", 5000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_50k,5000,0,minimum,daily,3700,53800.0,True,1,20,2,True,494175.0,494175.0,0,85,12,85,116,205,8200.0,10625.0,18825.0,499175.0,5000.0,0,8,73,65,8,0.0137,46.65,260.49,5712.63,38.01,73.67,14.23,20,20,15,8,23,266,269,"[""legacy_50k"", 5000, 0, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
