at,kind,eval_id,count
2022-02-14T00:00:00,renewal_unaffordable,60,
2022-02-14T00:00:00,start_unaffordable,,1
2022-02-15T00:00:00,renewal_unaffordable,61,
2022-02-15T00:00:00,start_unaffordable,,1
2022-02-16T00:00:00,renewal_unaffordable,62,
2022-02-16T00:00:00,start_unaffordable,,1
2022-02-17T00:00:00,activation_blocked,58,
2022-02-17T00:00:00,activation_blocked,59,
2022-02-17T00:00:00,renewal_unaffordable,63,
2022-02-17T00:00:00,start_unaffordable,,1
2022-02-18T00:00:00,activation_blocked,58,
2022-02-18T00:00:00,activation_blocked,59,
2022-02-18T00:00:00,renewal_unaffordable,64,
2022-02-18T00:00:00,start_unaffordable,,1
2022-02-19T00:00:00,activation_blocked,58,
2022-02-19T00:00:00,activation_blocked,59,
2022-02-19T00:00:00,renewal_unaffordable,65,
2022-02-19T00:00:00,start_unaffordable,,1
2022-02-20T00:00:00,activation_blocked,58,
2022-02-20T00:00:00,activation_blocked,59,
2022-02-20T00:00:00,start_unaffordable,,1
2022-02-21T00:00:00,activation_blocked,58,
2022-02-21T00:00:00,activation_blocked,59,
2022-02-21T00:00:00,start_unaffordable,,1
2022-02-22T00:00:00,activation_blocked,58,
2022-02-22T00:00:00,activation_blocked,59,
2022-02-22T00:00:00,start_unaffordable,,1
2022-02-23T00:00:00,activation_blocked,58,
2022-02-23T00:00:00,activation_blocked,59,
2022-02-23T00:00:00,start_unaffordable,,1
2022-02-24T00:00:00,activation_blocked,58,
2022-02-24T00:00:00,activation_blocked,59,
2022-02-24T00:00:00,start_unaffordable,,1
2022-02-25T00:00:00,activation_blocked,58,
2022-02-25T00:00:00,activation_blocked,59,
2022-02-25T00:00:00,start_unaffordable,,1
2022-02-26T00:00:00,activation_blocked,58,
2022-02-26T00:00:00,activation_blocked,59,
2022-02-26T00:00:00,start_unaffordable,,1
2022-02-27T00:00:00,activation_blocked,58,
2022-02-27T00:00:00,activation_blocked,59,
2022-02-27T00:00:00,start_unaffordable,,1
2022-02-28T00:00:00,activation_blocked,58,
2022-02-28T00:00:00,activation_blocked,59,
2022-02-28T00:00:00,start_unaffordable,,1
