eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
2,2020-01-02 00:00:00,cancelled,1,0,123,,2020-02-02 00:00:00
3,2020-01-03 00:00:00,cancelled,3,1,216,,2020-04-03 00:00:00
4,2020-01-04 00:00:00,funded,5,3,264,2020-05-08 08:30:00,2020-05-09 00:00:00
5,2020-01-05 00:00:00,funded,8,6,418,2020-08-20 19:00:00,2020-08-21 00:00:00
6,2020-02-01 00:00:00,funded,2,1,101,2020-03-02 23:00:00,2020-03-03 00:00:00
7,2020-03-01 00:00:00,funded,1,0,9,2020-03-02 23:00:00,2020-03-03 00:00:00
8,2020-03-13 00:00:00,funded,8,7,227,2020-10-26 16:00:00,2020-10-27 00:00:00
9,2020-03-19 00:00:00,funded,2,1,52,2020-04-30 07:00:00,2020-05-01 00:00:00
10,2020-04-01 00:00:00,funded,2,1,57,2020-05-08 04:00:00,2020-05-09 00:00:00
11,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-05-09 00:00:00
12,2020-06-01 00:00:00,funded,3,2,135,2020-08-07 11:00:00,2020-08-08 00:00:00
13,2020-07-01 00:00:00,funded,2,1,87,2020-08-07 11:00:00,2020-08-08 00:00:00
14,2020-08-01 00:00:00,funded,1,0,24,2020-08-07 11:00:00,2020-08-08 00:00:00
15,2020-09-01 00:00:00,funded,3,2,56,2020-11-04 05:00:00,2020-11-05 00:00:00
16,2020-10-01 00:00:00,funded,2,1,31,2020-11-04 05:00:00,2020-11-05 00:00:00
17,2020-10-07 00:00:00,funded,1,0,21,2020-10-12 19:30:00,2020-10-13 00:00:00
18,2020-10-08 00:00:00,funded,1,0,17,2020-10-12 19:30:00,2020-10-13 00:00:00
19,2020-10-09 00:00:00,funded,1,0,13,2020-10-12 19:30:00,2020-10-13 00:00:00
20,2020-11-01 00:00:00,funded,1,0,15,2020-11-04 05:00:00,2020-11-05 00:00:00
21,2020-12-01 00:00:00,funded,2,0,138,2021-01-07 17:00:00,2021-01-08 00:00:00
22,2021-01-01 00:00:00,funded,1,0,21,2021-01-07 17:00:00,2021-01-08 00:00:00
23,2021-02-01 00:00:00,funded,1,0,40,2021-02-11 09:30:00,2021-02-12 00:00:00
24,2021-02-23 00:00:00,funded,5,4,169,2021-07-09 18:00:00,2021-07-10 00:00:00
25,2021-02-24 00:00:00,funded,5,4,133,2021-07-07 06:00:00,2021-07-08 00:00:00
26,2021-02-25 00:00:00,funded,2,1,14,2021-03-26 08:00:00,2021-03-27 00:00:00
27,2021-02-26 00:00:00,funded,5,4,160,2021-07-06 17:30:00,2021-07-07 00:00:00
28,2021-02-27 00:00:00,funded,5,4,217,2021-07-06 17:30:00,2021-07-07 00:00:00
29,2021-03-01 00:00:00,funded,2,1,77,2021-04-19 05:30:00,2021-04-20 00:00:00
30,2021-03-05 00:00:00,funded,2,1,48,2021-04-15 17:30:00,2021-04-16 00:00:00
31,2021-03-06 00:00:00,funded,1,0,32,2021-03-16 09:00:00,2021-03-17 00:00:00
32,2021-03-07 00:00:00,funded,1,0,32,2021-03-16 09:00:00,2021-03-17 00:00:00
33,2021-03-08 00:00:00,funded,1,0,32,2021-03-16 09:00:00,2021-03-17 00:00:00
34,2021-03-17 00:00:00,cancelled,2,1,47,,2021-05-17 00:00:00
35,2021-03-18 00:00:00,funded,4,3,131,2021-07-07 14:30:00,2021-07-08 00:00:00
36,2021-03-19 00:00:00,funded,4,3,136,2021-07-02 20:00:00,2021-07-03 00:00:00
37,2021-03-27 00:00:00,funded,4,3,202,2021-07-06 17:30:00,2021-07-07 00:00:00
38,2021-05-01 00:00:00,funded,3,2,103,2021-07-09 18:00:00,2021-07-10 00:00:00
39,2021-05-19 00:00:00,funded,2,1,96,2021-07-02 20:00:00,2021-07-03 00:00:00
40,2021-05-20 00:00:00,funded,2,1,90,2021-07-02 20:00:00,2021-07-03 00:00:00
41,2021-07-03 00:00:00,cancelled,1,0,42,,2021-08-03 00:00:00
42,2021-07-04 00:00:00,cancelled,2,1,160,,2021-09-04 00:00:00
43,2021-07-05 00:00:00,funded,3,1,172,2021-09-09 15:00:00,2021-09-10 00:00:00
44,2021-07-07 00:00:00,funded,2,1,137,2021-09-06 17:00:00,2021-09-07 00:00:00
45,2021-07-08 00:00:00,funded,2,1,133,2021-09-06 17:00:00,2021-09-07 00:00:00
46,2021-07-09 00:00:00,funded,2,1,128,2021-09-06 17:00:00,2021-09-07 00:00:00
47,2021-08-01 00:00:00,funded,2,0,149,2021-09-09 17:00:00,2021-09-10 00:00:00
48,2021-09-01 00:00:00,funded,1,0,39,2021-09-13 11:30:00,2021-09-14 00:00:00
49,2021-10-01 00:00:00,funded,1,0,18,2021-10-07 09:30:00,2021-10-08 00:00:00
50,2021-11-01 00:00:00,funded,1,0,12,2021-11-04 00:30:00,2021-11-05 00:00:00
51,2021-12-01 00:00:00,funded,3,2,42,2022-02-04 21:00:00,2022-02-05 00:00:00
52,2021-12-04 00:00:00,funded,1,0,26,2021-12-10 16:00:00,2021-12-11 00:00:00
53,2022-01-01 00:00:00,funded,2,1,34,2022-02-04 21:00:00,2022-02-05 00:00:00
54,2022-01-08 00:00:00,funded,1,0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
55,2022-01-09 00:00:00,funded,1,0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
56,2022-01-10 00:00:00,funded,1,0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
57,2022-01-11 00:00:00,funded,1,0,18,2022-01-14 09:00:00,2022-01-15 00:00:00
58,2022-01-12 00:00:00,funded,2,1,40,2022-02-16 21:30:00,2022-03-01 00:00:00
59,2022-01-13 00:00:00,funded,2,1,34,2022-02-16 21:30:00,2022-03-01 00:00:00
60,2022-01-14 00:00:00,cancelled,1,0,15,,2022-02-14 00:00:00
61,2022-01-15 00:00:00,cancelled,1,0,9,,2022-02-15 00:00:00
62,2022-01-16 00:00:00,cancelled,1,0,9,,2022-02-16 00:00:00
63,2022-01-17 00:00:00,cancelled,1,0,9,,2022-02-17 00:00:00
64,2022-01-18 00:00:00,cancelled,1,0,6,,2022-02-18 00:00:00
65,2022-01-19 00:00:00,cancelled,1,0,12,,2022-02-19 00:00:00
66,2022-02-05 00:00:00,funded,1,0,20,2022-02-10 17:00:00,2022-02-11 00:00:00
67,2022-02-06 00:00:00,funded,1,0,20,2022-02-10 17:00:00,2022-02-11 00:00:00
68,2022-03-01 00:00:00,funded,2,1,48,2022-04-08 09:00:00,2022-04-09 00:00:00
69,2022-03-02 00:00:00,funded,2,1,46,2022-04-12 16:00:00,2022-04-13 00:00:00
70,2022-03-03 00:00:00,funded,2,1,42,2022-04-12 16:00:00,2022-04-13 00:00:00
71,2022-03-04 00:00:00,funded,2,1,37,2022-04-12 16:00:00,2022-04-13 00:00:00
72,2022-03-05 00:00:00,funded,2,1,56,2022-04-18 17:30:00,2022-04-19 00:00:00
73,2022-03-06 00:00:00,funded,2,1,38,2022-04-14 03:30:00,2022-04-15 00:00:00
74,2022-03-15 00:00:00,funded,2,1,18,2022-04-19 03:00:00,2022-04-20 00:00:00
75,2022-03-16 00:00:00,funded,2,1,14,2022-04-19 03:00:00,2022-04-20 00:00:00
76,2022-03-17 00:00:00,funded,1,0,16,2022-03-22 16:00:00,2022-03-23 00:00:00
77,2022-03-18 00:00:00,funded,1,0,12,2022-03-22 16:00:00,2022-03-23 00:00:00
78,2022-05-03 00:00:00,funded,1,0,12,2022-05-04 22:30:00,2022-05-05 00:00:00
79,2022-05-04 00:00:00,funded,1,0,6,2022-05-04 22:30:00,2022-05-05 00:00:00
80,2022-05-05 00:00:00,funded,3,2,37,2022-07-06 10:30:00,2022-07-07 00:00:00
81,2022-05-06 00:00:00,funded,3,2,37,2022-07-07 21:00:00,2022-07-08 00:00:00
82,2022-05-07 00:00:00,funded,3,2,76,2022-07-19 16:30:00,2022-07-20 00:00:00
83,2022-05-11 00:00:00,funded,3,2,89,2022-07-28 21:00:00,2022-07-29 00:00:00
84,2022-05-12 00:00:00,funded,3,2,52,2022-07-20 18:00:00,2022-07-21 00:00:00
85,2022-05-13 00:00:00,funded,1,0,7,2022-05-13 22:30:00,2022-05-14 00:00:00
86,2022-05-14 00:00:00,funded,3,2,39,2022-07-20 18:00:00,2022-07-21 00:00:00
87,2022-05-15 00:00:00,funded,3,2,39,2022-07-20 18:00:00,2022-07-21 00:00:00
88,2022-05-16 00:00:00,funded,3,2,62,2022-07-28 21:00:00,2022-07-29 00:00:00
89,2022-05-17 00:00:00,funded,2,1,34,2022-06-21 17:00:00,2022-06-22 00:00:00
90,2022-05-18 00:00:00,funded,2,1,18,2022-06-21 17:00:00,2022-06-22 00:00:00
91,2022-06-22 00:00:00,funded,2,1,40,2022-07-29 21:00:00,2022-07-30 00:00:00
92,2022-06-23 00:00:00,funded,2,1,39,2022-07-29 17:30:00,2022-07-30 00:00:00
93,2022-07-07 00:00:00,funded,1,0,55,2022-07-19 16:30:00,2022-07-20 00:00:00
94,2022-07-08 00:00:00,funded,1,0,53,2022-07-20 18:00:00,2022-07-21 00:00:00
95,2022-07-20 00:00:00,funded,1,0,35,2022-07-28 23:30:00,2022-07-29 00:00:00
96,2022-07-21 00:00:00,funded,1,0,31,2022-07-29 17:30:00,2022-07-30 00:00:00
97,2022-07-22 00:00:00,funded,1,0,28,2022-07-29 21:00:00,2022-07-30 00:00:00
98,2022-07-23 00:00:00,funded,1,0,21,2022-07-29 17:30:00,2022-07-30 00:00:00
99,2022-07-24 00:00:00,funded,1,0,21,2022-07-29 17:30:00,2022-07-30 00:00:00
100,2022-07-25 00:00:00,funded,1,0,21,2022-07-29 17:30:00,2022-07-30 00:00:00
101,2022-11-04 00:00:00,funded,4,3,67,2023-02-13 19:30:00,2023-02-14 00:00:00
102,2022-11-05 00:00:00,funded,1,0,11,2022-11-09 04:30:00,2022-11-10 00:00:00
103,2023-01-05 00:00:00,funded,1,0,7,2023-01-06 22:00:00,2023-01-07 00:00:00
104,2023-01-06 00:00:00,funded,1,0,4,2023-01-06 22:00:00,2023-01-07 00:00:00
