eval_id,started_at,passed_at,funded_or_ended_at,state
141,2026-03-27 00:00:00,2026-03-31 20:00:00,2026-04-01 00:00:00,funded
142,2026-03-28 00:00:00,2026-03-31 17:00:00,2026-04-01 00:00:00,funded
143,2026-03-29 00:00:00,2026-03-31 17:00:00,2026-04-01 00:00:00,funded
144,2026-03-30 00:00:00,2026-03-31 17:00:00,2026-04-01 00:00:00,funded
145,2026-03-31 00:00:00,2026-03-31 17:00:00,2026-04-01 00:00:00,funded
150,2026-04-05 00:00:00,2026-05-05 23:30:00,2026-05-06 00:00:00,funded
151,2026-04-06 00:00:00,2026-05-06 22:30:00,2026-05-07 00:00:00,funded
152,2026-04-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
153,2026-04-08 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
154,2026-04-09 00:00:00,2026-04-14 17:30:00,2026-04-15 00:00:00,funded
155,2026-04-10 00:00:00,2026-04-13 22:30:00,2026-04-14 00:00:00,funded
156,2026-04-11 00:00:00,2026-04-14 17:30:00,2026-04-15 00:00:00,funded
157,2026-04-12 00:00:00,2026-04-14 17:30:00,2026-04-15 00:00:00,funded
158,2026-04-13 00:00:00,2026-04-14 17:30:00,2026-04-15 00:00:00,funded
