account_id,died_at,death_trade,equity
42,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
43,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
44,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
45,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
46,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
47,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
48,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
49,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
50,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
51,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
52,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
53,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
54,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
55,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
56,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
57,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
58,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
59,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
60,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
61,2026-03-26 16:39:40,RR1.00:16-17:852:2434,88.45
